Rank,Nothing,Name,TotalPrice,Nothing,TotalSold,Nothing,MaxPrice,Nothing
103,78,MITCHELL Joan (1926-1992),16 930 692,17 565 753,38,41,8 250 000,3 700 000
104,49,DONGEN van Kees (1877-1968),16 927 025,29 620 129,220,186,4 352 940,10 039 680
105,271,KIEFER Anselm (1945),16 866 615,4 976 062,47,33,3 100 000,992 496
106,279,BOURGEOIS Louise (1911-2010),16 852 300,4 817 751,53,43,9 500 000,3 100 000
107,257,LIU Wei (1965),16 627 079,5 482 599,69,46,1 543 200,751 000
108,203,SONG Wenzhi (1919-1999),16 404 935,7 264 275,355,291,1 976 249,645 480
109,140,HODLER Ferdinand (1853-1918),16 331 597,10 607 530,110,87,6 780 690,3 046 050
110,40,SHEN Zhou (1427-1509),16 179 238,34 905 108,98,59,2 679 200,20 400 000
111,155,INDIANA Robert (1928),16 030 876,9 162 109,210,235,3 600 000,3 400 000
112,122,FEININGER Lyonel (1871-1956),15 870 237,12 124 124,185,147,7 161 499,6 500 000
113,115,CHIRICO de Giorgio (1888-1978),15 570 696,12 419 779,249,216,4 200 000,2 561 280
114,165,LI Xiongcai (1910-2001),15 544 804,8 726 080,222,211,865 150,662 200
115,113,BRUEGHEL Pieter II (c.1564-1637/38),15 438 885,12 529 052,8,12,9 517 830,3 338 280
116,283,HE Jiaying (1957),15 412 982,4 759 405,76,51,1 040 159,392 600
117,235,BAI Xueshi (1915-2011),15 346 779,6 147 637,193,114,2 055 299,784 160
118,757,HONG Yi (1880-1942),15 267 514,1 298 126,7,4,13 115 500,1 244 100
119,59,PISSARRO Camille (1830-1903),15 263 555,21 920 971,114,153,3 750 000,3 509 440
120,253,MORANDI Giorgio (1890-1964),15 172 751,5 629 763,72,65,1 934 640,1 700 000
121,229,ZHAO Shao'Ang (1905-1998),15 171 372,6 372 142,398,168,591 560,1 953 899
122,13805,TIZIANO VECELLIO (1485/89-1576),15 000 129,16 866,2,5,15 000 000,10 957
123,97,DONG Qichang (1555-1636),14 678 288,14 433 798,92,77,3 094 000,3 283 840
124,342,SU Shi (1037-1101),14 678 127,3 626 400,2,1,14 677 500,3 626 400
125,71,FRANCIS Sam (1923-1994),14 438 740,18 118 515,440,433,3 200 000,5 600 000
126,66,RUSCHA Edward Joseph (1937),14 435 082,20 888 283,147,159,3 600 000,3 800 000
127,127,CHEN Hongshou (1598-1652),14 358 510,11 810 820,39,32,3 001 050,5 131 000
128,77,WANG Yidong (1955),14 191 141,17 738 410,42,32,2 626 500,2 412 800
129,99,BOETTI Alighiero (1940-1994),13 707 939,14 364 624,140,128,2 000 000,2 411 360
130,173,SHERMAN Cindy (1954),13 689 054,8 106 272,99,57,3 400 000,2 400 000
131,129,SISLEY Alfred (1839-1899),13 636 244,11 755 320,20,21,2 900 000,2 500 000
132,91,WOOL Christopher (1955),13 617 950,15 007 333,25,21,2 716 770,4 400 000
133,80,HE Haixia (1908-1998),13 536 183,17 188 517,182,133,792 500,11 929 000
134,476,TOULOUSE-LAUTREC de Henri (1864-1901),13 497 686,2 387 597,295,325,8 109 499,310 000
135,151,NOLDE Emil (1867-1956),13 313 479,9 583 669,124,128,2 263 800,1 500 000
136,89,WEN Zhengming (1470-1559),13 276 262,15 431 178,127,78,1 462 050,4 659 300
137,764,BRANCUSI Constantin (1876-1957),13 221 378,1 289 881,9,32,13 200 000,1 029 053
138,70,JUDD Donald (1928-1994),13 212 363,18 365 543,61,66,4 100 000,2 100 000
139,90,KUSAMA Yayoi (1929),13 117 733,15 428 613,475,578,850 000,2 900 000
140,1170,GONZALEZ Julio (1876-1942),13 097 041,694 358,48,77,6 591 570,325 000
141,278,MUÑOZ Juan (1953-2001),13 046 756,4 840 136,21,12,4 788 000,4 300 000
142,2464,GAINSBOROUGH Thomas (1727-1788),12 725 252,247 292,13,16,9 325 820,121 152
143,68,CÉZANNE Paul (1839-1906),12 672 290,19 843 681,55,67,3 568 180,16 749 600
144,496,CHAMBERLAIN John Angus (1927-2011),12 283 660,2 217 889,58,19,4 200 000,600 000
145,171,GURSKY Andreas (1955),12 210 481,8 191 364,50,46,3 800 000,1 840 920
146,79,CHOU Ying (c.1482-c.1559),12 181 863,17 390 468,100,80,1 846 800,9 529 000
147,118,GONTCHAROVA Nathalie (1881-1962),12 146 871,12 290 859,88,93,5 642 700,9 083 520
148,147,GUAN Shanyue (1912-2000),12 087 598,9 996 976,163,110,2 007 200,4 729 600
149,292,NARA Yoshitomo (1959),11 942 618,4 624 082,184,147,1 244 880,616 319
150,168,YUE Minjun (1962),11 905 060,8 456 363,65,45,3 656 550,1 610 000
151,182,FOUJITA Tsuguharu (1886-1968),11 694 963,7 750 148,703,409,616 800,576 000
152,289,BURRI Alberto (1915-1995),11 619 830,4 683 195,43,45,4 387 600,1 300 438
153,322,SOULAGES Pierre (1919),11 606 536,3 970 460,103,155,2 856 800,354 612
154,86,LIU Ye (1964),11 354 082,15 718 873,50,42,1 542 000,3 905 200
155,57,DERAIN André (1880-1954),11 299 740,23 001 487,228,196,8 383 440,21 513 650
156,83,MANZONI Piero (1933-1963),11 282 405,16 748 537,19,30,4 562 280,3 905 500
157,195,GUAN Liang (1900-1986),11 207 052,7 509 740,236,274,3 080 000,541 080
158,488,CHILLIDA Eduardo (1924-2002),11 067 232,2 296 460,240,207,2 010 500,1 359 114
159,369,LALANNE François-Xavier (1927-2008),10 946 733,3 326 766,47,39,6 600 000,432 144
160,717,YANG Shanshen (1913-2004),10 890 931,1 388 593,248,63,660 660,386 400
161,149,HUANG Yongyu (1924),10 876 133,9 861 850,188,171,540 120,916 829
162,1879,VERNET Joseph (1714-1789),10 834 401,365 100,34,10,6 200 000,149 691
163,145,WANG Jian (1598-1677),10 832 364,10 184 083,50,35,2 521 600,6 010 600
164,1686,RAYSSE Martial (1936),10 755 314,422 543,35,34,5 790 240,253 308
165,204,DIEBENKORN Richard (1922-1993),10 717 690,7 240 862,73,45,6 800 000,3 800 000
166,135,DOIG Peter (1959),10 690 815,11 230 118,48,69,8 778 000,3 905 500
167,418,WU Bin (c.1568-1621),10 484 840,2 790 063,5,5,6 948 000,2 709 000
168,295,WEI Zixi (1915-2002),10 482 869,4 526 878,215,133,1 080 800,733 500
169,138,FANG Lijun (1963),10 476 663,10 684 563,45,52,2 441 500,1 802 400
170,69,BRAQUE Georges (1882-1963),10 439 673,18 897 372,431,396,5 642 700,9 000 000
171,201,LUO Zhongli (1948),10 409 753,7 324 561,62,52,914 080,874 639
172,1748,VERESCAGIN Vasilij Vasilevic (1842-1904),10 255 384,400 790,10,4,3 286 000,241 598
173,225,WANG Guangyi (1957),10 166 632,6 477 627,70,71,2 121 900,901 600
174,530,PECHSTEIN Hermann Max (1881-1955),10 097 533,1 973 927,173,135,3 881 360,325 138
175,217,KELLY Ellsworth (1923),10 093 045,6 842 505,118,95,3 750 000,3 500 000
176,153,WESSELMANN Tom (1931-2004),10 081 465,9 393 307,248,229,2 900 000,900 000
177,878,POLENOV Vasili Dimitrevich (1844-1927),10 077 113,1 051 141,14,9,5 601 600,747 368
178,407,JIN Nong (1687-1763),10 070 216,2 887 073,53,33,1 967 500,1 350 000
179,299,ARP Hans (1887-1966),9 941 806,4 441 959,134,177,1 575 546,1 200 000
180,301,CHEN Peiqiu (1922/23),9 921 166,4 354 506,113,134,1 035 540,543 960
181,184,AI Xuan (1947),9 884 163,7 717 582,43,30,1 581 000,2 778 700
182,226,BUFFET Bernard (1928-1999),9 833 999,6 413 224,725,577,385 848,220 000
183,781,FISCHER Urs (1973),9 825 592,1 253 629,14,4,6 000 000,900 000
184,1943,WOLS Otto (1913-1951),9 392 835,346 651,180,23,3 697 710,75 172
185,199,LIU Haisu (1896-1994),9 384 523,7 375 185,154,89,800 280,1 408 320
186,765,ZOFFANY Johan Joseph (1733-1810),9 373 200,1 289 660,1,2,9 373 200,1 024 660
187,186,KAPOOR Anish (1954),9 370 785,7 703 755,48,59,2 100 000,1 200 000
188,176,MARTIN Agnes Bernice (1912-2004),9 262 284,8 051 700,19,18,1 800 000,1 900 000
189,252,YUN Shouping (1633-1690),9 184 749,5 683 958,120,78,1 700 599,996 880
190,313,VIEIRA DA SILVA Maria Elena (1908-1992),9 075 026,4 170 186,125,102,1 844 748,1 124 976
191,288,CHEN Shaomei (1909-1954),9 020 075,4 683 451,105,112,1 416 800,452 399
192,102,KIRCHNER Ernst Ludwig (1880-1938),8 957 523,14 172 807,189,172,1 235 652,4 147 520
193,825,REPIN Il'ia Efimovich (1844-1930),8 943 779,1 169 247,27,15,6 572 000,1 013 285
194,427,YA Ming (1924-2002),8 934 077,2 737 895,310,219,1 418 690,143 766
195,238,AMIET Cuno (1868-1961),8 819 491,6 084 974,215,186,1 193 636,1 476 750
196,398,GORMLEY Antony (1950),8 815 469,2 998 078,38,33,4 719 600,460 000
197,224,MACKE August (1887-1914),8 815 183,6 588 465,44,27,5 659 500,2 522 290
198,36,MANET Édouard (1832-1883),8 786 461,40 277 387,55,82,4 750 000,29 674 000
199,218,VALLOTTON Félix (1865-1925),8 612 225,6 839 329,171,89,844 208,2 158 590
200,250,AIVAZOVSKY Ivan Constantinovich (1817-1900),8 604 990,5 755 912,46,46,1 199 280,843 262
201,263,HOFMANN Hans (1880-1966),8 554 968,5 232 727,37,25,3 000 000,2 400 000
202,651,VELDE van de Willem II (1633-1707),8 370 082,1 575 567,17,16,8 191 575,1 514 400
203,215,POLIAKOFF Serge (1900-1969),8 348 165,6 922 678,200,206,1 200 480,609 600
204,60,QIAN Weicheng (1720-1772),8 338 666,21 569 484,36,33,4 477 600,17 005 600
205,604,TANGUY Yves (1900-1955),8 294 621,1 697 955,24,30,3 224 400,610 000
206,164,HUSAIN Maqbool Fida (1915-2011),8 287 167,8 782 965,88,77,950 000,880 000
207,346,RYMAN Robert (1930),8 228 353,3 565 200,13,10,3 000 000,3 000 000
208,258,TAMAYO Rufino (1899-1991),8 207 355,5 435 558,218,223,1 900 000,700 000
209,169,WU Zuoren (1908-1997),8 199 587,8 402 663,198,177,648 480,733 500
210,198,STINGEL Rudolf (1956),8 037 101,7 440 157,25,22,1 198 575,2 300 000
211,190,LAN Ying (1585-c.1664),8 035 105,7 613 325,86,63,1 539 000,3 832 649
212,221,VUILLARD Édouard (1868-1940),7 940 178,6 734 825,133,103,3 200 000,2 300 000
213,446,GUNAWAN Hendra (1918-1983),7 887 155,2 598 831,34,28,1 800 400,567 160
214,188,MATTA Roberto (1911-2002),7 829 085,7 672 008,291,333,2 078 085,720 000
215,146,DUFY Raoul (1877-1953),7 795 624,10 006 171,403,366,1 216 425,2 154 405
216,87,AUERBACH Frank (1931),7 770 047,15 536 170,40,40,1 358 385,3 013 200
217,183,MAILLOL Aristide (1861-1944),7 744 490,7 733 869,129,133,1 500 000,2 600 000
218,103,MUNCH Edvard (1863-1944),7 640 730,14 078 003,118,142,1 700 000,1 652 090
219,329,KIM Whan Ki (1913-1974),7 587 978,3 846 201,35,19,1 380 000,1 743 000
220,185,HOCKNEY David (1937),7 565 872,7 709 604,622,310,2 200 000,1 820 795
221,2231,DONG Gao (1740-1818),7 537 873,286 940,18,10,7 272 600,225 449
222,277,YANG Feiyun (1954),7 524 575,4 870 748,28,25,1 545 000,865 530
223,375,XU Wei (1521-1593),7 495 521,3 265 458,21,13,5 200 800,1 232 460
224,502,LIU Danzhai (1931-2011),7 453 837,2 166 869,143,117,663 490,140 505
225,337,WHITELEY Brett (1939-1992),7 357 386,3 747 094,68,60,1 540 860,1 137 235
226,307,CONDO George (1957),7 307 189,4 226 046,76,62,875 000,703 350
227,255,GUSTON Philip (1913-1980),7 300 543,5 562 046,33,15,5 800 000,2 200 000
228,1042,HUANG Gongwang (1269-1354),7 254 734,814 433,13,7,4 326 000,528 850
229,1227,STEEN Jan Havicksz. (1625/26-1679),7 199 300,646 313,9,5,6 717 460,320 000
230,,HAN Gan (706-783),7 173 750,,2,,6 324 000,
231,76,LIU Xiaodong (1963),7 161 383,17 780 521,22,21,1 891 199,4 881 500
232,237,HARING Keith (1958-1990),7 149 079,6 130 711,235,259,1 500 000,900 000
233,758,WANG Yuan (act.1310-1350),6 856 098,1 297 179,6,5,6 842 550,1 246 100
234,96,CATTELAN Maurizio (1960),6 849 482,14 520 998,34,18,2 000 000,7 000 000
235,275,TAPIES Antoni (1923),6 721 088,4 890 813,601,554,675 234,1 331 185
236,380,LUCE Maximilien (1858-1941),6 719 458,3 232 415,257,251,3 700 000,900 000
237,728,BIERSTADT Albert (1830-1902),6 697 000,1 378 000,34,18,1 900 000,710 000
238,205,PENN Irving (1917-2009),6 670 116,7 197 231,174,181,409 740,370 000
239,469,JIA Youfu (1942),6 661 607,2 422 339,94,46,1 484 260,256 530
240,484,WANG Mingming (1952),6 538 846,2 359 402,147,78,600 020,377 250
241,1691,KUPKA Frantisek (1871-1957),6 521 210,421 136,82,55,2 110 030,61 250
242,434,ZHANG Zongcang (1686-1756),6 493 526,2 684 373,17,20,4 617 000,721 440
243,240,COROT Camille Jean-Baptiste (1796-1875),6 424 458,5 959 697,102,123,800 000,2 041 620
244,486,YU Youhan (1943),6 374 091,2 317 513,23,5,1 543 200,708 949
245,64,SOUTINE Chaïm (1894-1943),6 367 146,21 163 884,20,8,1 700 000,10 385 900
246,269,LEE Ufan (1936),6 340 794,5 015 981,90,95,765 000,763 600
247,1284,GNOLI Domenico (1933-1970),6 339 145,608 460,24,6,3 225 060,570 924
248,212,LAM Wifredo (1902-1982),6 300 583,7 011 183,153,150,1 313 886,1 850 000
249,390,AFFANDI (1907-1990),6 265 991,3 080 026,107,54,497 161,348 029
250,596,FAUTRIER Jean (1898-1964),6 224 595,1 724 716,153,134,3 536 940,313 443
251,124,HUA Yan (1682-1762),6 216 513,12 052 294,78,52,1 235 200,2 118 600
252,452,DING Yi (1962),6 204 789,2 523 988,28,19,1 928 999,902 299
253,487,WARHOL Andy & BASQUIAT Jean-Michel (XX),6 201 599,2 304 632,3,3,6 200 000,2 300 000
254,498,SONG Yugui (1940),6 158 056,2 194 745,49,19,2 521 600,829 950
255,268,VASARELY Victor (1906-1997),6 128 440,5 028 820,940,803,272 437,734 234
256,174,STELLA Frank (1936),6 112 785,8 094 961,162,164,830 734,1 300 000
257,524,SMITH David (1906-1965),6 065 100,2 010 000,18,19,2 600 000,620 000
258,1089,WANG Ziwu (1936),6 060 163,763 728,111,34,805 290,70 416
259,793,LEMIEUX Jean-Paul (1904-1990),5 995 656,1 223 722,30,13,1 918 600,534 060
260,192,BOUGUEREAU William Adolphe (1825-1905),5 975 017,7 593 250,25,13,1 700 000,2 400 000
261,272,MUNNINGS Alfred James (1878-1959),5 962 596,4 956 696,60,54,1 666 770,681 390
262,280,RIOPELLE Jean-Paul (1923-2002),5 949 745,4 814 109,98,60,952 287,931 000
263,474,BROWN Glenn (1966),5 938 810,2 398 527,11,5,1 763 080,1 883 875
264,6596,WTEWAEL Joachim Antonisz (c.1566-c.1638),5 902 496,57 473,3,4,5 500 000,57 473
265,521,MEHTA Tyeb (1925-2009),5 881 609,2 026 713,9,6,2 829 517,1 306 080
266,720,LIUHAISHU (1896-1994),5 876 833,1 384 920,16,24,5 185 800,316 890
267,464,ANDRE Carl (1935),5 863 753,2 455 075,24,24,3 433 945,1 200 000
268,189,ARMAN Fernandez (1928-2005),5 841 906,7 629 995,760,965,207 120,170 000
269,181,TANSEY Mark (1949),5 819 600,7 760 000,6,4,3 000 000,4 100 000
270,293,TIAN Shiguang (1916-1999),5 811 276,4 568 375,127,96,570 600,995 279
271,1145,SHANG Yang (1942),5 740 161,710 390,8,11,4 248 750,123 816
272,668,CHEN Danqing (1953),5 727 865,1 532 164,22,16,3 090 000,495 660
273,542,KOKOSCHKA Oskar (1886-1980),5 726 473,1 931 617,206,157,2 579 520,733 056
274,166,HARRIS Lawren Stewart H. (1885-1970),5 719 396,8 601 096,34,35,1 533 750,2 229 120
275,395,REMBRANDT VAN RIJN (1606-1669),5 708 406,3 050 679,774,578,600 000,187 212
276,262,GIACOMETTI Diego (1902-1985),5 632 555,5 324 129,49,62,1 100 000,923 510
277,362,CHU Ch'i-Chan (1892-1996),5 614 607,3 381 462,193,179,479 880,271 440
278,196,ZORN Anders Leonard (1860-1920),5 609 510,7 477 417,163,208,1 735 800,3 325 400
279,340,JIANG Zhaohe (1904-1986),5 602 672,3 733 460,45,39,1 103 200,480 959
280,46,GRIS Juan (1887-1927),5 595 182,32 398 403,23,31,1 366 545,25 500 000
281,154,O'KEEFFE Georgia (1887-1986),5 580 000,9 342 500,5,9,2 400 000,3 600 000
282,152,BUGATTI Rembrandt (1884-1916),5 567 441,9 576 421,33,44,1 200 000,1 800 000
283,336,MAJORELLE Jacques (1886-1962),5 538 931,3 768 451,53,63,1 610 400,477 215
284,137,UTRILLO Maurice (1883-1955),5 529 522,10 764 184,176,184,274 074,897 124
285,441,RYSSELBERGHE van Théo (1862-1926),5 507 329,2 637 768,58,26,3 719 100,1 035 839
286,414,HARTLEY Marsden (1877-1943),5 467 300,2 823 656,13,14,2 800 000,1 500 000
287,769,MCCARTHY Paul (1945),5 422 097,1 284 756,14,20,4 000 000,1 017 965
288,543,LIU Wenxi (1933),5 390 419,1 925 536,80,71,1 776 750,271 800
289,179,UECKER Günther (1930),5 384 700,7 867 401,182,181,993 736,1 093 540
290,219,ZHAO Zhiqian (1829-1884),5 380 968,6 827 055,59,41,1 619 100,3 154 050
291,454,DRYSDALE Russell (1912-1981),5 368 056,2 522 100,21,22,1 136 520,1 038 345
292,246,HEPWORTH Barbara (1903-1975),5 361 012,5 815 984,57,41,900 000,1 050 000
293,917,XIE Shichen (1488-c.1567),5 349 470,977 756,11,11,2 797 200,676 350
294,447,GONG Xian (1618-1689),5 299 875,2 588 666,29,27,1 549 380,1 143 480
295,1383,KUSTODIEV Boris Mikhailovich (1878-1927),5 265 414,550 935,17,15,2 634 981,300 000
296,,DONG Gao (1547-1628),5 249 600,,1,,5 249 600,
297,315,ALBERS Josef (1888-1976),5 248 874,4 166 504,157,123,496 620,560 000
298,12196,BURRA Edward (1905-1976),5 235 421,21 055,28,11,2 950 920,11 202
299,141,GIACOMETTI Giovanni (1868-1933),5 190 028,10 550 730,54,58,1 777 280,2 262 780
