A,B,C,D,E,F,G,H
73,205 KLEE Paul (1879-1940),"15,182,336","6,938,086",77,43,"2,600,000","1,200,000"
74,751 GUPTA Subodh (1964),"15,181,016","1,468,092",34,6,"1,036,620","411,520"
75,166 HALS Frans I (1580-1666),"15,145,442","8,559,790",4,1,"12,434,310","8,559,790"
76,89 INDIANA Robert (1928),"15,066,025","15,337,921",184,159,"2,500,000","3,100,000"
77,279 SCHMIDT-ROTTLUFF Karl (1884-1976),"14,831,983","4,948,581",95,61,"5,307,390","1,079,265"
78,84 GUSTON Philip (1913-1980),"14,711,623","15,724,800",24,13,"9,000,000","5,800,000"
79,36 WU Guanzhong (1919),"14,646,425","34,681,113",79,95,"1,737,450","4,847,000"
80,98 TOULOUSE-LAUTREC de Henri (1864-1901),"14,604,668","14,114,725",216,150,"4,000,000","9,000,000"
81,90 FRANCIS Sam (1923-1994),"14,052,847","15,292,880",265,214,"4,600,000","3,100,000"
82,91 KUSAMA Yayoi (1929),"13,853,826","15,230,756",287,286,"5,100,000","1,350,000"
83,127 KAPOOR Anish (1954),"13,598,718","10,576,978",42,33,"3,428,820","2,500,000"
84,109 YAN Pei-Ming (1960),"13,164,537","12,764,241",34,40,"1,755,952","1,400,000"
85,238 STERN Irma (1894-1966),"12,759,360","5,944,870",79,31,"635,648","1,002,540"
86,305 BRAQUE Georges (1882-1963),"12,661,776","4,286,910",188,123,"3,400,000","951,535"
87,206 BANKSY  (1975),"12,576,143","6,840,834",176,61,"1,700,000","550,314"
88,73 DUFY Raoul (1877-1953),"12,535,052","19,382,117",180,189,"2,694,653","7,079,760"
89,201 STILL Clyfford (1904-1980),"12,500,000","7,000,000",1,1,"12,500,000","7,000,000"
90,88 MORANDI Giorgio (1890-1964),"12,344,544","15,517,472",42,62,"1,400,000","2,372,040"
91,99 ERNST Max (1891-1976),"12,245,469","13,990,164",206,126,"2,063,985","1,700,000"
92,120 AUERBACH Frank (1931),"12,142,836","11,824,896",29,22,"3,428,820","3,339,310"
93,140 ARMAN Fernandez (1928-2005),"11,852,919","9,667,502",554,449,"450,670","418,600"
94,75 WANG Guangyi (1957),"11,828,467","19,037,873",99,87,"1,407,280","3,657,060"
95,86 FU Baoshi (1904-1965),"11,529,677","15,617,886",53,69,"719,810","2,421,000"
96,463 NEWMAN Barnett (1905-1970),"11,482,500","2,814,791",9,4,"4,600,000","2,600,000"
97,498 CAILLEBOTTE Gustave (1848-1894),"11,203,680","2,629,728",7,5,"7,500,000","883,035"
98,149 BURRI Alberto (1915-1995),"11,105,000","9,244,344",51,44,"2,232,720","3,350,020"
99,94 CHEN Yifei (1946-2005),"11,062,325","15,107,017",27,32,"2,973,450","4,694,400"
100,48 DOIG Peter (1959),"11,008,994","29,020,295",60,50,"2,767,680","10,017,930"
101,133 WANG Huaiqing (1944),"10,957,298","10,130,866",13,16,"3,572,500","2,418,000"
102,44 TURNER Joseph Mallord Willia (1775-1851),"10,880,112","30,381,320",16,19,"9,473,760","6,454,400"
103,626 SHISHKIN Ivan Ivanovitch (1832-1898),"10,683,922","1,927,119",13,6,"2,800,000","1,236,300"
104,104 DIEBENKORN Richard (1922-1993),"10,664,100","13,611,834",37,26,"4,600,000","6,000,000"
105,181 ROERICH Nicolaj Konstantinov (1874-1947),"10,629,659","7,656,649",42,25,"1,418,350","3,197,960"
106,"103 KOROVIN Konstantin A, (1861-1939)","10,564,031","13,646,875",62,91,"2,601,984","1,653,760"
107,87 ZHOU Chunya (1955),"10,528,763","15,526,667",74,108,"580,000","830,700"
108,173 RILEY Bridget (1931),"10,344,899","8,108,866",38,37,"4,525,245","1,776,588"
109,177 KIEFER Anselm (1945),"10,170,565","7,754,630",26,21,"1,600,000","3,152,960"
110,119 RIOPELLE Jean-Paul (1923-2002),"10,007,164","11,880,650",71,72,"1,650,000","1,063,725"
111,234 BASELITZ Georg (1938),"9,997,474","6,072,364",77,52,"4,100,000","950,000"
112,95 LIU Ye (1964),"9,956,564","14,875,519",38,29,"1,415,700","1,200,000"
113,71 HARING Keith (1958-1990),"9,931,864","19,757,375",215,155,"1,600,000","2,500,000"
114,72 LI Keran (1907-1989),"9,890,430","19,623,533",85,99,"734,000","3,961,800"
115,215 MATHIEU Georges (1921),"9,778,872","6,625,881",121,103,"1,576,700","509,520"
116,154 HICKS Edward (1780-1849),"9,703,430","9,090,000",3,4,"8,600,000","5,500,000"
117,209 MARQUET Albert (1875-1947),"9,611,920","6,764,044",108,91,"2,104,583","625,770"
118,151 MAJORELLE Jacques (1886-1962),"9,366,041","9,145,299",32,49,"1,355,920","633,688"
119,50 XU Beihong (1895-1953),"9,323,386","28,451,781",79,102,"700,210","8,185,600"
120,45 STELLA Frank (1936),"9,272,474","30,035,012",130,126,"2,500,000","3,500,000"
121,187 GRIGORJEFF Boris Dimitrevitch (1886-1939),"9,257,611","7,495,613",27,24,"3,250,000","2,380,845"
122,191 HUSAIN Maqbul Fida (1915),"9,235,121","7,391,932",62,52,"1,400,000","550,000"
123,131 BECKMANN Max (1884-1950),"9,177,395","10,313,310",103,63,"2,358,840","6,500,000"
124,"129 BRUEGHEL Pieter II (c,1564-1637/38)","9,109,769","10,545,826",10,13,"4,345,660","2,900,000"
125,178 BRUEGHEL Jan I (1568-1625),"8,577,906","7,737,920",8,7,"6,118,470","3,428,900"
126,210 PECHSTEIN Hermann Max (1881-1955),"8,472,502","6,699,873",132,86,"3,351,210","1,300,000"
127,43 SOUTINE Chaïm (1894-1943),"8,451,666","30,467,041",10,11,"3,776,448","15,339,480"
128,338 GÉROME Jean-Léon (1824-1904),"8,443,384","3,872,517",38,31,"3,589,200","979,559"
129,174 BIERSTADT Albert (1830-1902),"8,421,750","7,979,051",25,21,"6,500,000","4,300,000"
130,540 ANKER Albert (1831-1910),"8,374,465","2,318,505",51,43,"2,263,624","997,590"
131,124 DALI Salvador (1904-1989),"8,330,981","11,107,983",762,529,"680,000","2,200,000"
132,171 BUFFET Bernard (1928-1999),"8,299,373","8,261,804",390,234,"223,100","348,800"
133,207 STAëL de Nicolas (1914-1955),"8,238,636","6,821,206",23,25,"2,993,100","1,132,516"
134,74 GIACOMETTI Giovanni (1868-1933),"8,233,815","19,216,539",50,49,"1,814,120","2,387,610"
135,152 POLKE Sigmar (1941),"8,210,804","9,131,044",110,55,"1,812,768","4,729,440"
136,422 GOTTLIEB Adolph (1903-1974),"8,187,248","3,097,550",31,17,"5,800,000","1,200,000"
137,289 GOYA Y LUCIENTES Francisco (1746-1828),"8,124,383","4,605,019",97,63,"3,950,600","2,300,000"
138,1820 SCHJERFBECK Helene (1862-1946),"8,107,965","444,220",19,6,"5,337,090","350,640"
139,217 GURSKY Andreas (1955),"8,102,848","6,565,116",22,39,"2,561,520","2,946,450"
140,293 ERNST Rudolph (1854-1932),"8,036,784","4,457,879",23,17,"1,100,000","668,900"
141,715 SOROLLA Y BASTIDA Joaquin (1863-1923),"8,009,762","1,594,723",11,18,"4,000,000","397,404"
142,164 SOUZA Francis Newton (1924-2002),"7,902,727","8,658,680",62,89,"2,159,850","600,000"
143,653 MASRIADI I Nyoman (1973),"7,887,577","1,825,359",66,25,"836,550","282,920"
144,867 ZHU Da (1626-1705),"7,849,586","1,219,890",9,6,"3,870,000","994,080"
145,353 GILBERT & GEORGE  (1965),"7,813,281","3,737,007",31,34,"3,292,410","591,078"
146,316 KLIMT Gustav (1862-1918),"7,802,144","4,179,372",69,64,"906,476","628,576"
147,158 CHRISTO  (1935),"7,764,516","8,932,647",219,163,"360,000","470,656"
148,70 BOTERO Fernando (1932),"7,733,000","20,059,979",56,80,"825,000","1,400,000"
149,JIN & LANG Kun & Shining (XVII-XVIII),"7,722,000",,1,,"7,722,000",
150,92 CAI Guoqiang (1957),"7,706,466","15,171,917",53,39,"1,930,500","8,487,600"
151,202 MARTIN Henri Jean Guillaume (1860-1943),"7,701,052","6,986,319",47,35,"875,270","992,850"
152,108 SOULAGES Pierre (1919),"7,654,175","12,947,681",111,68,"1,675,959","1,890,854"
153,239 KLINE Franz (1910-1962),"7,633,484","5,935,092",11,24,"4,500,000","2,400,000"
154,101 MARINI Marino (1901-1980),"7,627,412","13,900,733",153,117,"1,180,140","6,250,000"
155,"1824 NEER van der Aert I (c,1603-1677)","7,625,425","443,316",10,7,"4,736,880","160,272"
156,1316 GORMLEY Antony (1950),"7,605,628","697,588",18,8,"4,026,870","304,755"
157,159 NARA Yoshitomo (1959),"7,601,598","8,929,120",96,119,"1,000,000","1,300,000"
158,134 BOUGUEREAU William Adolphe (1825-1905),"7,472,205","10,056,192",12,14,"1,800,000","2,100,000"
159,9757 HAARLEM van Cornelis (1562-1638),"7,437,036","32,438",2,1,"7,200,000","32,438"
160,115 APPEL Karel (1921-2006),"7,435,493","12,078,690",347,281,"432,628","780,065"
161,176 KONCHALOVSKY Piotr Petrovich (1876-1956),"7,363,769","7,868,603",14,19,"1,767,150","1,757,120"
162,144 HOCKNEY David (1937),"7,335,636","9,396,422",245,150,"1,495,125","2,140,110"
163,587 HARTLEY Marsden (1878-1943),"7,329,700","2,111,900",11,8,"5,600,000","1,100,000"
164,150 CANALETTO Antonio Canal (1697-1768),"7,231,425","9,184,713",30,14,"5,156,100","8,662,920"
165,443 MUNTER Gabriele (1877-1962),"7,222,796","2,922,185",32,30,"904,222","414,148"
166,157 UTRILLO Maurice (1883-1955),"7,086,118","9,001,341",119,98,"415,000","800,000"
167,203 MATTA Roberto (1911-2002),"7,069,841","6,985,387",244,145,"1,040,688","1,900,000"
168,MIERIS van Frans I (1635-1681),"7,039,355",,2,,"4,769,600",
169,355 VOLANAKIS Constantinos (1837-1907),"7,039,087","3,724,445",19,8,"2,206,820","1,115,632"
170,102 VASARELY Victor (1908-1997),"6,992,186","13,879,305",472,477,"276,727","290,000"
171,77 THIEBAUD Morton Wayne (1920),"6,966,247","18,898,150",41,24,"1,900,000","4,000,000"
172,364 HUANG Binhong (1864/65-1955),"6,948,941","3,661,340",88,63,"1,680,150","376,040"
173,352 SEURAT Georges (1859-1891),"6,903,849","3,740,549",5,8,"5,566,880","1,671,610"
174,80 MARTIN Agnes Bernice (1912-2004),"6,899,947","18,311,104",12,13,"2,500,000","4,200,000"
175,272 KABAKOV Ilya (1933),"6,893,039","5,047,145",14,11,"5,168,800","3,585,960"
176,172 HOFMANN Hans (1880-1966),"6,890,553","8,175,441",22,23,"3,800,000","1,850,000"
177,126 DINET Etienne Alphonse (1861-1929),"6,875,876","10,626,293",28,29,"2,185,680","2,073,590"
178,106 LIN Fengmian (1900-1991),"6,854,061","13,297,711",72,126,"714,999","483,680"
179,270 MOTHERWELL Robert (1915-1991),"6,850,339","5,069,925",132,72,"2,300,000","880,000"
180,33 FEININGER Lyonel (1871-1956),"6,774,481","35,676,822",120,95,"1,700,000","20,750,000"
181,76 CHU Teh-Chun (1920),"6,750,852","19,003,134",55,95,"394,680","1,435,925"
182,105 PARK Soo-Gun (1914-1965),"6,738,744","13,329,200",13,11,"1,617,000","5,369,760"
183,410 SCULLY Sean (1946),"6,674,903","3,194,512",35,40,"1,136,295","800,000"
184,381 REDON Odilon (1840-1916),"6,627,311","3,505,471",52,28,"3,548,340","800,000"
185,1099 DAVID Jacques Louis (1748-1825),"6,615,838","889,906",7,6,"6,400,000","400,000"
186,260 MACKE August (1887-1914),"6,565,661","5,391,607",11,19,"2,727,725","2,958,200"
187,197 GORKY Arshile (1904-1948),"6,540,618","7,114,663",18,14,"2,150,000","3,700,000"
188,237 MONDRIAAN Piet (1872-1944),"6,529,748","5,954,708",12,6,"3,734,830","5,139,420"
189,121 POLIAKOFF Serge (1900-1969),"6,498,579","11,576,710",144,124,"431,684","685,338"
190,46 LOWRY Laurence Stephen (1887-1976),"6,455,294","29,343,312",176,149,"1,269,385","6,660,135"
191,1550 CURRIN John (1962),"6,438,637","554,072",9,6,"4,800,000","325,072"
192,264 FANTIN-LATOUR Henri-Théodore (1836-1904),"6,438,190","5,287,127",37,32,"1,771,560","1,450,000"
193,252 BAUERNFEIND Gustav (1848-1904),"6,387,004","5,490,098",5,4,"4,386,800","5,396,760"
194,162 RAZA Sayed Haider (1922),"6,275,876","8,784,727",61,85,"2,194,940","1,234,500"
195,292 DYCK van Anthonius (1599-1641),"6,264,099","4,479,174",10,7,"5,333,310","1,600,000"
196,184 BOETTI Alighiero (1940-1994),"6,208,801","7,577,655",108,116,"720,000","1,018,300"
197,486 ADAMS Ansel Easton (1902-1984),"6,180,839","2,686,182",248,97,"400,000","120,000"
198,122 ALBERS Josef (1888-1976),"6,157,581","11,527,548",109,57,"550,000","1,300,000"
199,228 LIEBERMANN Max (1847-1935),"6,156,891","6,265,887",153,66,"1,281,345","1,671,610"
200,"1267 DAVIS Stuart G, (1894-1964)","6,146,000","733,000",19,5,"2,500,000","360,000"
201,1112 CHASE William Merritt (1849-1916),"6,132,633","871,575",9,7,"5,900,000","700,000"
202,199 BUGATTI Rembrandt (1884-1916),"6,128,363","7,045,624",15,25,"2,300,000","1,600,000"
203,407 JORN Asger (1914-1973),"6,111,846","3,211,182",83,73,"979,199","234,560"
204,HAMDY BEY Osman Pacha Zadeh (1842-1910),"6,068,469",,1,,"6,068,469",
205,605 GAINSBOROUGH Thomas (1727-1788),"5,978,514","2,024,200",10,16,"5,100,000","1,444,100"
206,69 HODLER Ferdinand (1853-1918),"5,890,015","20,327,112",66,71,"1,003,080","7,906,470"
207,155 SUGIMOTO Hiroshi (1948),"5,881,049","9,038,738",106,132,"1,077,516","1,650,000"
208,278 WU Changshuo (1844-1927),"5,850,747","4,966,800",111,98,"398,970","805,800"
209,160 SHERMAN Cindy (1954),"5,808,079","8,910,147",69,68,"828,091","1,850,000"
210,580 BARANOV-ROSSINE Vladimir Davidovic (1888-1944),"5,782,163","2,128,376",8,10,"4,724,160","618,960"
211,301 FENG Zhengjie (1968),"5,770,280","4,301,945",55,50,"345,840","250,000"
212,312 CORNELL Joseph (1903-1972),"5,709,000","4,230,729",14,21,"3,300,000","1,050,000"
213,308 YIN Zhaoyang (1970),"5,634,083","4,259,808",32,33,"792,550","510,340"
214,97 ZHU Ming (1938),"5,625,630","14,327,725",50,61,"599,906","1,661,400"
215,426 HEPWORTH Barbara (1903-1975),"5,623,226","3,072,493",39,22,"1,484,204","792,402"
216,517 MEHTA Tyeb (1925),"5,620,140","2,511,949",7,6,"1,649,340","1,000,000"
217,834 TIEPOLO Giovanni Battista (1696-1770),"5,616,792","1,271,954",28,25,"3,791,250","280,000"
218,"RIEMENSCHNEIDER Tilman (c,1460-1531)","5,600,000",,1,,"5,600,000",
219,622 SHI Tao (1641-1724),"5,590,893","1,935,955",13,6,"1,987,100","652,000"
220,16 MODIGLIANI Amedeo (1884-1920),"5,546,984","73,199,146",37,28,"1,600,000","27,500,000"
221,83 FANG Lijun (1963),"5,539,461","15,892,348",35,35,"1,368,950","3,600,000"
222,188 ARP Hans (1887-1966),"5,508,087","7,491,685",91,53,"1,400,000","2,100,000"
223,186 STINGEL Rudolf (1956),"5,495,016","7,496,312",17,17,"834,960","1,700,000"
224,81 IACOVLEFF Alexander Evgenevich (1887-1938),"5,476,778","17,339,176",73,132,"895,800","4,932,250"
225,135 BOUDIN Eugène (1824-1898),"5,392,949","10,020,415",67,88,"863,464","1,684,360"
226,261 BULATOV Eric (1933),"5,365,335","5,340,130",17,11,"1,888,600","1,593,760"
227,221 LANSKOY André (1902-1976),"5,304,611","6,531,345",199,200,"220,752","198,562"
228,452 NEWTON Helmut (1920-2004),"5,293,642","2,857,341",191,119,"550,000","316,528"
229,214 WANG Yidong (1955),"5,287,599","6,640,354",11,24,"1,415,700","1,113,500"
230,229 CASTELLANI Enrico (1930),"5,263,416","6,221,371",53,39,"496,660","855,372"
231,143 MUNNINGS Alfred James (1878-1959),"5,169,024","9,438,376",28,50,"1,538,784","2,590,770"
232,1176 ROCKLINE Vera (1896-1934),"5,155,593","809,471",21,24,"3,543,120","207,030"
233,243 FLAVIN Dan (1933-1996),"5,102,471","5,767,340",18,22,"1,350,000","1,200,000"
234,357 LUO Zhongli (1948),"5,088,780","3,713,653",27,33,"1,445,141","610,650"
235,2947 SMITHSON Robert (1938-1973),"5,075,578","220,000",12,7,"3,800,000","50,000"
236,211 AVERY Milton Clark (1885-1965),"5,071,408","6,664,550",53,49,"840,000","2,200,000"
237,114 GIACOMETTI Diego (1902-1985),"5,065,338","12,118,027",75,108,"290,000","542,868"
238,380 MARDEN Brice (1938),"5,024,011","3,520,917",21,25,"3,800,000","900,000"
239,146 DELVAUX Paul (1897-1994),"5,017,632","9,344,034",79,72,"1,322,586","2,700,000"
240,809 ZENDEROUDI Charles Hossein (1937),"5,004,733","1,333,384",23,9,"1,400,000","400,000"
241,"DONATELLO Donato di Niccolo (c,1386-1466)","5,000,000",,1,,"5,000,000",
242,478 SHIRAGA Kazuo (1924-2008),"4,967,950","2,737,098",51,15,"977,616","941,312"
243,447 RYSSELBERGHE van Théo (1862-1926),"4,953,751","2,891,309",26,24,"1,280,565","1,146,486"
244,495 LAURENS Henri (1885-1954),"4,919,023","2,664,430",39,19,"1,600,000","928,590"
245,459 REYLE Anselm (1970),"4,906,731","2,836,141",32,16,"512,304","529,542"
246,255 MAN RAY  (1890-1976),"4,895,578","5,453,943",177,150,"1,084,215","601,880"
247,137 COROT Camille Jean-Baptiste (1796-1875),"4,868,438","9,862,526",59,49,"997,000","4,200,000"
248,3819 HUGGINS William John (1781-1845),"4,836,502","148,555",3,3,"4,819,140","62,547"
249,170 CHIPARUS Dimitri (1886/88-1947/50),"4,806,645","8,313,549",112,128,"317,120","800,000"
250,82 CHAMBERLAIN John Angus (1927),"4,751,722","15,920,998",24,27,"1,000,000","4,100,000"
251,385 WANG Hui (1632-1717),"4,748,099","3,455,029",29,16,"1,313,100","1,230,786"
252,322 YANG Shaobin (1963),"4,698,454","4,047,210",23,40,"1,152,800","407,640"
253,1425 RENI Guido (1575-1642),"4,677,865","622,919",9,5,"3,157,920","363,060"
254,242 TANG Zhigang (1959),"4,648,749","5,810,122",16,29,"512,800","514,400"
255,240 CÉSAR  (1921-1998),"4,579,186","5,903,119",170,159,"397,008","1,500,030"
256,222 THOMSON Tom (1877-1917),"4,555,084","6,477,188",8,14,"1,718,190","1,016,000"
257,194 RAMOS MARTINEZ Alfredo (1872-1946),"4,536,377","7,232,965",18,19,"1,900,000","3,600,000"
258,163 TAPIES Antoni (1923),"4,505,974","8,745,735",277,192,"798,160","1,290,705"
259,169 HARTUNG Hans Heinrich Ernst (1904-1989),"4,486,227","8,391,686",178,131,"275,922","675,050"
260,361 LIU Wei (1965),"4,473,401","3,692,824",45,38,"490,200","670,800"
261,378 FOUJITA Tsuguharu (1886-1968),"4,468,099","3,534,212",198,159,"438,040","333,591"
262,442 VALDÉS Manolo (1942),"4,464,153","2,954,772",39,46,"591,822","517,972"
263,253 SAINT-PHALLE de Niki (1930-2002),"4,413,093","5,466,625",128,105,"950,850","630,592"
264,514 HUANG Zhou (1925-1997),"4,329,564","2,520,882",101,103,"543,020","161,160"
265,759 ANDRE Carl (1935),"4,318,751","1,445,345",13,14,"2,300,000","500,000"
266,457 LIAO Chi-Chun (1902-1976),"4,291,163","2,837,919",3,5,"3,974,200","1,543,200"
267,489 BURLJUK David Davidovich (1882-1967),"4,288,478","2,676,042",139,90,"450,000","557,847"
268,156 BROWN Cecily (1969),"4,281,072","9,038,008",17,23,"1,093,400","1,400,000"
269,227 VALTAT Louis (1869-1952),"4,242,631","6,276,033",125,162,"966,642","430,000"
270,538 RAYSSE Martial (1936),"4,189,472","2,321,006",12,19,"2,033,370","940,660"
271,688 FECHIN Nikolai Iwanowitsch (1881-1955),"4,174,665","1,671,680",19,12,"850,000","950,000"
272,542 BATONI Pompeo Girolamo (1708-1787),"4,142,397","2,311,556",7,6,"2,171,070","750,000"
273,168 KELLY Ellsworth (1923),"4,134,697","8,404,618",76,32,"1,600,000","4,600,000"
274,335 SAN Yu (1901-1966),"4,125,666","3,880,884",11,17,"1,217,900","1,405,800"
275,59 JOHNS Jasper (1930),"4,114,048","23,804,762",109,53,"600,000","15,500,000"
276,485 PARK David (1911-1960),"4,106,550","2,690,500",8,5,"2,400,000","1,500,000"
277,1656 MARIESCHI Michele Giovanni (1696/1710-1743),"4,082,228","509,476",7,8,"3,000,000","322,920"
278,425 AFRO  (1912-1976),"4,072,761","3,074,476",39,31,"859,356","403,256"
