Rank,Artist,TotalPrice
192,LAn Ying (1585-c.1664),"$9,636,946"
193,YAnG Shanshen (1913-2004),"$9,636,290"
194,GUAn Liang (1900-1986),"$9,626,752"
195,ChEn rong (1803),"$9,512,871"
196,GOrkY Arshile (1904-1948),"$9,380,500"
197,STErn irma (1894-1966),"$9,323,167"
198,YA ming (1924-2002),"$9,148,915"
199,ZhAnG Zhao (1691-1745),"$9,021,052"
200,hArinG keith (1958-1990),"$8,971,545"
201,CAnALETTO Antonio Canal (1697-1768),"$8,956,739"
202,mAn rAY  (1890-1976),"$8,830,101"
203,WAnG Shimin (1592-1680),"$8,813,455"
204,JiAnG Tingxi (1669-1732),"$8,805,591"
205,YAnG Zhiguang (1930),"$8,712,320"
206,SOULAGES Pierre (1919),"$8,637,403"
207,kAnG Youwei (1858-1927),"$8,614,773"
208,WAnG Jian (1598-1677),"$8,585,374"
209,kiPPEnBErGEr martin (1953-1997),"$8,543,491"
210,LAi Shaoqi (1915-2000),"$8,531,985"
211,mOThErWELL robert (1915-1991),"$8,481,983"
212,BArCELO miquel (1957),"$8,406,092"
213,kELLY Ellsworth (1923),"$8,361,545"
214,BUrri Alberto (1915-1995),"$8,348,282"
215,Lin Yong (1942),"$8,332,778"
216,BASELiTZ Georg (1938),"$8,164,289"
217,QiAn Weicheng (1720-1772),"$8,160,860"
218,DiX Otto (1891-1969),"$8,086,025"
219,ChU Ch'i-Chan (1892-1996),"$8,061,196"
220,STEEn Jan havicksz. (1625/26-1679),"$8,056,750"
221,AUErBACh Frank (1931),"$8,007,139"
222,LiU Ye (1964),"$7,940,977"
223,COOrTE Adriaen (act.c.1685-1720),"$7,917,390"
224,GOTTLiEB Adolph (1903-1974),"$7,910,717"
225,rUSChA Edward Joseph (1937),"$7,799,109"
226,SOrOLLA Y BASTiDA Joaquín (1863-1923),"$7,752,655"
227,ZhAnG Jizhi (1186-1266),"$7,730,693"
228,WU Zuoren (1908-1997),"$7,650,266"
229,TAnGUY Yves (1900-1955),"$7,603,724"
230,LiU Danzhai (1931-2011),"$7,569,108"
231,SOnG Yugui (1940),"$7,546,681"
232,YUAn Wu (1959),"$7,541,278"
233,COnDO George (1957),"$7,488,156"
234,DUFY raoul (1877-1953),"$7,407,737"
235,TErPninG howard A. (1927),"$7,377,350"
236,GUO moruo (1892-1978),"$7,321,136"
237,WTEWAEL Joachim Antonisz (c.1566-c.1638),"$7,294,222"
238,CUrrin John (1962),"$7,286,189"
239,VUiLLArD Édouard (1868-1940),"$7,278,366"
240,SmiTh David (1906-1965),"$7,237,000"
241,ZhAO Puchu (1907-2000),"$7,225,970"
242,ZhAO Zhiqian (1829-1884),"$7,182,277"
243,hAmmErShOi Vilhelm (1864-1916),"$7,174,227"
244,GUO runwen (1955),"$7,171,427"
245,ChEn Shaomei (1909-1954),"$7,118,028"
246,ZhOU Yansheng (1942),"$7,097,365"
247,FU Shan (1607-1684),"$7,083,342"
248,QiAn LOnG Emperor (1711-1799),"$7,060,107"
249,LOrEnZETTi Pietro (XiV),"$7,055,100"
250,LOWrY Laurence Stephen (1887-1976),"$7,007,325"
251,JiAnG Zhaohe (1904-1986),"$7,006,572"
252,CAiLLEBOTTE Gustave (1848-1894),"$6,996,195"
253,BOETTi Alighiero (1940-1994),"$6,964,369"
254,DOW Gerrit (1613-1675),"$6,935,485"
255,kUSTODiEV Boris mikhailovich (1878-1927),"$6,923,972"
256,JiAnG hanting (c.1903-1963),"$6,910,782"
257,kim Whan ki (1913-1974),"$6,899,440"
258,hODLEr Ferdinand (1853-1918),"$6,857,493"
259,DinG Yunpeng (1547-c.1628),"$6,854,593"
260,STELLA Frank (1936),"$6,853,302"
261,OEhLEn Albert (1954),"$6,849,791"
262,nArA Yoshitomo (1959),"$6,829,555"
263,mArTin Agnes Bernice (1912-2004),"$6,812,701"
264,YU Jigao (1932),"$6,811,478"
265,WEn Jia (1501-1583),"$6,779,533"
266,STinGEL rudolf (1956),"$6,723,638"
267,GiACOmETTi Diego (1902-1985),"$6,620,595"
268,hE Duoling (1948),"$6,584,341"
269,FEnG Zikai (1898-1975),"$6,575,446"
270,BELLOWS George Wesley (1882-1925),"$6,493,842"
271,FEnG Yuan (1952),"$6,410,706"
272,GUArDi Francesco (1712-1793),"$6,376,727"
273,BOYD Arthur (1920-1999),"$6,366,294"
274,ShEn Peng (1931),"$6,357,459"
275,AST van der Balthasar (1593/94-1657),"$6,325,980"
276,hUO Chunyang (1946),"$6,303,724"
277,SCULLY Sean (1946),"$6,282,291"
278,POLiAkOFF Serge (1900-1969),"$6,232,384"
279,SOTO Jesús rafael (1923-2005),"$6,227,917"
280,ZhAO Wangyun (1906-1977),"$6,179,994"
281,ZhAO Xucheng (1943),"$6,167,400"
282,YU Xining (1913-2007),"$6,117,435"
283,SAEnrEDAm Pieter Jansz. (1597-1665),"$6,114,896"
284,GOnG Xian (1618-1689),"$6,065,364"
285,TiEPOLO Giovanni Battista (1696-1770),"$6,036,544"
286,ZhAnG Zongcang (1686-1756),"$6,031,446"
287,ChEn hongshou (1598-1652),"$6,024,789"
288,SChWiTTErS kurt (1887-1948),"$6,011,217"
289,TAnG Yongli (1951),"$5,993,019"
290,ShEn Yinmo (1883-1971),"$5,983,184"
291,TiAn Shiguang (1916-1999),"$5,979,995"
292,PArk Soo-Gun (1914-1965),"$5,970,000"
293,AmiET Cuno (1868-1961),"$5,959,538"
294,LAnG Shih-ning (1688-1766),"$5,950,419"
295,VASArELY Victor (1906-1997),"$5,886,600"
296,WhiTELEY Brett (1939-1992),"$5,886,289"
297,ZhAO mengfu (1254-1322),"$5,881,486"
298,WAnG Zhen (c.1867-1938),"$5,875,977"
299,miLhAZES Beatriz (1960),"$5,813,765"
300,DELAUnAY robert (1885-1941),"$5,776,921"
301,CÉSAr  (1921-1998),"$5,764,847"
302,SErOV Valentin A. (1865-1911),"$5,738,400"
303,ShA menghai (1900-1992),"$5,696,018"
304,rEn Zhong (1976),"$5,673,589"
305,ZhA Shibiao (1615-1698),"$5,665,646"
306,ChEn Danqing (1953),"$5,642,876"
307,ShEn Yaoyi (1943),"$5,553,802"
308,hUAnG Jin (1277-1357),"$5,544,554"
309,hASSAm Childe (1859-1935),"$5,536,147"
310,rEminGTOn Frederic Sackrider (1861-1909),"$5,533,438"
311,EGGLESTOn William (1939),"$5,520,671"
312,hEEm de Jan Davidsz (1606-1683/84),"$5,501,553"
313,EmPErOr kAnGXi  (1654-1722),"$5,500,870"
314,FEnG Chaoran (1882-1954),"$5,497,841"
315,niChOLSOn Ben (1894-1982),"$5,490,168"
316,YUn Shouping (1633-1690),"$5,454,206"
317,kUPkA Frantisek (1871-1957),"$5,450,472"
318,hUSAin maqbool Fida (1915-2011),"$5,428,343"
319,rUBEnS Peter Paul (1577-1640),"$5,420,596"
320,JiAnG hongwei (1957),"$5,418,743"
321,TAPiES Antoni (1923-2012),"$5,397,052"
322,ZOU Yigui (1686-1772),"$5,371,853"
323,SAVErY roelant (1576/78-1639),"$5,264,512"
324,mODiGLiAni Amedeo (1884-1920),"$5,254,988"
325,mArini marino (1901-1980),"$5,250,036"
326,hE Shaoji (1799-1873),"$5,237,073"
327,ChriSTO  (1935),"$5,197,665"
328,ZhAnG Ding (1917-2010),"$5,194,180"
329,UECkEr Günther (1930),"$5,183,369"
330,ZhAnG ruitu (1570-1641),"$5,180,378"
331,LiU kuiling (1885-1967),"$5,143,663"
332,APPEL karel (1921-2006),"$5,124,586"
333,ArmAn Fernandez (1928-2005),"$5,109,845"
334,LE mAYEUr DE mErPrES Adrien Jean (1880-1958),"$5,103,636"
335,FAnG Jizhong (1923-1987),"$5,059,812"
336,riOPELLE Jean-Paul (1923-2002),"$5,038,214"
337,CUi Zhenkuan (1935),"$4,968,076"
338,kiSLinG moïse (1891-1953),"$4,941,608"
339,CArr Emily m. (1871-1945),"$4,923,906"
340,mELEnDEZ Luis (1716-1780),"$4,922,800"
341,rAZA Sayed haider (1922),"$4,919,343"
342,ChEn Banding (1876-1970),"$4,911,657"
343,Jin Shangyi (1934),"$4,906,819"
344,WALL Jeff (1946),"$4,895,778"
345,JAO Tsung-i (1917),"$4,893,748"
346,WAnG Yong (1948),"$4,882,782"
347,mEhTA Tyeb (1925-2009),"$4,871,073"
348,ShAnG Yang (1942),"$4,852,468"
349,CrUZ-DiEZ Carlos (1923),"$4,787,817"
350,GOnTChArOVA nathalie (1881-1962),"$4,754,663"
351,rUSSELL Charles marion (1864-1926),"$4,738,800"
352,ZhAnG Shanzi (1882-1940),"$4,713,207"
353,BOrGiAnni Orazio (1578-1616),"$4,707,840"
354,TAmAYO rufino (1899-1991),"$4,706,210"
355,BELLOTTO Bernardo (1721-1780),"$4,702,072"
356,GODWArD John William (1861-1922),"$4,683,748"
357,FEShin nikolay (1881-1955),"$4,653,553"
358,GUYTOn Wade (1972),"$4,590,555"
359,TAnG Yin (1470-1523),"$4,583,499"
360,rAUSChEnBErG robert (1925-2008),"$4,565,919"
361,Shi Qi (1939),"$4,559,545"
362,hUA Yan (1682-1756),"$4,540,707"
363,hUAnG Daozhou (1585-1646),"$4,505,574"
364,LiEBErmAnn max (1847-1935),"$4,461,510"
365,hEPWOrTh Barbara (1903-1975),"$4,448,580"
366,AVErY milton Clark (1885-1965),"$4,445,712"
367,JiA Guangjian (1964),"$4,416,995"
368,kLEE Paul (1879-1940),"$4,409,867"
369,hOnG ren (1610-1663),"$4,404,638"
370,CATTELAn maurizio (1960),"$4,384,700"
371,BOSSChAErT Ambrosius i (1573-1621),"$4,336,662"
372,DELLA POrTA Bartolomeo (1472-1517),"$4,300,000"
373,STrEETOn Arthur Ernest (1867-1943),"$4,260,560"
374,FrAnkEnThALEr helen (1928-2011),"$4,240,614"
375,UTriLLO maurice (1883-1955),"$4,184,656"
376,nOLAn Sidney robert (1917-1992),"$4,159,787"
377,YE Qianyu (1907-1995),"$4,147,862"
378,JiAnG Baolin (1942),"$4,144,073"
379,ZhU Yunming (1460-1526),"$4,117,649"
380,XU Yisheng (1943),"$4,101,419"
381,LiU Xiaodong (1963),"$4,097,446"
382,SAinT-PhALLE de niki (1930-2002),"$4,056,663"
383,rOUAULT Georges (1871-1958),"$4,041,970"
384,BrAVO Claudio (1936-2011),"$4,015,498"
385,BOTTiCELLi Sandro (c.1445-1510),"$4,001,749"
386,rOmAninO Girolamo (1484/87-1562),"$4,000,000"
387,hArriS Lawren Stewart h. (1885-1970),"$3,997,394"
388,XU Linlu (1916-2011),"$3,983,820"
389,CASTELLAni Enrico (1930),"$3,981,140"
390,SErrA richard (1939),"$3,978,631"
391,LiU Yi (1957),"$3,965,038"
392,DArDEL von nils (1888-1943),"$3,956,968"
393,mAThiEU Georges (1921-2012),"$3,937,448"
394,YU Zhizhen (1915-1995),"$3,933,090"
395,GUSTOn Philip (1913-1980),"$3,922,650"
396,mAiLLOL Aristide (1861-1944),"$3,900,112"
397,PEnn irving (1917-2009),"$3,879,874"
398,ZhU meicun (1911-1993),"$3,878,117"
399,WOLS Otto (1913-1951),"$3,864,268"
400,mÜnTEr Gabriele (1877-1962),"$3,824,249"
401,rOSSETTi Dante Gabriel (1828-1882),"$3,806,707"
402,LU Yushun (1962),"$3,803,475"
403,ZhAO Bandi (1966),"$3,801,980"
404,WU Qingxia (1910-2008),"$3,787,510"
405,YAnG Xiaoyang (1958),"$3,782,076"
406,VErESCAGin Vasilij Vasilevic (1842-1904),"$3,771,762"
407,TUrnEr Joseph mallord Willia (1775-1851),"$3,764,802"
408,ZUrBArAn de Juan (1620-1649),"$3,762,720"
409,CADELL Francis Campbell Boil (1883-1937),"$3,737,782"
410,mA Jin (1900-1970),"$3,729,344"
411,AVErCAmP hendrick (1585-1634),"$3,727,746"
412,VALTAT Louis (1869-1952),"$3,706,850"
413,ArTAUD Antonin (1896-1948),"$3,702,456"
414,BAi Gengyan (1940-2007),"$3,698,868"
415,CASSATT mary (1844-1926),"$3,697,356"
416,nAn haiyan (1962),"$3,677,295"
417,mASSOn André (1896-1987),"$3,672,425"
418,LU Yifei (1908-1997),"$3,659,657"
419,ChADWiCk Lynn russell (1914-2003),"$3,658,069"
420,GiLBErT & GEOrGE  (XX-XXi),"$3,633,178"
421,SmArT Frank Jeffrey Edson (1921),"$3,629,551"
422,LEnG Jun (1963),"$3,615,627"
423,JOrDAEnS Jacob (1593-1678),"$3,600,037"
424,mArTini Simone (c.1284-1344),"$3,600,000"
425,GiACOmETTi Giovanni (1868-1933),"$3,596,163"
426,ChEn Yanning (1945),"$3,591,276"
427,LOnG Liyou (1958),"$3,581,941"
428,Li Shan (1686-1762),"$3,568,137"
429,FrAGOnArD Jean-honoré (1732-1806),"$3,556,553"
430,hErGÉ  (1907-1983),"$3,554,611"
431,hErBin Auguste (1882-1960),"$3,547,606"
432,ViEirA DA SiLVA maria Elena (1908-1992),"$3,545,018"
433,LiU Jiyou (1918-1983),"$3,513,144"
434,PEChSTEin hermann max (1881-1955),"$3,508,542"
435,WYETh Andrew (1917-2009),"$3,504,905"
436,ChAmBErLAin John Angus (1927-2011),"$3,480,344"
437,GOYEn van Jan Jozefsz. (1596-1656),"$3,471,806"
438,rUBin reuven (1893-1974),"$3,467,695"
439,SU Tianci (1922-2006),"$3,466,635"
440,QUinn marc (1964),"$3,448,387"
441,WU Dayu (1903-1988),"$3,442,323"
442,GUnAWAn hendra (1918-1983),"$3,438,954"
443,WU Li (1632-1718),"$3,419,834"
444,GOnZALEZ Julio (1876-1942),"$3,417,920"
445,BEUYS Joseph (1921-1986),"$3,409,233"
446,SChmiDT-rOTTLUFF karl (1884-1976),"$3,405,270"
447,LOU Shibai (1918-2010),"$3,404,645"
448,XiAnG Shengmo (1597-1658),"$3,393,737"
449,FiSChEr Urs (1973),"$3,384,067"
450,POmODOrO Arnaldo (1926),"$3,368,995"
451,PiSTOLETTO michelangelo (1933),"$3,365,074"
452,COYPEL Charles-Antoine (1694-1752),"$3,356,723"
453,BrACk John Cecil (1920-1999),"$3,354,033"
454,mUniZ Vik (1961),"$3,347,876"
455,DinET Etienne Alphonse (1861-1929),"$3,334,447"
456,BrUEGhEL Jan ii (1601-1678),"$3,325,208"
457,POrTinAri Cándido (1903-1962),"$3,323,821"
458,DUChAmP marcel (1887-1968),"$3,320,936"
459,LEmiEUX Jean-Paul (1904-1990),"$3,316,261"
460,hUAnG Shen (1687-c.1773),"$3,315,121"
461,SEUrAT Georges Pierre (1859-1891),"$3,311,682"
462,FEnG Dazhong (1949),"$3,311,563"
463,ZOrn Anders Leonard (1860-1920),"$3,292,341"
464,rOBErT hubert (1733-1808),"$3,278,020"
465,SUGimOTO hiroshi (1948),"$3,259,671"
466,rUYSDAEL van Salomon (c.1602-1670),"$3,257,062"
467,LAUrEnS henri (1885-1954),"$3,248,498"
468,BOUDin Eugène (1824-1898),"$3,240,745"
469,ChEn Zizhuang (1913-1976),"$3,220,705"
470,hOOCh de Pieter (1629-1684),"$3,200,000"
471,ALmA-TADEmA Lawrence (1836-1912),"$3,196,796"
472,hECkEL Erich (1883-1970),"$3,173,804"
473,ChiPArUS Dimitri (1886-1947),"$3,159,878"
474,mOhOLY-nAGY László (1895-1946),"$3,158,337"
475,ChEn Chun (1483-1544),"$3,154,640"
476,Lin Fengsu (1939),"$3,153,313"
477,EnSOr James (1860-1949),"$3,120,486"
478,PETrOV-VODkin kuzma Sergievitch (1878-1939),"$3,106,812"
479,rYmAn robert (1930),"$3,086,728"
480,BOUChArDOn Edmé (1698-1762),"$3,079,892"
481,XiE Shichen (1487-c.1567),"$3,075,297"
482,COrOT Camille Jean-Baptiste (1796-1875),"$3,068,927"
483,hArTUnG hans (1904-1989),"$3,067,246"
484,TOULOUSE-LAUTrEC de henri (1864-1901),"$3,043,670"
485,TAO Lengyue (1895-1985),"$3,038,362"
486,PEPLOE Samuel John (1871-1935),"$3,031,390"
487,YAn Wenliang (1893-1988),"$3,022,858"
488,ZhEnG naiguang (1912-2005),"$3,021,190"
489,Yi Bingshou (1754-1815),"$3,001,541"
490,PiErnEEF Jacob hendrik (1886-1957),"$2,998,277"
491,YUAn Jiang (1662-1735),"$2,993,600"
492,YUE minjun (1962),"$2,987,163"
493,OSTADE van Adriaen Jansz & isack (XVii),"$2,981,480"
494,LiAnG Qichao (1873-1929),"$2,976,674"
495,mUnninGS Alfred James (1878-1959),"$2,972,993"
496,FU Xiaoshi (1932),"$2,957,895"
497,JiAnG meiyan (1956),"$2,939,248"
498,FiLLA Emil (1882-1953),"$2,935,481"
499,BALThUS  (1908-2001),"$2,932,086"
500,hiLL Carl Fredrik (1849-1911),"$2,928,542"
