A,B,C,D,E
29,MAGRITTE René (1898-1967),"80,711,049",112,"6,746,000"
30,MAlEvICH Kasimir sevrinovitch (1878-1935),"80,315,243",18,"37,770,000"
31,Fu baoshi (1904-1965),"79,847,217",78,"12,556,218"
32,CuI Ruzhuo (1944),"78,820,735",50,"30,444,000"
33,GAuGuIN paul (1848-1903),"78,563,948",64,"30,965,000"
34,KooNING de Willem (1904-1997),"75,588,620",63,"24,890,000"
35,MooRE Henry (1898-1986),"71,534,016",381,"7,669,000"
36,souTINE Chaïm (1894-1943),"69,230,990",10,"28,165,000"
37,CÉZANNE paul (1839-1906),"67,478,363",41,"20,885,000"
38,KlEIN yves (1928-1962),"66,973,093",53,"9,306,872"
39,Xu beihong (1895-1953),"65,517,265",117,"10,366,560"
40,polKE sigmar (1941-2010),"62,428,975",155,"27,130,000"
41,MoNdRIAAN piet (1872-1944),"60,779,062",13,"50,565,000"
42,KusAMA yayoi (1929),"57,293,061",464,"7,033,080"
43,KooNs Jeff (1955),"56,720,196",108,"14,725,000"
44,CHu Teh-Chun (1920-2014),"56,262,091",148,"4,414,380"
45,HuANG Zhou (1925-1997),"55,676,106",258,"6,420,220"
46,lIN Fengmian (1900-1991),"54,931,214",182,"1,480,920"
47,Wu Changshuo (1844-1927),"54,656,208",336,"6,865,270"
48,HuANG binhong (1865-1955),"50,671,273",169,"1,737,236"
49,polloCK Jackson (1912-1956),"50,221,334",13,"22,930,000"
50,lu yanshao (1909-1993),"48,925,935",301,"2,170,223"
51,ToulousE-lAuTREC de Henri (1864-1901),"47,849,300",289,"16,242,840"
52,doIG peter (1959),"47,634,385",64,"25,925,000"
53,KlINE Franz (1910-1962),"45,692,355",17,"21,445,000"
54,KlIMT Gustav (1862-1918),"44,469,435",65,"39,102,169"
55,KANdINsKy Wassily (1866-1944),"44,350,218",91,"9,498,200"
56,sAN yu (1901-1966),"43,155,301",54,"10,562,520"
57,KIppENbERGER Martin (1953-1997),"40,002,119",35,"16,405,000"
58,RAusCHENbERG Robert (1925-2008),"39,910,456",282,"18,645,000"
59,RusCHA Ed (1937),"39,545,918",154,"5,402,000"
60,bouRGEoIs louise (1911-2010),"38,867,249",66,"28,165,000"
61,pIssARRo Camille (1830-1903),"37,647,297",127,"4,730,000"
62,MITCHEll Joan (1926-1992),"37,327,636",35,"5,765,000"
63,doNG qichang (1555-1636),"36,470,157",100,"10,839,900"
64,RodIN Auguste (1840-1917),"36,243,617",130,"9,498,200"
65,sTEllA Frank (1936),"34,634,658",178,"13,690,000"
66,RENoIR pierre-Auguste (1841-1919),"32,204,881",233,"3,428,024"
67,ZHu da (1626-1705),"31,701,797",19,"12,778,225"
68,KIRCHNER Ernst ludwig (1880-1938),"31,426,526",91,"13,605,000"
69,sIGNAC paul (1863-1935),"30,658,432",85,"6,410,000"
70,sCHIElE Egon (1890-1918),"30,214,865",80,"3,370,000"
71,sTINGEl Rudolf (1956),"30,081,213",28,"4,757,000"
72,MANET Édouard (1832-1883),"29,984,514",60,"26,735,353"
73,bRAquE Georges (1882-1963),"29,408,861",262,"8,202,000"
74,sIslEy Alfred (1839-1899),"29,249,055",17,"4,954,000"
75,pRINCE Richard (1949),"29,234,795",58,"4,421,000"
76,NARA yoshitomo (1959),"29,040,504",197,"3,413,000"
77,qIAN loNG Emperor (1711-1799),"28,922,304",35,"12,273,950"
78,RyMAN Robert (1930),"28,662,917",15,"20,605,000"
79,buRRI Alberto (1915-1995),"28,389,737",56,"5,327,957"
80,pu Ru (1896-1963),"28,332,051",650,"977,304"
81,sHIRAGA Kazuo (1924-2008),"28,208,005",101,"3,106,320"
82,sMITH david (1906-1965),"28,138,489",18,"5,989,000"
83,pIsTolETTo Michelangelo (1933),"27,835,418",163,"3,861,000"
84,KIM Whan Ki (1913-1974),"27,721,223",61,"4,511,388"
85,WEN Zhengming (1470-1559),"27,575,761",70,"12,778,225"
86,RoCKWEll Norman perceval (1894-1978),"27,167,121",72,"11,589,000"
87,WANG duo (1592-1652),"26,102,686",47,"3,308,789"
88,dERAIN Andr (1880-1954),"25,980,972",143,"11,011,829"
89,boETTI Alighiero (1940-1994),"25,620,624",107,"2,424,214"
90,boNNARd pierre (1867-1947),"25,325,856",204,"2,410,000"
91,sTIll Clyfford (1904-1980),"24,943,000",2,"14,810,000"
92,HIRsT damien (1965),"24,658,395",317,"4,647,742"
93,sHI Tao (1642-1707),"24,507,727",13,"10,574,480"
94,CAsTEllANI Enrico (1930),"24,474,695",69,"2,727,821"
95,doNGEN van Kees (1877-1968),"24,404,374",119,"6,524,363"
96,ERNsT Max (1891-1976),"24,386,920",241,"9,125,000"
97,lEE ufan (1936),"24,326,246",159,"1,330,000"
98,ZENG Fanzhi (1964),"23,453,980",29,"2,688,360"
99,sHI lu (1919-1982),"23,236,561",75,"3,587,770"
100,XIE Zhiliu (1910-1997),"22,907,372",235,"1,890,600"
101,MARdEN brice (1938),"21,720,045",31,"10,245,000"
102,buFFET bernard (1928-1999),"21,393,753",633,"634,000"
103,KIEFER Anselm (1945),"20,647,302",42,"1,665,584"
104,dAlI salvador (1904-1989),"20,597,519","1,369","4,570,780"
105,bRAdFoRd Mark (1961),"20,395,788",10,"5,775,437"
106,MARTIN Agnes (1912-2004),"20,253,654",9,"6,325,000"
107,HARING Keith (1958-1990),"19,793,532",289,"1,690,000"
108,GuAN liang (1900-1986),"19,755,447",233,"1,134,360"
109,CoNsTAblE John (1776-1837),"19,672,167",9,"13,768,254"
110,CHuNG sang-Hwa (1932),"19,558,845",93,"1,114,173"
111,o'KEEFFE Georgia (1887-1986),"19,331,500",20,"8,986,000"
112,lANG shih-Ning (1688-1766),"18,626,085",4,"17,724,600"
113,CouRbET Gustave (1819-1877),"18,580,129",24,"15,285,000"
114,HoCKNEy david (1937),"18,375,233",364,"5,343,141"
115,KApooR Anish (1954),"18,191,779",56,"1,832,129"
116,Wu Hufan (1894-1968),"18,036,382",161,"2,555,415"
117,GRoTJAHN Mark (1968),"17,661,521",14,"6,522,000"
118,sCHEGGI paolo (1940-1971),"17,577,294",40,"1,821,818"
119,loWRy laurence stephen (1887-1976),"17,574,265",257,"2,493,906"
120,AI Weiwei (1957),"17,450,622",30,"5,424,347"
121,MoRANdI Giorgio (1890-1964),"16,917,398",125,"3,941,218"
122,dIEbENKoRN Richard (1922-1993),"16,879,042",48,"8,986,000"
123,ENsoR James (1860-1949),"16,558,690",126,"6,970,000"
124,HE Haixia (1908-1998),"16,283,496",124,"5,219,275"
125,uECKER Günther (1930),"16,061,948",365,"2,035,283"
126,MAIllol Aristide (1861-1944),"15,838,379",97,"2,650,000"
127,FRANKENTHAlER Helen (1928-2011),"15,717,503",87,"2,830,000"
128,HEpWoRTH barbara (1903-1975),"15,641,728",46,"4,889,010"
129,THIEbAud Morton Wayne (1920),"15,586,236",69,"4,085,000"
130,boTERo Fernando (1932),"15,521,596",85,"845,000"
131,yu youren (1879-1964),"15,316,065",586,"505,862"
132,GAIToNdE vasudeo. s. (1924-2001),"15,264,251",18,"4,377,794"
133,JIN Nong (1687-1763),"15,150,852",35,"7,618,923"
134,qI Gong (1912-2005),"15,108,371",241,"719,107"
135,sEvERINI Gino (1883-1966),"15,099,010",46,"10,678,512"
136,WEssElMANN Tom (1931-2004),"14,975,075",194,"2,384,747"
137,CRANACH lucas I (1472-1553),"14,923,284",21,"14,483,883"
138,sEuRAT Georges pierre (1859-1891),"14,902,353",6,"11,690,208"
139,yu Fei'an (1888-1959),"14,876,116",70,"1,003,237"
140,ZHu Ming (1938),"14,500,302",91,"1,248,720"
141,duFy Raoul (1877-1953),"14,433,320",238,"2,265,778"
142,lIu Guosong (1932),"14,404,309",93,"1,677,517"
143,pARK seo-bo (1931),"14,252,363",94,"1,212,600"
144,MoRAN Thomas (1837-1926),"14,171,175",39,"8,565,000"
145,lI Xiongcai (1910-2001),"14,000,892",188,"1,259,860"
146,bAlTHus  (1908-2001),"13,479,748",23,"9,909,000"
147,AvERy Milton Clark (1885-1965),"13,150,681",61,"3,370,000"
148,NoldE Emil (1867-1956),"13,081,057",129,"2,170,000"
149,HoNG yi (1880-1942),"13,080,655",36,"5,070,293"
150,CHIRICo de Giorgio (1888-1978),"13,061,833",154,"3,973,000"
151,ANKER Albert (1831-1910),"12,743,179",68,"4,102,669"
152,AlbERs Josef (1888-1976),"12,525,742",162,"1,184,408"
153,GuAN shanyue (1912-2000),"12,424,584",118,"1,132,290"
154,bENToN Thomas Hart (1889-1975),"12,411,598",120,"4,869,000"
155,TANsEy Mark (1949),"12,229,000",4,"5,653,000"
156,souZA Francis Newton (1924-2002),"12,066,001",160,"4,085,000"
157,AuERbACH Frank (1931),"11,934,310",34,"3,493,411"
158,TAMAyo Rufino (1899-1991),"11,917,089",181,"3,010,000"
159,WANG Hui (1632-1717),"11,626,668",41,"4,638,840"
160,pECHsTEIN Hermann Max (1881-1955),"11,499,026",133,"1,570,000"
161,bAsElITZ Georg (1938),"11,339,785",136,"1,557,881"
162,INdIANA Robert (1928),"11,135,182",234,"2,402,430"
163,GRIs Juan (1887-1927),"11,048,008",15,"6,874,775"
164,KlEE paul (1879-1940),"10,981,149",72,"2,090,055"
165,lAM Wifredo (1902-1982),"10,963,484",93,"2,629,000"
166,MuNCH Edvard (1863-1944),"10,854,190",131,"1,990,000"
167,GuNAWAN Hendra (1918-1983),"10,848,670",28,"3,415,920"
168,MuRAKAMI Takashi (1962),"10,844,483",326,"1,785,360"
169,bRuEGHEl pieter II (c.1564-1637/38),"10,593,054",14,"1,852,331"
170,sHANG yang (1942),"10,581,868",29,"1,325,030"
171,HoFMANN Hans (1880-1966),"10,552,512",38,"6,325,000"
172,pICAbIA Francis (1879-1953),"10,419,910",61,"2,908,877"
173,CHENG shifa (1921-2007),"10,414,120",251,"1,056,804"
174,ARp Hans (1886-1966),"10,359,525",117,"2,318,212"
175,lE CoRbusIER  (1887-1965),"10,343,674",83,"4,645,000"
176,JAWlENsKy von Alexej (1864-1941),"10,306,996",39,"2,847,207"
177,HusAIN Maqbool Fida (1915-2011),"10,148,082",86,"1,660,555"
178,bRAdlEy Joe (1975),"9,958,705",14,"3,077,000"
179,JoHNs Jasper (1930),"9,821,026",143,"2,405,000"
180,REN yi (1840-1896),"9,808,072",89,"2,077,130"
181,NolANd Cady (1956),"9,804,006",2,"9,797,000"
182,CAIllEboTTE Gustave (1848-1894),"9,718,951",7,"6,746,000"
183,HuANG yongyu (1924),"9,705,914",111,"1,174,321"
184,bRANCusI Constantin (1876-1957),"9,665,358",11,"9,125,000"
185,boNAluMI Agostino (1935-2013),"9,598,316",122,"592,758"
186,NAuMAN bruce (1941),"9,576,119",40,"4,197,000"
187,GNolI domenico (1933-1970),"9,516,773",17,"6,885,000"
188,NolANd Kenneth (1924-2010),"9,497,705",35,"3,370,000"
189,qIAN songyan (1899-1985),"9,376,299",106,"584,919"
190,MARC Franz (1880-1916),"9,361,761",23,"3,837,066"
191,AFFANdI  (1907-1990),"9,267,006",49,"1,011,360"
192,bRoNZINo Agnolo di C.Allori (1503-1572),"9,266,554",2,"9,125,000"
193,sToMER Matthias I (c.1600-c.1650),"9,215,043",6,"8,052,809"
194,HEAdE Martin Johnson (1819-1904),"9,200,500",8,"5,850,000"
195,MoTHERWEll Robert (1915-1991),"9,190,341",171,"1,805,000"
196,ZHu Xinjian (1953-2014),"9,160,355",370,"304,201"
197,ZHENG Zhong (act.c.1612-1648),"9,030,088",4,"8,707,340"
198,lIN sanzhi (1898-1989),"8,953,194",198,"936,675"
199,WyETH Andrew (1917-2009),"8,948,666",29,"5,178,000"
200,CHAdWICK lynn Russell (1914-2003),"8,887,898",92,"1,139,229"
201,vAsAREly victor (1906-1997),"8,865,856",697,"514,000"
202,RussEll Charles Marion (1864-1926),"8,851,326",50,"1,089,000"
203,WANG yuanqi (1642-1715),"8,850,605",32,"2,832,450"
204,TING Walasse (1929-2010),"8,818,486",180,"1,816,320"
205,CHEN Wenxi (1906-1991),"8,812,383",123,"1,141,650"
206,MACK Heinz (1931),"8,806,448",200,"531,715"
207,pIENE otto (1928-2014),"8,757,613",203,"875,399"
208,FRANCIs sam (1923-1994),"8,666,348",257,"496,612"
209,bRuEGHEl Jan I (1568-1625),"8,647,865",11,"3,973,000"
210,lE MAyEuR dE MERpREs Adrien Jean (1880-1958),"8,642,137",35,"2,641,920"
211,CHANN George (1913-1995),"8,626,350",103,"549,024"
212,vlAMINCK de Maurice (1876-1958),"8,626,039",183,"549,982"
213,MEHRETu Julie (1970),"8,539,846",13,"3,483,085"
214,sHERMAN Cindy (1954),"8,536,229",67,"2,965,000"
215,HECKEl Erich (1883-1970),"8,468,895",161,"4,512,113"
216,sCHÜTTE Thomas (1954),"8,452,193",24,"1,927,607"
217,duCHAMp Marcel (1887-1968),"8,424,106",37,"2,965,000"
218,sHER-GIl Amrita (1913-1941),"8,308,950",4,"2,920,000"
219,lIpCHITZ Jacques (1891-1973),"8,247,608",46,"1,325,000"
220,lIGoN Glenn (1960),"8,239,399",27,"2,909,000"
221,spENCER stanley (1891-1959),"8,085,854",16,"4,624,611"
222,FAN Zeng (1938),"8,079,597",104,"1,278,570"
223,MEHTA Tyeb (1925-2009),"8,066,095",9,"2,033,545"
224,KEllEy Mike (1954-2012),"8,051,491",24,"3,070,000"
225,GoNZAlEZ-ToRREs Felix (1957-1996),"8,041,063",5,"7,669,000"
226,CHAMbERlAIN John Angus (1927-2011),"7,978,454",39,"970,000"
227,ZHANG Xiaogang (1958),"7,975,912",35,"2,827,680"
228,Wu dayu (1903-1988),"7,973,398",29,"1,892,900"
229,HE Jiaying (1957),"7,971,785",23,"2,267,340"
230,ZHou Chunya (1955),"7,968,650",45,"1,039,830"
231,HuANG Junbi (1898-1991),"7,904,985",227,"381,840"
232,lEE Man Fong (1913-1988),"7,893,162",54,"2,017,560"
233,Judd donald (1928-1994),"7,874,228",35,"1,685,000"
234,doMINGuEZ oscar (1906-1957),"7,863,964",33,"2,717,428"
235,CHEoNG soo pieng (1917-1983),"7,851,572",70,"995,880"
236,WANG Xuetao (1903-1982),"7,840,494",166,"503,930"
237,ZHANG Ruitu (1570-1641),"7,838,966",24,"1,475,795"
238,CATTElAN Maurizio (1960),"7,827,961",63,"2,424,214"
239,bRuEGHEl Jan II (1601-1678),"7,819,967",35,"2,949,188"
240,GuRsKy Andreas (1955),"7,791,768",36,"1,744,346"
241,CuRRIN John (1962),"7,628,666",10,"3,525,000"
242,GRECo El dom. Theotokopoulos (1541-1614),"7,576,104",3,"3,750,104"
243,RAuCH Neo (1960),"7,567,550",34,"1,516,611"
244,FENG Zikai (1898-1975),"7,558,578",106,"494,328"
245,HERG  (1907-1983),"7,507,007",56,"1,732,586"
246,ANsElMo Giovanni (1934),"7,433,817",4,"6,437,000"
247,RIopEllE Jean-paul (1923-2002),"7,398,319",52,"2,224,010"
248,soulAGEs pierre (1919),"7,369,733",136,"1,517,849"
249,oFIlI Chris (1968),"7,354,100",17,"4,541,955"
250,HARRIs lawren stewart H. (1885-1970),"7,298,888",12,"3,459,783"
251,qIAN Weicheng (1720-1772),"7,264,453",18,"4,821,029"
252,MÜNTER Gabriele (1877-1962),"7,241,858",39,"1,186,000"
253,dAvIs stuart (1894-1964),"7,206,372",12,"3,189,000"
254,FÖRG Gnther (1952-2013),"7,202,862",153,"781,366"
255,FIsCHER urs (1973),"7,140,174",8,"2,405,000"
256,oEHlEN Albert (1954),"7,094,803",23,"1,768,247"
257,boudIN Eugène (1824-1898),"7,075,248",81,"1,505,000"
258,ToRREs GARCIA Joaquín (1874-1949),"7,058,495",33,"2,105,000"
259,lEWITT sol (1928-2007),"7,006,059",230,"703,403"
260,GossAERT Jan Mabuse (c.1478-1532),"6,996,734",1,"6,996,734"
261,JIN Tingbiao (act.1757-1767),"6,980,402",4,"6,965,872"
262,JIA Aili (1979),"6,977,021",9,"1,713,120"
263,MATTA Roberto (1911-2002),"6,952,397",162,"941,000"
264,vAlloTToN Félix (1865-1925),"6,936,947",87,"899,052"
265,ZHENG banqiao (1693-1765),"6,929,758",40,"1,342,326"
266,TANAKA Atsuko (1932-2005),"6,907,434",27,"1,075,811"
267,WANG Jian (1598-1677),"6,876,678",26,"1,642,821"
268,TANGuy yves (1900-1955),"6,824,898",16,"3,259,408"
269,MANZoNI piero (1933-1963),"6,824,260",30,"2,555,963"
270,RAZA sayed Haider (1922),"6,801,058",67,"868,032"
271,CoNdo George (1957),"6,768,318",55,"1,090,000"
272,Ruby sterling (1972),"6,755,127",25,"869,000"
273,FANG Chuxiong (1950),"6,720,110",170,"529,368"
274,RICHIER Germaine (1904-1959),"6,717,002",27,"1,297,605"
275,sHEN & WEN Zhou & Zhengming (Xv-XvI),"6,703,465",1,"6,703,465"
276,FENG Ning (1736-?),"6,697,680",1,"6,697,680"
277,GoTTlIEb Adolph (1903-1974),"6,661,273",30,"2,410,000"
278,sEREbRJAKoWA sinaida Jewgenewna (1884-1967),"6,612,114",8,"5,862,472"
279,loNGo Robert (1953),"6,605,331",120,"1,023,171"
280,HARTuNG Hans (1904-1989),"6,576,766",205,"1,783,835"
281,oldENbuRG Claes Thure (1929),"6,552,513",124,"3,637,000"
282,ClAudEl Camille (1864-1943),"6,534,348",13,"1,450,000"
283,CHEN yifei (1946-2005),"6,522,423",13,"1,209,754"
284,sHEN Zhou (1427-1509),"6,497,540",23,"4,319,400"
285,HEdA Willem Claesz. (1594-1680/82),"6,458,363",4,"4,576,553"
286,buGATTI Rembrandt (1884-1916),"6,442,801",16,"2,770,000"
287,FouJITA Tsuguharu (1886-1968),"6,377,847",426,"546,960"
288,dovE Arthur Garfield (1880-1946),"6,310,473",9,"5,429,000"
289,sHI Chong (1963),"6,278,656",5,"5,954,355"
290,Gu quan (Attrib.) (XvIII),"6,234,535",1,"6,234,535"
291,polIAKoFF serge (1900-1969),"6,212,598",152,"604,173"
292,FEININGER lyonel (1871-1956),"6,179,927",129,"1,090,000"
293,CHRIsTo  (1935),"6,179,269",267,"514,000"
294,bAllA Giacomo (1871-1958),"6,162,069",64,"1,690,000"
295,HuA yan (1682-1756),"6,158,309",23,"1,230,385"
296,GuARdI Francesco (1712-1793),"6,104,889",15,"3,060,005"
297,pANINI Giovanni paolo (1691-1765),"6,100,552",12,"5,317,000"
298,FANG lijun (1963),"6,095,166",21,"2,796,720"
299,ZobEl dE AyAlA Fernando (1924-1984),"6,046,935",141,"770,051"
300,yANG Zhiguang (1930),"6,039,860",137,"283,912"
301,lIEbERMANN Max (1847-1935),"6,019,719",156,"2,941,851"
302,lIu Wei (1965),"5,931,990",15,"2,022,720"
303,AuERbACH Tauba (1981),"5,894,125",16,"2,180,405"
304,yosHIHARA Jiro (1905-1972),"5,880,922",61,"629,520"
305,lAI shaoqi (1915-2000),"5,849,833",133,"807,024"
306,WIllIAMs Frederick Ronald (1927-1982),"5,800,355",43,"1,228,564"
307,ARMAN Fernandez (1928-2005),"5,800,335",464,"217,498"
308,WAldE Alfons (1891-1958),"5,793,546",37,"531,300"
309,TANG yun (1910-1993),"5,790,832",318,"373,601"
310,JIAN Jiang (1610-1664),"5,782,481",3,"4,537,440"
311,dING yanyong (1902-1978),"5,773,682",186,"629,520"
312,sTuRTEvANT  (1930-2014),"5,771,336",9,"5,093,000"
313,lIu Haisu (1896-1994),"5,762,243",78,"1,039,830"
314,soRollA y bAsTIdA Joaqun (1863-1923),"5,751,553",16,"3,616,133"
315,yuN shouping (1633-1690),"5,690,153",36,"2,519,650"
316,ZHou yansheng (1942),"5,684,478",52,"945,300"
317,NEER van der Aert I (1603/04-1677),"5,675,224",13,"4,757,000"
318,HodGKIN Howard (1932),"5,620,494",83,"1,832,129"
319,MEloTTI Fausto (1901-1986),"5,608,431",93,"658,480"
320,Wood Jonas (1977),"5,590,991",33,"839,627"
321,MAo yan (1968),"5,581,465",12,"1,696,365"
322,pARRIsH Maxfield Frederick (1870-1966),"5,573,814",9,"1,570,000"
323,RuysdAEl van salomon (c.1602-1670),"5,568,048",9,"3,077,000"
324,sERRA Richard (1939),"5,566,660",60,"1,390,000"
325,louIs Morris (1912-1962),"5,554,214",3,"2,424,214"
326,soTo Jess Rafael (1923-2005),"5,509,837",110,"880,000"
327,lIu Xiaodong (1963),"5,507,936",8,"1,804,350"
328,ZENG & MA Fanzhi & Jack (1964),"5,443,800",1,"5,443,800"
329,vEldE van de Willem I (1611-1693),"5,443,744",5,"5,429,000"
330,HAMMoNs david (1943),"5,435,590",8,"2,290,000"
331,HANTAÏ simon (1922-2008),"5,430,927",20,"2,794,659"
332,REdoN odilon (1840-1916),"5,389,121",62,"1,090,000"
333,GuyToN Wade (1972),"5,344,653",21,"2,405,000"
334,yu youhan (1943),"5,330,134",11,"1,187,316"
335,pousETTE-dART Richard (1916-1992),"5,304,125",14,"2,629,000"
336,poModoRo Arnaldo (1926),"5,296,427",86,"1,043,924"
337,TIEpolo Giovanni domenico (1727-1804),"5,287,408",23,"4,402,740"
338,GIlbERT & GEoRGE  (XX-XXI),"5,255,142",50,"1,265,000"
339,pARK soo-Gun (1914-1965),"5,254,957",9,"1,910,748"
340,lIu Wei (1972),"5,246,616",13,"856,560"
341,MuNNINGs Alfred James (1878-1959),"5,243,101",34,"939,928"
342,KANG youwei (1858-1927),"5,221,382",88,"960,687"
343,MoHoly-NAGy lászló (1895-1946),"5,206,297",21,"1,505,000"
344,MARINI Marino (1901-1980),"5,197,322",138,"1,685,000"
345,sMART Frank Jeffrey Edson (1921-2013),"5,178,266",33,"578,298"
346,KIslING Moïse (1891-1953),"5,169,835",78,"430,000"
347,HoMER Winslow (1836-1910),"5,163,500",9,"2,650,000"
348,lIu danzhai (1931-2011),"5,158,414",77,"1,223,830"
349,TERpNING Howard A. (1927),"5,148,085",26,"845,000"
350,GoRMlEy Antony (1950),"5,130,201",32,"730,000"
351,lAlANNE François-Xavier (1927-2008),"5,101,568",54,"725,000"
352,bANKsy  (1974),"5,096,632",173,"318,432"
353,GIACoMETTI Giovanni (1868-1933),"5,090,354",41,"1,027,617"
354,vuIllARd Édouard (1868-1940),"5,048,347",67,"1,930,000"
355,HoFER Carl (1878-1955),"5,034,800",97,"741,190"
356,KAWARA on (1932-2014),"5,029,429",21,"1,205,000"
357,sCully sean (1945),"4,963,078",45,"855,051"
358,lI Kuchan (1899-1983),"4,931,378",117,"1,057,448"
359,REMbRANdT vAN RIJN  (1606-1669),"4,901,765",516,"326,749"
360,lAN ying (1585-c.1664),"4,896,380",36,"755,320"
361,MARTIN Henri (1860-1943),"4,893,279",47,"633,310"
362,uTRIllo Maurice (1883-1955),"4,870,137",96,"206,432"
363,KIM Tschang-yeul (1929),"4,868,134",39,"517,397"
364,Fu shan (1607-1684),"4,848,491",19,"1,040,463"
365,ARCHIpENKo Alexander (1887-1964),"4,839,146",35,"2,045,000"
366,GIll Eric (1882-1940),"4,826,525",33,"3,478,885"
367,HE shaoji (1799-1873),"4,826,193",88,"358,777"
368,bElloTTo bernardo (1721-1780),"4,773,743",9,"3,968,208"
369,ZHAo puchu (1907-2000),"4,731,131",176,"434,309"
370,bERToIA Harry (1915-1978),"4,724,119",69,"790,000"
371,ZHAo Zhiqian (1829-1884),"4,711,538",38,"1,446,309"
372,FRANK Robert (1924),"4,690,757",91,"245,000"
373,KRAsNER lee (1908-1984),"4,690,390",14,"1,925,000"
374,bEuys Joseph (1921-1986),"4,686,008",348,"523,896"
375,KElly Ellsworth (1923-2015),"4,615,290",107,"2,170,000"
376,boyd Arthur (1920-1999),"4,591,154",114,"1,140,810"
377,AMIET Cuno (1868-1961),"4,589,017",98,"755,516"
378,CHEN peiqiu (1922),"4,578,571",122,"604,256"
379,CoRoT Camille Jean-baptiste (1796-1875),"4,541,238",66,"610,000"
380,CsAR  (1921-1998),"4,541,061",231,"355,972"
381,boNINGToN Richard parkes (1802-1828),"4,541,014",13,"3,836,366"
382,sCHMIdT-RoTTluFF Karl (1884-1976),"4,522,326",125,"1,721,519"
383,vENTuRA Ronald (1973),"4,517,866",27,"1,016,520"
384,ZHAo shao'Ang (1905-1998),"4,512,246",186,"319,920"
385,TApIEs Antoni (1923-2012),"4,405,280",332,"401,562"
386,dENIs Maurice (1870-1943),"4,403,099",56,"2,629,000"
387,MoToNAGA sadamasa (1922-2011),"4,399,702",149,"939,120"
388,Wu dacheng (1835-1902),"4,397,477",72,"691,440"
389,ZHANG Enli (1965),"4,390,332",19,"946,450"
390,loIsEAu Gustave (1865-1935),"4,386,993",55,"418,000"
391,HERbIN Auguste (1882-1960),"4,379,674",42,"725,000"
392,sTRuTH Thomas (1954),"4,365,743",54,"1,810,000"
393,KATZ Alex (1927),"4,353,608",156,"389,000"
394,Xu qinsong (1952),"4,337,422",35,"1,792,344"
395,dÜRER Albrecht (1471-1528),"4,337,133",432,"656,747"
396,doNG shouping (1904-1997),"4,335,786",112,"420,024"
397,MAGsAysAy-Ho Anita (1914-2012),"4,310,414",22,"1,207,064"
398,TANG yin (1470-1523),"4,288,193",15,"1,043,855"
399,Wu Zuoren (1908-1997),"4,281,267",81,"870,734"
400,vRANCX sebastian (1573-1647),"4,270,211",10,"2,542,430"
401,yuN Hyong-Keun (1928-2007),"4,267,242",70,"345,720"
402,FAbRo luciano (1936-2007),"4,262,053",5,"4,201,232"
403,boNNET Johan Rudolf (1895-1978),"4,261,108",29,"3,338,520"
404,dINE Jim (1935),"4,260,095",179,"418,000"
405,AMoRsolo Fernando (1892-1972),"4,253,533",58,"345,720"
406,bRAvo Claudio (1936-2011),"4,240,158",24,"1,385,000"
407,MARTIN John (1789-1854),"4,234,799",6,"4,228,928"
408,sHEN yinmo (1883-1971),"4,220,524",115,"907,488"
409,GRosZ George (1893-1959),"4,218,909",162,"605,000"
410,HÉlIoN Jean (1904-1987),"4,208,966",32,"3,413,000"
