A,B,C,D,E
102,SOULaGeS Pierre (1919),"20,209,329",148,"5,280,320"
103,LiU Wei (1965),"19,134,174",43,"2,935,800"
104,Lee Ufan (1936),"18,997,111",112,"1,800,000"
105,WanG Xuetao (1903-1982),"18,896,219",348,"827,220"
106,hirSt Damien (1965),"18,867,447",243,"1,534,320"
107,Sherman Cindy (1954),"18,797,388",87,"5,900,000"
108,BUFFet Bernard (1928-1999),"18,416,157",598,"664,610"
109,hUanG Yongyu (1924),"18,286,630",241,"902,430"
110,DOnG Shouping (1904-1997),"18,251,261",309,"842,920"
111,SeUrat Georges Pierre (1859-1891),"17,577,466",15,"4,600,000"
112,he haixia (1908-1998),"17,310,468",144,"3,266,000"
113,BOterO Fernando (1932),"17,081,121",75,"2,150,000"
114,Chen Yifei (1946-2005),"16,910,797",29,"2,964,699"
115,kLee Paul (1879-1940),"16,684,585",100,"1,531,530"
116,SiSLeY alfred (1839-1899),"16,579,413",18,"4,200,000"
117,BOUrGeOiS Louise (1911-2010),"16,556,213",61,"6,200,000"
118,PiStOLettO michelangelo (1933),"16,404,032",145,"3,410,600"
119,GUan Liang (1900-1986),"16,014,062",239,"2,197,800"
120,ren Yi (1840-1896),"15,959,015",167,"1,199,520"
121,GUarDi Francesco (1712-1793),"15,643,001",6,"14,996,625"
122,SChieLe egon (1890-1918),"15,576,255",54,"2,808,795"
123,StiLL Clyfford e. (1904-1980),"15,500,000",1,"15,500,000"
124,hePWOrth Barbara (1903-1975),"15,368,745",37,"6,206,825"
125,BrUeGheL Jan i (1568-1625),"15,013,005",12,"10,276,800"
126,StinGeL rudolf (1956),"14,946,970",26,"1,800,000"
127,FranCiS Sam (1923-1994),"14,904,001",296,"4,200,000"
128,DOnG Qichang (1555-1636),"14,722,727",123,"2,769,300"
129,GrOtJahn mark (1968),"14,712,838",21,"5,250,000"
130,Wen Zhengming (1470-1559),"14,576,419",79,"1,633,000"
131,YU Fei'an (1888-1959),"14,505,161",109,"972,600"
132,ChUrChiLL Winston Spencer (1874-1965),"14,419,124",18,"2,353,500"
133,mOran thomas (1837-1926),"14,399,150",18,"11,000,000"
134,GaUGUin Paul (1848-1903),"14,339,202",56,"4,700,000"
135,ZhenG Banqiao (1693-1765),"14,208,977",76,"2,200,000"
136,LiU Dawei (1945),"14,023,225",121,"1,621,000"
137,raUSChenBerG robert (1925-2008),"13,968,450",238,"5,000,000"
138,Li kuchan (1899-1983),"13,918,988",276,"786,240"
139,Lin Sanzhi (1898-1989),"13,856,855",350,"907,760"
140,GnOLi Domenico (1933-1970),"13,535,178",17,"10,230,620"
141,LUO Zhongli (1948),"13,483,611",53,"6,159,800"
142,thieBaUD morton Wayne (1920),"13,357,316",72,"4,200,000"
143,GiaCOmetti Diego (1902-1985),"13,003,447",57,"1,450,000"
144,rUBenS Peter Paul (1577-1640),"12,906,007",10,"4,796,120"
145,SerOV Valentin a. (1865-1911),"12,842,840",1,"12,842,840"
146,FeininGer Lyonel (1871-1956),"12,785,214",131,"6,879,600"
147,DOnGen van kees (1877-1968),"12,761,225",148,"2,400,000"
148,hOnG Yi (1880-1942),"12,755,950",85,"1,306,400"
149,LiU Xiaodong (1963),"12,589,594",15,"7,470,400"
150,nara Yoshitomo (1959),"12,549,825",160,"1,675,699"
151,StUBBS George (1724-1806),"12,333,467",3,"11,647,040"
152,Lai Shaoqi (1915-2000),"12,209,093",144,"5,538,600"
153,Chen Peiqiu (1922/23),"12,101,206",194,"1,040,000"
154,tamaYO rufino (1899-1991),"12,070,887",197,"3,600,000"
155,SChÜtte thomas (1954),"12,049,491",34,"4,600,000"
156,aVerY milton Clark (1885-1965),"11,997,255",60,"4,900,000"
157,Yi Bingshou (1754-1815),"11,964,497",55,"3,242,000"
158,kirChner ernst Ludwig (1880-1938),"11,799,488",122,"3,404,600"
159,tanSeY mark (1949),"11,566,400",9,"5,000,000"
160,hODLer Ferdinand (1853-1918),"11,547,315",43,"4,590,360"
161,LiU haisu (1896-1994),"11,536,281",138,"1,877,950"
162,UeCker Günther (1930),"11,506,894",256,"1,433,145"
163,BOrOVikOVSkiJ Vladimir Lukic (1757-1825),"11,398,838",5,"4,358,380"
164,WarhOL & BaSQUiat andy & Jean-michel (XX),"11,380,000",3,"10,000,000"
165,BeCkmann max (1884-1950),"11,228,774",111,"7,147,140"
166,YanG Yan (1958),"11,191,811",57,"10,784,400"
167,tanG Yun (1910-1993),"11,031,461",493,"293,940"
168,BOnnarD Pierre (1867-1947),"11,015,681",130,"1,700,000"
169,SOUtine Chaïm (1894-1943),"10,970,363",5,"7,371,000"
170,marDen Brice (1938),"10,949,818",42,"5,000,000"
171,marini marino (1901-1980),"10,946,178",171,"1,830,000"
172,FanG Lijun (1963),"10,814,787",30,"6,697,600"
173,kaPOOr anish (1954),"10,806,042",40,"1,500,000"
174,inDiana robert (1928),"10,738,742",244,"1,400,000"
175,SiGnaC Paul (1863-1935),"10,659,407",80,"5,150,160"
176,marC Franz (1880-1916),"10,588,147",21,"9,362,650"
177,JaWLenSkY von alexej (1864-1941),"10,519,759",28,"4,240,080"
178,tanG Yin (1470-1523),"10,514,886",33,"4,956,250"
179,DUFY raoul (1877-1953),"10,420,431",226,"1,350,000"
180,GUan Shanyue (1912-2000),"10,378,961",119,"2,850,750"
181,GOYa Y LUCienteS de Francisco José (1746-1828),"10,273,943",223,"2,609,280"
182,LiU Guosong (1932),"10,204,764",83,"1,804,599"
183,hOCkneY David (1937),"10,186,082",319,"2,500,000"
184,Chen Shaomei (1909-1954),"10,172,762",89,"3,000,700"
185,Shi Guoliang (1956),"10,111,795",116,"1,588,580"
186,hUanG Junbi (1898-1991),"10,051,378",313,"319,410"
187,GUStOn Philip (1913-1980),"9,967,505",19,"4,800,000"
188,FU Shan (1607-1684),"9,945,247",23,"3,890,400"
189,he Jiaying (1957),"9,919,579",54,"859,130"
190,ZhOU Sicong (1939-1996),"9,888,000",174,"1,377,850"
191,ZhU ming (1938),"9,699,670",94,"1,224,549"
192,BOnaLUmi agostino (1935-2013),"9,578,406",97,"832,676"
193,ernSt max (1891-1976),"9,521,400",219,"1,191,610"
194,LemPiCka de tamara (1898-1980),"9,473,443",29,"3,488,485"
195,Vermeer Van DeLFt Jan (1632-1675),"9,426,450",1,"9,426,450"
196,Jin nong (1687-1763),"9,367,369",48,"1,732,040"
197,mUnCh edvard (1863-1944),"9,348,818",99,"2,000,000"
198,CanaL Giovanni antonio (1697-1768),"9,319,494",14,"7,534,080"
199,LOUiS morris (1912-1962),"9,281,800",8,"2,492,400"
200,LiU Danzhai (1931-2011),"9,177,422",134,"1,339,060"
201,Li Xiongcai (1910-2001),"9,162,598",191,"788,160"
202,kim Whan ki (1913-1974),"9,116,692",37,"864,000"
203,WhiteLeY Brett (1939-1992),"9,102,582",78,"1,320,900"
204,SeVerini Gino (1883-1966),"9,037,144",44,"4,100,000"
205,ChiriCO de Giorgio (1888-1978),"9,006,542",125,"1,794,430"
206,raZa Sayed haider (1922),"8,976,994",63,"2,625,000"
207,GUrSkY andreas (1955),"8,931,133",36,"1,534,320"
208,Ya ming (1924-2002),"8,916,735",251,"1,172,160"
209,BranCUSi Constantin (1876-1957),"8,886,425",22,"7,500,000"
210,CeLminS Vija (1939),"8,881,028",29,"2,900,000"
211,aFFanDi (1907-1990),"8,778,382",49,"644,499"
212,GOBer robert (1954),"8,749,350",16,"3,600,000"
213,ChamBerLain John angus (1927-2011),"8,712,479",32,"1,800,000"
214,aUerBaCh Frank (1931),"8,573,063",27,"3,409,600"
215,Bai Xueshi (1915-2011),"8,571,042",164,"456,119"
216,rimini Da Giovanni (act.c.1292-c.1336),"8,564,000",1,"8,564,000"
217,Lee man Fong (1913-1988),"8,494,019",61,"3,735,200"
218,hOnG ren (1610-1663),"8,467,043",5,"7,542,300"
219,reYnOLDS Joshua (1723-1792),"8,456,960",12,"7,198,380"
220,kieFer anselm (1945),"8,438,286",25,"1,592,400"
221,FenG Zikai (1898-1975),"8,411,283",175,"437,670"
222,GOrkY arshile (1904-1948),"8,337,010",7,"7,800,000"
223,SOnG Wenzhi (1919-1999),"8,326,290",244,"469,151"
224,XU Lei (1963),"8,312,432",26,"2,606,400"
225,WanG Yidong (1955),"8,284,639",30,"1,458,900"
226,nOLDe emil (1867-1956),"8,251,745",115,"2,042,040"
227,WanG mingming (1952),"8,207,562",130,"453,600"
228,niChOLSOn Ben (1894-1982),"8,174,477",58,"3,060,900"
229,FiSCher Urs (1973),"8,170,339",13,"3,000,000"
230,LiGOn Glenn (1960),"8,120,573",24,"3,400,000"
231,CUrrin John (1962),"8,013,896",10,"4,000,000"
232,WeSSeLmann tom (1931-2004),"7,905,100",198,"800,000"
233,BraDFOrD mark (1961),"7,893,871",15,"2,000,000"
234,Jia Youfu (1942),"7,873,366",79,"1,864,150"
235,SOUZa Francis newton (1924-2002),"7,837,898",222,"1,400,000"
236,WU Zuoren (1908-1997),"7,832,988",148,"636,090"
237,Fan Yang (1955),"7,806,488",233,"243,750"
238,BaSSanO Jacopo da Ponte (1510/18-1592),"7,800,000",1,"7,800,000"
239,UtriLLO maurice (1883-1955),"7,780,990",142,"544,160"
240,BaLthUS (1908-2001),"7,740,442",40,"4,766,440"
241,keLLY ellsworth (1923),"7,713,922",108,"3,850,000"
242,WanG Yuanqi (1642-1715),"7,678,320",39,"1,465,200"
243,rOeriCh nicolaj konstantinov (1874-1947),"7,676,780",17,"2,179,190"
244,hOnthOrSt van Gerrit (1590-1656),"7,657,315",6,"6,600,000"
245,aVerCamP hendrick (1585-1634),"7,604,836",2,"7,536,320"
246,tinG Walasse (1929-2010),"7,589,503",244,"440,640"
247,rUSSeLL Charles marion (1864-1926),"7,568,150",35,"1,700,000"
248,SUDJOJOnO Sindudarsono (1913/14-1985),"7,522,442",13,"6,573,899"
249,rOmneY George (1734-1802),"7,507,521",16,"5,994,800"
250,ai Xuan (1947),"7,467,339",43,"749,800"
251,BaLDeSSari John (1931),"7,457,780",67,"2,100,000"
252,trOCkeL rosemarie (1952),"7,454,112",35,"4,300,000"
253,heDa Willem Claesz. (1594-1680/82),"7,421,107",2,"7,284,075"
254,VLaminCk de maurice (1876-1958),"7,420,280",169,"750,398"
255,aUerBaCh tauba (1981),"7,299,705",23,"1,900,000"
256,SCULLY Sean (1945),"7,291,971",49,"1,105,106"
257,mOtherWeLL robert (1915-1991),"7,255,858",156,"2,250,000"
258,Pan Yuliang (1895-1977),"7,179,153",11,"3,870,351"
259,POLiakOFF Serge (1900-1969),"7,174,640",144,"560,790"
260,arP hans (1886-1966),"7,147,467",118,"2,638,565"
261,haSSam Childe (1859-1935),"7,068,403",33,"3,000,000"
262,ZhaO Zhiqian (1829-1884),"7,060,825",66,"1,160,099"
263,herGÉ (1907-1983),"7,051,658",60,"3,089,233"
264,aLBerS Josef (1888-1976),"7,013,656",137,"1,353,082"
265,tian Liming (1955),"6,999,979",95,"315,900"
266,emPerOr kanGXi (1654-1722),"6,937,669",14,"3,258,000"
267,hOmer Winslow (1836-1910),"6,867,300",12,"3,900,000"
268,Shi Lu (1919-1982),"6,852,847",49,"1,021,230"
269,emin tracey (1963),"6,821,031",52,"3,751,660"
270,SOrOLLa Y BaStiDa Joaquín (1863-1923),"6,803,763",16,"3,131,600"
271,tian Shiguang (1916-1999),"6,803,606",123,"781,920"
272,kaWara On (1932),"6,800,927",16,"3,600,000"
273,riOPeLLe Jean-Paul (1923-2002),"6,759,469",72,"1,013,760"
274,PeChStein hermann max (1881-1955),"6,682,121",126,"3,063,060"
275,mehta tyeb (1925-2009),"6,650,686",6,"2,421,000"
276,ChOU Ying (1493-1560),"6,632,784",50,"1,823,360"
277,aiVaZOVSkY ivan Constantinovich (1817-1900),"6,606,006",33,"2,346,820"
278,rUBY Sterling (1972),"6,603,261",25,"1,449,505"
279,DinG Yanyong (1902-1978),"6,584,807",181,"592,939"
280,martin agnes (1912-2004),"6,535,790",8,"3,200,000"
281,rOSenQUiSt James (1933),"6,510,734",103,"2,800,000"
282,OehLen albert (1954),"6,480,901",28,"1,534,770"
283,COLen Dan (1979),"6,476,100",29,"2,600,000"
284,VeLDe van de Willem ii (1633-1707),"6,465,238",16,"2,978,440"
285,VereSCaGin Vasilij Vasilevic (1842-1904),"6,385,195",6,"5,364,160"
286,mOranDi Giorgio (1890-1964),"6,372,175",65,"992,806"
287,hammOnS David (1943),"6,357,070",11,"3,000,000"
288,StUart Gilbert (1755-1828),"6,334,528",6,"6,166,080"
289,SaGe kay (1898-1963),"6,304,747",3,"6,197,040"
290,FOUJita tsuguharu (1886-1968),"6,293,422",362,"1,630,800"
291,GUO moruo (1892-1978),"6,218,480",61,"1,102,280"
292,mehretU Julie (1970),"6,161,588",22,"1,500,000"
293,VaLLOttOn Félix (1865-1925),"6,154,698",61,"1,553,850"
294,XU Bing (1955),"6,130,422",30,"1,167,120"
295,anker albert (1831-1910),"6,118,614",78,"1,455,480"
296,COnDO George (1957),"6,094,017",52,"693,042"
297,Shen Zhou (1427-1509),"6,066,002",28,"1,798,500"
298,rOSSetti Dante Gabriel (1828-1882),"6,048,818",15,"3,914,500"
299,Shen Yinmo (1883-1971),"6,003,213",185,"1,218,750"
300,WYeth newell Convers (1882-1945),"5,962,000",20,"1,000,000"
301,BOUCher François (1703-1770),"5,863,098",31,"2,000,000"
302,BUGatti rembrandt (1884-1916),"5,858,575",18,"1,327,326"
303,YUe minjun (1962),"5,851,974",22,"1,296,800"
304,FLaVin Dan (1933-1996),"5,849,846",23,"2,600,000"
305,annenkOFF Youri Pavlovitch (1889-1974),"5,822,256",35,"5,481,700"
306,ZhaO Shao'ang (1905-1998),"5,809,681",247,"259,520"
307,DYCk van anthonius (1599-1641),"5,771,987",8,"3,919,000"
308,hOPPer edward (1882-1967),"5,734,360",18,"1,450,000"
309,XUe Liang (1956),"5,717,377",95,"1,103,640"
310,GOrmLeY antony (1950),"5,714,923",38,"1,688,400"
311,VaSareLY Victor (1906-1997),"5,702,366",643,"320,000"
312,riChier Germaine (1904-1959),"5,688,593",30,"1,906,100"
313,riLeY Bridget (1931),"5,673,363",58,"4,125,249"
314,Penn irving (1917-2009),"5,664,804",134,"389,338"
315,reminGtOn Frederic Sackrider (1861-1909),"5,581,704",47,"1,500,000"
316,CheOnG Soo Pieng (1917-1983),"5,566,836",55,"631,609"
317,VUiLLarD Édouard (1868-1940),"5,557,901",57,"2,900,000"
318,LentULOV aristarkh Vasilievic (1882-1943),"5,556,863",3,"3,017,340"
319,CLaUDeL Camille (1864-1943),"5,542,392",10,"2,661,330"
320,LeWitt Sol (1928-2007),"5,542,159",197,"620,000"
321,taPieS antoni (1923-2012),"5,510,249",361,"2,387,420"
322,man raY (1890-1976),"5,507,540",385,"400,000"
323,ZhanG ruitu (1570-1641),"5,495,433",30,"761,870"
324,GiamBOLOGna (c.1529-1608),"5,481,280",1,"5,481,280"
325,CaVarOZZi Bartolomeo (c.1590-1625),"5,480,960",1,"5,480,960"
326,StUrteVant elaine (1930-2014),"5,464,894",12,"2,900,000"
327,Smart Frank Jeffrey edson (1921-2013),"5,462,598",33,"961,103"
328,Chen hongshou (1598-1652),"5,458,659",20,"1,945,200"
329,ren Zhong (1976),"5,452,237",56,"423,540"
330,matta roberto (1911-2002),"5,425,650",153,"570,780"
331,ZhU Qizhan (1892-1996),"5,417,335",209,"260,000"
332,ZhaO Puchu (1907-2000),"5,382,881",175,"486,300"
333,BankSY (1974),"5,380,045",116,"959,819"
334,manGOLD robert (1937),"5,345,821",58,"800,000"
335,BOSSChaert ambrosius i (1573-1621),"5,334,160",2,"4,000,000"
336,WanG Jian (1598-1677),"5,309,438",23,"3,811,700"
337,Lam Wifredo (1902-1982),"5,302,834",100,"600,000"
338,Piene Otto (1928-2014),"5,284,162",213,"480,390"
339,YanG Shanshen (1913-2004),"5,279,455",184,"1,427,360"
340,naUman Bruce (1941),"5,222,457",40,"1,700,000"
341,kanG Youwei (1858-1927),"5,199,080",113,"324,200"
342,BraDLeY Joe (1975),"5,192,688",10,"1,305,768"
343,GU Wenda (1955),"5,179,178",42,"1,119,180"
344,BOUDin eugène (1824-1898),"5,172,981",104,"600,000"
345,LiU Ye (1964),"5,117,193",34,"891,550"
346,GreCO eL Dom. theotokopoulos (1541-1614),"5,100,000",1,"5,100,000"
347,VentUra ronald (1973),"5,097,987",29,"838,500"
348,hartUnG hans (1904-1989),"5,015,532",240,"857,682"
349,SPenCer Stanley (1891-1959),"5,014,671",20,"4,336,275"
350,Carra Carlo (1881-1966),"4,999,735",21,"4,422,600"
351,PU Guang (Xiii-XiV),"4,944,050",1,"4,944,050"
352,he Shaoji (1799-1873),"4,912,933",136,"747,500"
353,COOrte adriaen (c.1660-c.1723),"4,908,450",2,"4,708,800"
354,SOtO Jesús rafael (1923-2005),"4,906,306",121,"525,000"
355,LiU Jiyou (1918-1983),"4,891,144",108,"399,595"
356,remBranDt Van riJn (1606-1669),"4,885,402",440,"536,688"
357,Ghenie adrian (1977),"4,862,652",12,"2,045,760"
358,Chen Dayu (1912-2001),"4,855,807",247,"454,160"
359,ChiLLiDa eduardo (1924-2002),"4,823,521",161,"1,155,070"
360,enSOr James (1860-1949),"4,814,933",294,"714,966"
361,GrimShaW John atkinson (1836-1893),"4,811,754",18,"751,584"
362,DeLVaUX Paul (1897-1994),"4,805,229",124,"2,784,600"
363,ChriStO (1935),"4,800,793",297,"498,480"
364,LaLanne François-Xavier (1927-2008),"4,798,613",39,"621,950"
365,Shi tao (1642-1707),"4,796,775",27,"2,269,400"
366,harriS Lawren Stewart h. (1885-1970),"4,781,163",8,"1,933,260"
367,QUinn marc (1964),"4,779,987",48,"1,100,000"
368,ZhU meicun (1911-1993),"4,776,671",117,"570,150"
369,Jia aili (1979),"4,758,253",8,"1,262,240"
370,Xi Dejin (1923-1981),"4,740,558",89,"227,080"
371,amiet Cuno (1868-1961),"4,737,411",136,"670,680"
372,SCarPitta Salvatore (1919-2007),"4,721,787",16,"1,200,000"
373,Shen Peng (1931),"4,670,229",160,"701,330"
374,ai Weiwei (1957),"4,663,696",32,"966,749"
375,XU Lele (1955),"4,628,253",155,"210,730"
376,LieBermann max (1847-1935),"4,627,078",149,"1,223,100"
377,GOLtZiUS hendrick (1558-1617),"4,619,842",53,"3,939,670"
378,LiPChitZ Jacques (1891-1973),"4,610,254",25,"1,800,000"
379,ParriSh maxfield Frederick (1870-1966),"4,589,371",19,"3,000,000"
380,kOUneLLiS Jannis (1936),"4,544,843",37,"1,722,735"
381,ZOrn anders Leonard (1860-1920),"4,537,219",200,"1,794,000"
382,GOttLieB adolph (1903-1974),"4,534,316",31,"1,800,000"
383,Ye Qianyu (1907-1995),"4,530,685",118,"356,620"
384,PiCaBia Francis (1879-1953),"4,520,069",64,"1,174,176"
385,anatSUi el (1944),"4,517,120",10,"1,200,000"
386,tiePOLO Giovanni Domenico (1727-1804),"4,517,066",36,"3,100,000"
387,mUÑOZ Juan (1953-2001),"4,512,835",11,"3,184,800"
388,Smith David (1906-1965),"4,511,800",7,"2,500,000"
389,ZhU Yunming (1460-1526),"4,462,454",14,"1,629,000"
390,SCheGGi Paolo (1940-1971),"4,444,290",23,"674,581"
391,netSCher Caspar (1635/39-1684),"4,441,804",5,"4,400,000"
392,mUnninGS alfred James (1878-1959),"4,427,134",29,"1,850,000"
393,Li Jin (1958),"4,372,647",94,"212,160"
394,Zhan Wang (1962),"4,360,124",13,"2,709,000"
395,FanG Chuxiong (1950),"4,355,333",148,"262,080"
396,tiePOLO Giovanni Battista (1696-1770),"4,339,805",45,"3,857,950"
397,LU Yushun (1962),"4,336,840",61,"884,520"
398,hUnt William holman (1827-1910),"4,310,067",4,"4,245,000"
399,Chen Wenxi (1906-1991),"4,242,709",71,"1,095,650"
400,tOULOUSe-LaUtreC de henri (1864-1901),"4,240,018",252,"760,265"
401,SaViLLe Jenny (1970),"4,228,890",4,"2,970,180"
402,ChenG Conglin (1954),"4,177,932",3,"4,052,500"
403,marieSChi michele Giovanni (1696/1710-1743),"4,167,589",8,"3,254,320"
404,taO Lengyue (1895-1985),"4,141,462",138,"457,240"
405,he Duoling (1948),"4,131,489",12,"1,419,000"
406,kiSLinG moïse (1891-1953),"4,112,484",70,"363,316"
407,CaiLLeBOtte Gustave (1848-1894),"4,107,720",5,"1,467,720"
408,hantaÏ Simon (1922-2008),"4,105,139",19,"2,114,630"
409,LOnG rui (1946),"4,047,039",66,"956,980"
410,arman Fernandez (1928-2005),"4,037,285",425,"117,028"
411,Le maYeUr De merPreS adrien Jean (1880-1958),"4,026,595",45,"850,739"
412,mÜnter Gabriele (1877-1962),"4,022,639",28,"814,176"
413,ChaDWiCk Lynn russell (1914-2003),"4,014,167",78,"1,445,425"
414,FÖrG Günther (1952-2013),"4,008,736",133,"308,304"
415,mUrakami takashi (1962),"4,003,340",343,"1,034,551"
416,LU Yifei (1908-1997),"3,995,369",121,"791,293"
417,menZeL von adolph (1815-1905),"3,983,246",38,"3,483,480"
