A,B,C,D,E
82,BurNE-JONEs Edward coley (1833-1898),"21,491,114",25,"19,664,040"
83,HOdlEr Ferdinand (1853-1918),"20,970,540",54,"7,337,400"
84,lI Kuchan (1899-1983),"20,852,903",334,"884,400"
85,MuNcH Edvard (1863-1944),"20,569,967",183,"2,794,610"
86,ANKEr Albert (1831-1910),"20,372,004",87,"6,991,399"
87,sTAËl de Nicolas (1914-1955),"20,272,257",23,"5,200,400"
88,HIrsT damien (1965),"20,047,026",248,"2,658,800"
89,MANZONI Piero (1933-1963),"19,800,079",23,"12,500,000"
90,luO Zhongli (1948),"19,507,680",93,"5,547,000"
91,HE Jiaying (1957),"19,334,851",89,"784,800"
92,Wu Hufan (1894-1968),"19,326,654",293,"966,000"
93,Wu Zuoren (1908-1997),"19,199,191",157,"11,326,000"
94,BrAQuE Georges (1882-1963),"19,028,237",262,"14,000,000"
95,THIEBAud Morton Wayne (1920),"18,870,399",56,"5,500,000"
96,FrANcIs sam (1923-1994),"18,716,901",258,"4,000,000"
97,dONG Bangda (1699-1769),"18,601,888",26,"7,180,800"
98,sTIll clyfford E. (1904-1980),"18,500,000",1,"18,500,000"
99,QIAN lONG Emperor (1711-1799),"18,494,321",38,"7,752,000"
100,Yu Youren (1879-1964),"18,194,377",665,"615,220"
101,WANG Xuetao (1903-1982),"17,893,700",395,"652,800"
102,GrEcO El dom. Theotokopoulos (1541-1614),"17,717,216",4,"12,305,520"
103,GursKY Andreas (1955),"17,659,752",44,"2,856,215"
104,HOcKNEY david (1937),"17,533,278",335,"4,848,400"
105,HE Haixia (1908-1998),"17,303,107",155,"2,182,950"
106,dONG Qichang (1555-1636),"17,221,676",125,"1,958,400"
107,dONG shouping (1904-1997),"17,099,516",288,"759,050"
108,Yu Fei’an (1888-1959),"16,990,781",119,"1,375,300"
109,MArTIN Agnes (1912-2004),"16,873,706",11,"5,700,000"
110,BurrI Alberto (1915-1995),"16,857,047",43,"4,174,560"
111,rOErIcH Nicolaj Konstantinov (1874-1947),"16,798,474",21,"10,741,560"
112,MOrIsOT Berthe (1841-1895),"16,709,385",41,"9,752,600"
113,WEssElMANN Tom (1931-2004),"16,581,521",197,"3,500,000"
114,GrIs Juan (1887-1927),"16,447,822",15,"8,000,000"
115,MAIllOl Aristide (1861-1944),"16,359,712",368,"7,202,251"
116,WANG Yidong (1955),"16,331,612",38,"2,939,400"
117,sHEN Zhou (1427-1509),"15,997,906",29,"7,180,800"
118,lEE Man Fong (1913-1988),"15,960,269",91,"3,999,000"
119,cHIrIcO de Giorgio (1888-1978),"15,781,828",168,"1,600,000"
120,sHI lu (1919-1982),"15,738,523",87,"1,813,279"
121,MurAKAMI Takashi (1962),"15,558,624",411,"2,064,000"
122,ZHANG Xiaogang (1958),"15,508,053",42,"4,082,500"
123,rYMAN robert (1930),"15,366,209",13,"6,000,000"
124,WEN Zhengming (1470-1559),"15,305,457",90,"7,262,400"
125,lIu Ye (1964),"14,931,441",50,"4,773,000"
126,KAPOOr Anish (1954),"14,377,454",45,"1,461,195"
127,BruEGHEl Pieter II (c.1564-1637/38),"14,355,080",14,"1,900,000"
128,MONdrIAAN Piet (1872-1944),"14,278,673",7,"12,846,940"
129,lIN sanzhi (1898-1989),"14,227,344",305,"1,514,299"
130,ErNsT Max (1891-1976),"14,157,593",197,"2,820,060"
131,GAuGuIN Paul (1848-1903),"14,121,767",72,"8,500,000"
132,WANG Hui (1632-1717),"14,043,022",52,"5,712,000"
133,POlKE sigmar (1941-2010),"13,897,879",104,"3,000,000"
134,TANG Yin (1470-1523),"13,758,258",37,"10,037,800"
135,TANG Yun (1910-1993),"13,726,908",576,"465,120"
136,BrOWN Glenn (1966),"13,654,438",6,"4,954,420"
137,lIu Wei (1965),"13,562,453",38,"2,193,000"
138,ZHu Yunming (1460-1526),"13,385,810",20,"3,753,600"
139,GuAN shanyue (1912-2000),"13,254,789",165,"1,004,640"
140,rEN Yi (1840-1896),"13,210,704",132,"1,158,720"
141,ZHENG Banqiao (1693-1765),"13,190,671",69,"2,181,600"
142,HuANG Junbi (1898-1991),"13,171,824",337,"452,200"
143,cHAMBErlAIN John Angus (1927-2011),"12,988,791",40,"4,000,000"
144,lE lOrrAIN claude (1600-1682),"12,717,175",19,"7,293,995"
145,lIu dawei (1945),"12,705,828",108,"2,367,850"
146,BAllA Giacomo (1871-1958),"12,658,499",21,"10,100,000"
147,sTINGEl rudolf (1956),"12,628,865",27,"2,100,000"
148,MAscHKOFF Ilja Iwanowitsch (1881-1944),"12,472,190",5,"6,385,680"
149,BAI Xueshi (1915-2011),"12,470,583",219,"572,600"
150,AI Xuan (1947),"12,445,363",54,"1,288,000"
151,BuFFET Bernard (1928-1999),"12,434,933",553,"406,276"
152,NArA Yoshitomo (1959),"12,324,754",185,"1,004,640"
153,HEPWOrTH Barbara (1903-1975),"12,316,800",55,"3,129,630"
154,BOTErO Fernando (1932),"12,168,874",64,"1,302,600"
155,currIN John (1962),"12,124,751",14,"3,000,000"
156,cHIllIdA Eduardo (1924-2002),"12,058,414",202,"5,541,840"
157,ZHAO shao’Ang (1905-1998),"12,004,234",346,"619,200"
158,ZHu Ming (1938),"11,989,352",91,"1,419,000"
159,NOldE Emil (1867-1956),"11,930,697",166,"1,289,600"
160,cAsTEllANI Enrico (1930),"11,805,169",53,"2,463,040"
161,HArING Keith (1958-1990),"11,653,127",251,"880,817"
162,duFY raoul (1877-1953),"11,632,581",241,"2,200,000"
163,dONGEN van Kees (1877-1968),"11,564,335",161,"2,500,000"
164,clAudEl camille (1864-1943),"11,561,250",12,"7,050,150"
165,MOrANdI Giorgio (1890-1964),"11,525,663",77,"1,500,000"
166,dEllA POrTA Bartolomeo (1472-1517),"11,500,000",1,"11,500,000"
167,ZHAO Zhiqian (1829-1884),"11,419,566",70,"2,592,000"
168,YANG Feiyun (1954),"11,309,630",27,"2,041,250"
169,rOssETTI dante Gabriel (1828-1882),"11,286,357",5,"6,554,800"
170,lOWrY laurence stephen (1887-1976),"11,217,336",156,"1,191,918"
171,FOuJITA Tsuguharu (1886-1968),"11,182,985",1564,"1,000,000"
172,KIPPENBErGEr Martin (1953-1997),"11,135,913",46,"5,600,000"
173,BOurGEOIs louise (1911-2010),"11,080,538",38,"6,000,000"
174,cHEN Hongshou (1598-1652),"11,055,532",25,"6,507,300"
175,MArdEN Brice (1938),"11,055,174",19,"9,600,000"
176,sHI Guoliang (1956),"10,970,629",111,"1,327,580"
177,sHI Tao (1642-1707),"10,887,542",28,"3,590,400"
178,GuAN liang (1900-1986),"10,794,250",200,"603,840"
179,sONG Wenzhi (1919-1999),"10,733,267",263,"408,750"
180,BOudIN Eugène (1824-1898),"10,705,678",122,"1,649,970"
181,BONNArd Pierre (1867-1947),"10,679,643",124,"2,500,000"
182,sPENcEr stanley (1891-1959),"10,607,160",14,"8,536,710"
183,ZHANG ruitu (1570-1641),"10,589,978",36,"1,295,200"
184,JIA Youfu (1942),"10,580,654",104,"1,383,390"
185,GONG Xian (1618-1689),"10,516,401",21,"5,258,500"
186,JAWlENsKY von Alexej (1864-1941),"10,509,304",28,"3,146,000"
187,cHEN Peiqiu (1922/23),"10,363,203",157,"793,800"
188,rAuscHENBErG robert (1925-2008),"10,357,275",243,"3,000,000"
189,WANG Mingming (1952),"10,311,611",153,"899,250"
190,KlEE Paul (1879-1940),"10,243,307",75,"1,100,470"
191,KlINE Franz (1910-1962),"10,105,195",20,"2,900,000"
192,BATONI Pompeo Girolamo (1708-1787),"10,101,488",2,"10,100,000"
193,GuO Moruo (1892-1978),"10,093,851",68,"2,448,000"
194,VlAMINcK de Maurice (1876-1958),"10,016,781",153,"4,719,000"
195,ZHu da (1626-1705),"9,947,714",32,"2,184,300"
196,PrINcE richard (1949),"9,908,854",57,"1,200,000"
197,sTEllA Frank (1936),"9,878,840",119,"2,400,000"
198,HAMMONs david (1943),"9,795,526",7,"7,000,000"
199,rEMBrANdT VAN rIJN  (1606-1669),"9,641,794",521,"3,606,020"
200,sHErMAN cindy (1954),"9,580,420",84,"1,700,000"
201,BOTTIcEllI sandro (c.1445-1510),"9,577,384",5,"9,250,000"
202,VErNET Joseph (1714-1789),"9,565,183",9,"7,140,240"
203,MEHrETu Julie (1970),"9,536,941",13,"4,000,000"
204,KIrcHNEr Ernst ludwig (1880-1938),"9,505,180",149,"1,919,510"
205,ZHOu sicong (1939-1996),"9,484,321",175,"816,500"
206,sOrOllA Y BAsTIdA Joaquín (1863-1923),"9,434,445",15,"4,200,000"
207,cAIllEBOTTE Gustave (1848-1894),"9,397,975",7,"3,615,830"
208,MA Yuan (c.1140-c.1225),"9,356,832",4,"5,793,600"
209,MAN rAY  (1890-1976),"9,142,150",210,"5,100,000"
210,cHEN shaomei (1909-1954),"9,122,360",106,"969,000"
211,ArP Hans (1886-1966),"9,113,084",108,"3,300,000"
212,HANTAÏ simon (1922-2008),"9,079,004",44,"2,985,840"
213,sHIrAGA Kazuo (1924-2008),"8,994,089",32,"3,400,000"
214,TIAN shiguang (1916-1999),"8,965,090",113,"2,673,000"
215,dÜrEr Albrecht (1471-1528),"8,811,409",422,"720,000"
216,YANG Zhiguang (1930),"8,793,015",224,"710,355"
217,BEllOWs George Wesley (1882-1925),"8,780,700",39,"6,900,000"
218,lAI shaoqi (1915-2000),"8,735,984",177,"785,215"
219,rEMINGTON Frederic sackrider (1861-1909),"8,700,816",45,"5,000,000"
220,BOETTI Alighiero (1940-1994),"8,505,894",97,"2,167,560"
221,dElVAuX Paul (1897-1994),"8,496,404",112,"2,359,500"
222,HOFMANN Hans (1880-1966),"8,461,894",28,"4,200,000"
223,AFFANdI  (1907-1990),"8,443,458",52,"515,200"
224,GAITONdE Vasudeo. s. (1924-2001),"8,341,196",15,"3,327,150"
225,scHMIdT-rOTTluFF Karl (1884-1976),"8,228,344",119,"3,123,630"
226,WANG Yuanqi (1642-1715),"8,186,281",48,"2,611,200"
227,GOTTlIEB Adolph (1903-1974),"8,115,425",32,"2,800,000"
228,cAMArGO de sergio (1930-1990),"8,060,747",15,"1,800,000"
229,AlBErs Josef (1888-1976),"8,052,320",127,"680,340"
230,AIVAZOVsKY Ivan constantinovich (1817-1900),"8,004,898",29,"1,054,885"
231,dING Yanyong (1902-1978),"7,928,224",200,"966,000"
232,XuE liang (1956),"7,868,055",111,"1,376,150"
233,FENG Zikai (1898-1975),"7,858,383",157,"335,400"
234,TANsEY Mark (1949),"7,830,696",9,"3,250,000"
235,KEllY Ellsworth (1923),"7,820,904",86,"3,400,000"
236,rAZA sayed Haider (1922),"7,796,548",80,"1,550,000"
237,HusAIN Maqbool Fida (1915-2011),"7,774,008",94,"420,000"
238,lIu danzhai (1931-2011),"7,768,951",106,"1,272,960"
239,lIEBErMANN Max (1847-1935),"7,737,802",141,"2,350,050"
240,HONG Yi (1880-1942),"7,673,725",87,"599,400"
241,ruBENs Peter Paul (1577-1640),"7,637,896",21,"4,588,360"
242,rEdON Odilon (1840-1916),"7,589,812",84,"1,200,000"
243,BAsElITZ Georg (1938),"7,538,301",105,"1,800,000"
244,POlIAKOFF serge (1900-1969),"7,536,495",152,"651,456"
245,scullY sean (1945),"7,446,502",61,"900,000"
246,NOlANd Kenneth (1924-2010),"7,429,644",49,"1,800,000"
247,cOrNEll Joseph (1903-1972),"7,394,150",15,"4,200,000"
248,crANAcH lucas I (1472-1553),"7,377,410",18,"3,113,530"
249,sArGENT John singer (1856-1925),"7,352,894",14,"4,500,000"
250,WANG Ziwu (1936),"7,283,340",122,"848,640"
251,rIlEY Bridget (1931),"7,282,568",65,"2,084,265"
252,FANG lijun (1963),"7,237,663",40,"1,867,600"
253,su shi (1037-1101),"7,204,657",5,"7,200,000"
254,lAlANNE François-Xavier (1927-2008),"7,178,646",48,"787,050"
255,JIANG Zhaohe (1904-1986),"7,172,968",36,"891,000"
256,JOHNs Jasper (1930),"7,133,051",135,"2,400,000"
257,sErrA richard (1939),"6,989,280",49,"3,700,000"
258,BrOWN cecily (1969),"6,955,216",18,"952,820"
259,GuYTON Wade (1972),"6,933,295",20,"2,000,000"
260,Xu Gu (1823/24-1896),"6,846,316",30,"1,517,760"
261,FANG chuxiong (1950),"6,810,611",227,"324,200"
262,KIEFEr Anselm (1945),"6,802,880",30,"950,000"
263,lIu Haisu (1896-1994),"6,787,085",111,"1,505,120"
264,sTErN Irma (1894-1966),"6,753,402",32,"1,618,356"
265,PulZONE Il GAETANO scipione (c.1550-1598),"6,744,330",3,"6,700,000"
266,PEcHsTEIN Hermann Max (1881-1955),"6,648,490",126,"1,701,875"
267,lIN Yong (1942),"6,627,876",208,"325,000"
268,cHEN dayu (1912-2001),"6,588,107",268,"589,780"
269,scHÜTTE Thomas (1954),"6,556,587",24,"3,500,000"
270,YuE Minjun (1962),"6,546,872",37,"1,290,000"
271,MArINI Marino (1901-1980),"6,515,569",134,"1,351,404"
272,AVErY Milton clark (1885-1965),"6,507,113",54,"2,500,000"
273,BrAdFOrd Mark (1961),"6,484,195",11,"2,200,000"
274,uTrIllO Maurice (1883-1955),"6,471,497",128,"420,000"
275,TAMAYO rufino (1899-1991),"6,442,964",158,"1,200,000"
276,GIAcOMETTI diego (1902-1985),"6,433,797",31,"650,000"
277,PANINI Giovanni Paolo (1691-1765),"6,378,755",17,"3,000,000"
278,cATTElAN Maurizio (1960),"6,150,706",23,"2,200,000"
279,lE sIdANEr Henri (1862-1939),"6,114,218",37,"750,000"
280,TOulOusE-lAuTrEc de Henri (1864-1901),"6,102,666",229,"2,900,000"
281,YANG shanshen (1913-2004),"6,081,898",248,"193,200"
282,Fu shan (1607-1684),"6,034,820",21,"1,538,050"
283,O’KEEFFE Georgia (1887-1986),"6,021,569",8,"1,550,000"
284,ZHOu chen (act.1472-1535),"5,985,659",6,"5,796,000"
285,WIllIAMs Frederick ronald (1927-1982),"5,967,921",27,"1,744,756"
286,sONG lizong (1205-1264),"5,950,200",2,"4,773,000"
287,TurNEr Joseph Mallord Willia (1775-1851),"5,895,307",15,"4,000,000"
288,rEN Zhong (1976),"5,882,775",55,"647,200"
289,ZHAO Puchu (1907-2000),"5,880,613",206,"242,700"
290,FrANKENTHAlEr Helen (1928-2011),"5,863,809",72,"550,000"
291,TING Walasse (1929-2010),"5,834,887",165,"245,100"
292,INdIANA robert (1928),"5,780,099",169,"1,100,000"
293,ZHu Qizhan (1892-1996),"5,729,270",215,"408,000"
294,MATTA roberto (1911-2002),"5,652,847",138,"825,000"
295,cHEN Jiru (1558-1639),"5,632,780",25,"4,082,400"
296,ZHANG shanzi (1882-1940),"5,631,346",85,"1,701,000"
297,cONdO George (1957),"5,606,450",63,"875,000"
298,PIsTOlETTO Michelangelo (1933),"5,597,905",106,"1,720,400"
299,JIN Nong (1687-1763),"5,581,430",44,"919,979"
300,sAINT-PHAllE de Niki (1930-2002),"5,542,490",263,"260,000"
301,ArMAN Fernandez (1928-2005),"5,504,883",421,"196,733"
302,duMAs Marlene (1953),"5,484,840",29,"1,407,600"
303,FAN Yang (1955),"5,468,965",185,"202,625"
304,MEHTA Tyeb (1925-2009),"5,408,019",11,"2,759,100"
305,cHEN Yanning (1945),"5,404,220",38,"718,080"
306,suN Wen (1866-1925),"5,374,102",33,"1,440,020"
307,TIEPOlO Giovanni domenico (1727-1804),"5,363,196",56,"4,253,760"
308,AMIET cuno (1868-1961),"5,302,462",107,"771,750"
309,FEsHIN Nikolay (1881-1955),"5,300,925",10,"1,900,500"
310,dEVrIM Nejad (1923-c.1995),"5,296,043",68,"793,520"
311,VIEIrA dA sIlVA Maria Elena (1908-1992),"5,290,553",130,"651,300"
312,BrAcK John cecil (1920-1999),"5,254,998",20,"1,517,521"
313,ZOBEl dE AYAlA Fernando (1924-1984),"5,245,836",65,"875,840"
314,XI dejin (1923-1981),"5,243,451",82,"634,220"
315,lIu Wenxi (1933),"5,207,414",73,"1,262,820"
316,WHITElEY Brett (1939-1992),"5,206,266",57,"3,036,480"
317,lIPcHITZ Jacques (1891-1973),"5,166,398",28,"2,200,000"
318,VAllOTTON Félix (1865-1925),"5,116,427",91,"1,248,624"
319,YA Ming (1924-2002),"5,084,565",232,"178,200"
320,sHEN shichong (XVII),"5,084,100",1,"5,084,100"
321,MOTHErWEll robert (1915-1991),"5,079,774",128,"850,000"
322,KENTrIdGE William (1955),"5,076,055",114,"1,300,000"
323,WEI Zixi (1915-2002),"5,060,943",131,"479,079"
324,YuN shouping (1633-1690),"5,036,162",56,"1,060,800"
325,lAM Wifredo (1902-1982),"5,027,087",97,"880,880"
326,cHrIsTO  (1935),"4,988,637",241,"310,000"
327,lONGO robert (1953),"4,979,967",71,"1,500,000"
328,VAldés Manolo (1942),"4,976,123",53,"400,000"
329,cArr Emily M. (1871-1945),"4,967,754",17,"2,746,010"
330,BuGATTI rembrandt (1884-1916),"4,947,154",17,"1,500,000"
331,uEcKEr Günther (1930),"4,937,565",144,"842,482"
332,cAI Guoqiang (1957),"4,933,279",24,"708,400"
333,JIANG Baolin (1942),"4,929,350",52,"1,695,750"
334,KANG Youwei (1858-1927),"4,913,905",127,"269,445"
335,Xu lele (1955),"4,902,535",123,"204,000"
336,cOurBET Gustave (1819-1877),"4,856,903",24,"3,200,000"
337,cHEN Zizhuang (1913-1976),"4,854,660",115,"245,100"
338,VuIllArd édouard (1868-1940),"4,848,747",82,"902,631"
339,NIcHOlsON Ben (1894-1982),"4,838,647",77,"1,340,730"
340,cOlEN dan (1979),"4,832,124",21,"900,000"
341,BEcKMANN Max (1884-1950),"4,810,898",168,"968,039"
342,GAINsBOrOuGH Thomas (1727-1788),"4,790,971",13,"2,294,180"
343,FIscHEr urs (1973),"4,788,680",10,"1,050,000"
344,lIu Kuiling (1885-1967),"4,767,724",44,"898,150"
345,APPEl Karel (1921-2006),"4,743,207",262,"419,712"
346,HE shaoji (1799-1873),"4,739,617",147,"587,520"
347,HuANG shen (1687-c.1773),"4,691,183",45,"614,840"
348,TIAN liming (1955),"4,677,869",84,"212,290"
349,ZHu Xinjian (1953),"4,631,601",328,"178,420"
350,lOuIs Morris (1912-1962),"4,630,000",6,"1,400,000"
351,HAls Frans I (1580-1666),"4,620,620",3,"4,260,620"
352,russEll charles Marion (1864-1926),"4,596,200",29,"875,000"
353,lE MAYEur dE MErPrEs Adrien Jean (1880-1958),"4,592,695",45,"646,485"
354,ZHOu Yansheng (1942),"4,578,591",69,"899,250"
355,NAuMAN Bruce (1941),"4,566,384",46,"1,900,000"
356,cHEN Banding (1876-1970),"4,545,575",197,"261,120"
357,crOss Henri Edmond (1856-1910),"4,507,874",24,"1,200,000"
358,NOGucHI Isamu (1904-1988),"4,502,772",13,"1,300,000"
359,cOrOT camille Jean-Baptiste (1796-1875),"4,460,552",82,"361,790"
360,PENN Irving (1917-2009),"4,454,922",95,"380,000"
361,suN Qifeng (1920),"4,451,685",217,"179,850"
362,WAldE Alfons (1891-1958),"4,422,816",31,"528,840"
363,JIANG Tingxi (1669-1732),"4,415,890",26,"2,671,350"
364,BOucHEr François (1703-1770),"4,400,324",45,"1,800,000"
365,lIu Guosong (1932),"4,380,908",49,"670,800"
366,FrINK Elisabeth (1930-1993),"4,380,438",84,"1,013,404"
367,BANKsY  (1974),"4,365,021",120,"516,120"
368,ruBY sterling (1972),"4,361,339",24,"1,700,000"
369,JAO Tsung-I (1917),"4,343,145",142,"155,040"
370,PArrIsH Maxfield Frederick (1870-1966),"4,338,035",19,"1,600,000"
371,VAsArElY Victor (1906-1997),"4,327,238",626,"234,600"
372,MArTIN Henri (1860-1943),"4,267,221",38,"454,343"
373,ZHA shibiao (1615-1698),"4,255,226",56,"461,700"
374,lu Yifei (1908-1997),"4,249,270",117,"288,031"
375,cHEONG soo Pieng (1917-1983),"4,247,665",46,"554,578"
376,Xu lei (1963),"4,243,562",17,"566,650"
377,MATHIEu Georges (1921-2012),"4,228,299",118,"292,249"
378,WEN Jia (1501-1583),"4,227,628",20,"1,570,560"
379,ZHAN Jianjun (1931),"4,199,186",7,"1,453,370"
380,MAsrIAdI I Nyoman (1973),"4,188,995",15,"772,800"
381,GOrMlEY Antony (1950),"4,188,198",23,"750,720"
382,lIlJEFOrs Bruno (1860-1939),"4,186,802",59,"1,370,460"
383,ZHANG Zongcang (1686-1756),"4,165,363",12,"3,559,600"
384,clArK lygia (1920-1988),"4,140,000",4,"1,850,000"
385,HAssAM childe (1859-1935),"4,117,100",33,"1,250,000"
386,WANG Jian (1598-1677),"4,116,660",26,"1,963,200"
387,MÜNTEr Gabriele (1877-1962),"4,112,045",29,"600,000"
388,TANGuY Yves (1900-1955),"4,110,260",15,"1,887,600"
389,cHIPArus dimitri (1886-1947),"4,095,242",144,"388,728"
390,sOTO Jesús rafael (1923-2005),"4,024,648",73,"400,000"
391,lAN Ying (1585-c.1664),"4,024,291",47,"432,480"
392,GIlBErT & GEOrGE  (XX-XXI),"4,018,097",29,"1,500,000"
393,cElMINs Vija (1939),"4,010,784",18,"2,000,000"
394,TAPIEs Antoni (1923-2012),"3,985,798",350,"860,200"
395,AuErBAcH Tauba (1981),"3,972,189",19,"850,000"
396,KOrOVIN Konstantin A. (1861-1939),"3,972,006",46,"949,923"
397,MurIllO Oscar (1986),"3,966,738",24,"330,000"
398,FEININGEr lyonel (1871-1956),"3,965,734",103,"1,366,530"
399,YAN Pei-Ming (1960),"3,962,376",18,"1,133,440"
400,ZOrN Anders leonard (1860-1920),"3,954,679",99,"1,717,875"
401,sTuBBs George (1724-1806),"3,933,451",3,"1,966,920"
402,lOWMAN Nate (1979),"3,933,384",18,"600,000"
403,GuO runwen (1955),"3,932,774",22,"760,460"
404,QuINN Marc (1964),"3,894,438",42,"937,200"
405,NEEr van der Aert I (1603/04-1677),"3,893,529",4,"3,769,010"
406,MIllAIs John Everett (1829-1896),"3,887,493",7,"2,979,400"
407,cHAdWIcK lynn russell (1914-2003),"3,871,055",86,"566,086"
408,FENG chaoran (1882-1954),"3,857,562",136,"244,720"
409,ZHAO Wangyun (1906-1977),"3,854,655",26,"1,135,200"
410,ZEId Fahr-el-Nissa (1901-1991),"3,846,149",24,"2,300,000"
411,BIErsTAdT Albert (1830-1902),"3,844,050",17,"1,750,000"
412,MOHOlY-NAGY lászló (1895-1946),"3,841,618",29,"1,100,000"
