Rank, -,Artist,TotalSold,-,MaxPrice,-
161,,HALS Frans I (1580-1666),"$ 8,559,790",,"$ 8,559,790",
162,163,NARA Yoshitomo (1959),"$ 8,461,559","$ 5,861,253","$ 1,300,000","$ 950,000"
163,111,SARGENT John Singer (1856-1925),"$ 8,405,000","$ 8,295,001","$ 1,900,000","$ 3,500,000"
164,235,HARTUNG Hans Heinrich Ernst (1904-1989),"$ 8,367,587","$ 4,138,346","$ 675,050","$ 242,073"
165,1041,KELLY Ellsworth (1923),"$ 8,328,867","$ 703,374","$ 4,600,000","$ 140,000"
166,194,CHIPARUS Dimitri (1886/88-1947/50),"$ 8,233,645","$ 5,062,300","$ 800,000","$ 358,020"
167,295,HOFMANN Hans (1880-1966),"$ 8,175,441","$ 3,308,246","$ 1,850,000","$ 850,000"
168,276,RILEY Bridget (1931),"$ 8,038,121","$ 3,589,895","$ 1,776,588","$ 1,933,995"
169,131,BUFFET Bernard (1928-1999),"$ 7,960,905","$ 7,083,659","$ 348,800","$ 223,406"
170,285,KIEFER Anselm (1945),"$ 7,754,630","$ 3,382,936","$ 3,152,960","$ 1,200,000"
171,1517,LEE U-FAN (1936),"$ 7,739,749","$ 415,368","$ 489,440","$ 140,000"
172,534,BRUEGHEL Jan I (1568-1625),"$ 7,737,920","$ 1,642,337","$ 3,428,900","$ 630,496"
173,237,BIERSTADT Albert (1830-1902),"$ 7,719,051","$ 4,131,660","$ 4,300,000","$ 1,700,000"
174,354,CHARLAMOFF Alexei Alexeivich (1842-1925),"$ 7,700,967","$ 2,714,091","$ 2,800,000","$ 1,043,982"
175,161,HASSAM Childe Frederick (1859-1935),"$ 7,660,850","$ 5,923,190","$ 3,300,000","$ 2,800,000"
176,139,ROERICH Nicolaj Konstantinov (1874-1947),"$ 7,656,649","$ 6,665,222","$ 3,197,960","$ 1,950,000"
177,128,LE SIDANER Henri (1862-1939),"$ 7,597,574","$ 7,187,193","$ 1,528,989","$ 1,200,000"
178,80,MUNNINGS Alfred James (1878-1959),"$ 7,578,296","$ 12,338,713","$ 2,590,770","$ 3,650,000"
179,460,MURAKAMI Takashi (1962/63),"$ 7,564,153","$ 1,999,798","$ 2,100,000","$ 1,000,000"
180,103,BOETTI Alighiero (1940-1994),"$ 7,554,156","$ 8,915,533","$ 1,018,300","$ 928,250"
181,324,TANGUY Yves (1900-1955),"$ 7,543,506","$ 3,033,319","$ 2,972,400","$ 1,050,000"
182,1358,STINGEL Rudolf (1956),"$ 7,496,312","$ 476,973","$ 1,700,000","$ 185,940"
183,239,GRIGORJEFF Boris Dimitrevitch (1886-1939),"$ 7,495,613","$ 4,064,280","$ 2,380,845","$ 1,651,125"
184,200,ARP Hans (1887-1966),"$ 7,484,957","$ 4,936,226","$ 2,100,000","$ 1,089,154"
185,91,HUSAIN Maqbul Fida (1915),"$ 7,391,932","$ 10,874,281","$ 550,000","$ 500,000"
186,186,TAMAYO Rufino (1899-1991),"$ 7,376,034","$ 5,216,393","$ 900,000","$ 500,000"
187,209,LE BROCQUY Louis (1916),"$ 7,335,155","$ 4,763,746","$ 928,744","$ 1,092,568"
188,56,VUILLARD Édouard (1868-1940),"$ 7,290,448","$ 17,246,489","$ 1,100,000","$ 6,664,320"
189,165,LIU Xiaodong (1963),"$ 7,272,598","$ 5,844,170","$ 1,492,700","$ 2,544,000"
190,168,GRIMSHAW John Atkinson (1836-1893),"$ 7,172,522","$ 5,787,862","$ 913,320","$ 1,063,530"
191,521,RAMOS MARTINEZ Alfredo (1872-1946),"$ 7,167,965","$ 1,717,672","$ 3,600,000","$ 1,600,000"
192,272,GORKY Arshile (1904-1948),"$ 7,114,663","$ 3,618,285","$ 3,700,000","$ 2,500,000"
193,300,NICHOLSON Ben (1894-1982),"$ 7,085,928","$ 3,243,300","$ 980,000","$ 840,736"
194,214,LEBASQUE Henri (1865-1937),"$ 7,062,662","$ 4,626,676","$ 580,000","$ 750,000"
195,114,BUGATTI Rembrandt (1884-1916),"$ 7,045,624","$ 8,052,905","$ 1,600,000","$ 2,000,000"
196,967,METZINGER Jean (1883-1956),"$ 7,005,554","$ 778,219","$ 2,100,000","$ 127,400"
197,40,STILL Clyfford (1904-1980),"$ 7,000,000","$ 22,350,000","$ 7,000,000","$ 19,000,000"
198,134,MARTIN Henri Jean Guillaume (1860-1943),"$ 6,986,319","$ 6,938,296","$ 992,850","$ 867,009"
199,229,MATTA Roberto (1911-2002),"$ 6,973,796","$ 4,344,118","$ 1,900,000","$ 270,000"
200,121,KLEE Paul (1879-1940),"$ 6,906,721","$ 7,521,382","$ 1,200,000","$ 2,000,000"
201,190,STAëL de Nicolas (1914-1955),"$ 6,817,606","$ 5,096,492","$ 1,132,516","$ 1,098,531"
202,196,MARQUET Albert (1875-1947),"$ 6,746,511","$ 5,025,635","$ 625,770","$ 520,000"
203,213,PECHSTEIN Hermann Max (1881-1955),"$ 6,689,173","$ 4,690,846","$ 1,300,000","$ 1,047,222"
204,620,CONDO George (1957),"$ 6,659,157","$ 1,378,539","$ 600,000","$ 190,000"
205,269,WANG Yidong (1955),"$ 6,640,354","$ 3,644,468","$ 1,113,500","$ 858,209"
206,232,MATHIEU Georges (1921),"$ 6,614,151","$ 4,176,756","$ 509,520","$ 180,000"
207,383,BRACK John Cecil (1920-1999),"$ 6,579,450","$ 2,463,020","$ 2,301,320","$ 1,893,060"
208,94,GURSKY Andreas (1955),"$ 6,565,116","$ 10,106,401","$ 2,946,450","$ 2,200,000"
209,517,TENIERS David II (1610-1690),"$ 6,542,639","$ 1,724,621","$ 766,574","$ 590,870"
210,189,MORISOT Berthe (1841-1895),"$ 6,530,594","$ 5,191,535","$ 1,726,824","$ 2,213,640"
211,536,LARIONOV Mikhail (1881-1964),"$ 6,488,801","$ 1,638,250","$ 3,941,200","$ 1,310,470"
212,638,THOMSON Tom (1877-1917),"$ 6,477,188","$ 1,331,235","$ 1,016,000","$ 706,644"
213,447,AMIET Cuno (1868-1961),"$ 6,452,473","$ 2,045,906","$ 828,900","$ 444,042"
214,222,LANSKOY André (1902-1976),"$ 6,433,632","$ 4,501,636","$ 198,562","$ 173,212"
215,344,AVERY Milton Clark (1885-1965),"$ 6,397,000","$ 2,821,500","$ 2,200,000","$ 360,000"
216,1418,BANKSY (1975),"$ 6,375,291","$ 450,135","$ 550,314","$ 97,349"
217,770,COURBET Gustave (1819-1877),"$ 6,352,311","$ 1,043,983","$ 2,898,260","$ 240,000"
218,238,CHEN Chengbo (1895-1947),"$ 6,310,890","$ 4,099,600","$ 5,787,000","$ 3,983,500"
219,184,PENN Irving (1917),"$ 6,288,302","$ 5,264,440","$ 338,674","$ 300,000"
220,255,VALTAT Louis (1869-1952),"$ 6,267,120","$ 3,856,757","$ 430,000","$ 231,471"
221,78,LIEBERMANN Max (1847-1935),"$ 6,265,887","$ 13,060,866","$ 1,671,610","$ 3,337,730"
222,394,CASTELLANI Enrico (1930),"$ 6,219,613","$ 2,383,368","$ 855,372","$ 300,000"
223,126,BALTHUS (1908-2001),"$ 6,171,405","$ 7,213,781","$ 2,600,000","$ 6,000,000"
224,220,RUYSDAEL van Salomon (c.1600-1670),"$ 6,164,781","$ 4,506,512","$ 2,000,000","$ 1,976,900"
225,243,LUCE Maximilien (1858-1941),"$ 6,162,277","$ 4,042,371","$ 2,500,000","$ 524,220"
226,218,BASELITZ Georg (1938),"$ 6,072,364","$ 4,604,756","$ 950,000","$ 1,922,140"
227,466,LIEVENS Jan (1607-1674),"$ 6,072,280","$ 1,989,340","$ 3,886,830","$ 1,976,900"
228,4205,BOL Ferdinand (1616-1680),"$ 5,996,465","$ 103,320","$ 2,475,120","$ 89,915"
229,166,MONDRIAAN Piet (1872-1944),"$ 5,954,708","$ 5,809,763","$ 5,139,420","$ 2,900,000"
230,107,CASSATT Mary (1844-1926),"$ 5,951,863","$ 8,734,706","$ 5,500,000","$ 3,100,000"
231,145,KLINE Franz (1910-1962),"$ 5,931,492","$ 6,440,250","$ 2,400,000","$ 1,700,000"
232,550,BOGOLJUBOFF Alexei Petrovich (1824-1896),"$ 5,909,358","$ 1,566,335","$ 2,898,420","$ 725,000"
233,264,CÉSAR (1921-1998),"$ 5,861,906","$ 3,735,857","$ 1,500,030","$ 294,676"
234,176,LIPCHITZ Jacques (1891-1973),"$ 5,837,090","$ 5,524,666","$ 1,809,272","$ 900,000"
235,736,TANG Zhigang (1959),"$ 5,800,036","$ 1,122,945","$ 514,400","$ 223,128"
236,206,FLAVIN Dan (1933-1996),"$ 5,767,340","$ 4,828,165","$ 1,200,000","$ 650,000"
237,543,WESTON Edward (1886-1958),"$ 5,715,503","$ 1,607,815","$ 950,000","$ 240,000"
238,396,SEVERINI Gino (1883-1966),"$ 5,711,391","$ 2,379,464","$ 1,766,070","$ 881,550"
239,301,LEWITT Sol (1928-2007),"$ 5,674,062","$ 3,243,102","$ 750,000","$ 450,000"
240,683,VERNET Joseph (1714-1789),"$ 5,660,454","$ 1,233,987","$ 1,815,300","$ 750,000"
241,240,BALLA Giacomo (1871-1958),"$ 5,610,534","$ 4,051,817","$ 3,500,000","$ 840,448"
242,2741,NESTEROV Mikhail Vasilievich (1862-1942),"$ 5,561,659","$ 187,225","$ 3,800,000","$ 155,064"
243,251,OEHLEN Albert (1954),"$ 5,528,335","$ 3,898,184","$ 460,000","$ 390,474"
244,816,BAUERNFEIND Gustav (1848-1904),"$ 5,490,098","$ 970,197","$ 5,396,760","$ 950,000"
