Rank,-,Artist,TotalPrice,-,TotalLots,-,MaxPrice,-
40,33,rOdIn Auguste (1840-1917),"33,801,793","20,008,194",140,96,"10,500,000","5,600,000"
41,1472,ALMA-tAdeMA Lawrence (1836-1912),"33,562,491","364,708",7,3,"32,000,000","293,436"
42,63,CHen Yifei (1946-2005),"33,304,656","12,085,001",32,27,"6,933,599","5,295,870"
43,53,MOOre Henry (1898-1986),"33,013,932","13,799,378",275,229,"5,104,640","3,282,790"
44,83,PAn tianshou (1897-1971),"32,530,211","9,309,288",101,41,"3,667,500","2,719,500"
45,117,GrIs Juan (1887-1927),"32,398,403","6,116,932",15,10,"25,500,000","4,361,180"
46,123,rAUsCHenBerG robert (1925-2008),"31,620,521","5,950,793",224,174,"9,800,000","800,000"
47,72,XIe Zhiliu (1910-1997),"31,239,578","10,305,940",306,194,"6,014,700","1,188,270"
48,14,dOnGen van kees (1877-1968),"29,620,735","35,609,766",128,105,"10,039,680","12,250,000"
49,73,ZenG Fanzhi (1964),"28,561,266","10,237,558",55,24,"4,581,100","2,128,500"
50,116,WAnG Hui (1632-1717),"25,990,889","6,229,977",67,32,"4,837,800","1,434,720"
51,60,MAGrItte rené (1898-1967),"25,886,806","12,208,488",98,72,"6,650,550","2,700,000"
52,95,sHI tao (1642-1707),"25,460,504","8,207,100",48,24,"4,966,500","3,520,800"
53,140,FAn Zeng (1938),"25,260,191","4,958,116",161,75,"2,111,200","454,770"
54,76,PrInCe richard (1949),"23,218,390","9,882,862",56,46,"5,700,000","2,478,000"
55,40,derAIn André (1880-1954),"23,000,737","17,343,046",118,143,"21,513,650","12,500,000"
56,9599,WAnG Meng (1308-1385),"22,650,559","26,326",8,3,"17,885,200","25,007"
57,146,sHI Lu (1919-1982),"22,024,720","4,756,621",65,34,"4,180,950","968,220"
58,22,PIssArrO Camille (1830-1903),"21,720,971","28,738,365",102,97,"3,509,440","6,200,000"
59,10280,QIAn LOnG emperor (1711-1799),"21,497,015","23,472",8,1,"11,723,400","23,472"
60,206,QIAn Weicheng (1720-1772),"21,433,252","3,329,259",25,13,"17,005,600","2,967,000"
61,911,GOGH van Vincent (1853-1890),"21,248,992","680,000",10,1,"11,823,200","680,000"
62,65,dALI salvador (1904-1989),"21,227,495","11,419,141",1093,1029,"5,000,000","3,500,000"
63,234,sOUtIne Chaïm (1894-1943),"21,163,884","3,023,787",8,6,"10,385,900","800,000"
64,34,sAn Yu (1901-1966),"20,966,700","19,688,378",49,25,"6,058,299","4,773,000"
65,120,rUsCHA edward Joseph (1937),"20,888,284","6,065,561",127,82,"3,800,000","991,740"
66,181,CÉZAnne Paul (1839-1906),"19,843,681","3,806,111",43,25,"16,749,600","2,308,860"
67,97,BrAQUe Georges (1882-1963),"18,896,547","8,076,170",252,260,"9,000,000","3,591,560"
68,74,JUdd donald (1928-1994),"18,365,543","9,948,452",56,42,"2,100,000","4,300,000"
69,75,FrAnCIs sam (1923-1994),"18,118,818","9,902,962",285,218,"5,600,000","3,200,000"
70,109,BOnnArd Pierre (1867-1947),"17,964,035","6,938,068",115,83,"8,160,350","1,570,030"
71,132,ZHAnG Xiaogang (1958),"17,792,157","5,470,287",45,34,"5,929,399","907,515"
72,350,LIU Xiaodong (1963),"17,780,521","1,972,440",18,6,"4,881,500","894,870"
73,203,WAnG Yidong (1955),"17,736,763","3,356,671",27,12,"2,412,800","894,870"
74,47,MItCHeLL Joan (1926-1992),"17,565,753","14,997,145",34,44,"3,700,000","4,800,000"
75,1666,CHOU Ying (c.1482-c.1559),"17,374,736","308,460",63,15,"9,529,000","79,218"
76,171,PU ru (1896-1963),"17,273,698","3,984,586",479,284,"1,026,200","137,710"
77,113,tWOMBLY Cy (1928),"17,141,799","6,675,005",52,51,"3,315,620","1,123,360"
78,121,CHenG shifa (1921-2007),"17,046,916","6,034,302",385,238,"481,600","469,440"
79,164,MAnZOnI Piero (1933-1963),"16,724,015","4,192,068",24,11,"3,905,500","2,250,000"
80,165,ZHenG Banqiao (1693-1765),"16,307,939","4,186,755",38,27,"4,515,000","1,979,100"
81,130,MArInI Marino (1901-1980),"16,222,061","5,504,222",166,133,"6,264,305","1,250,000"
82,225,MUrAkAMI takashi (1962),"15,832,926","3,105,545",348,209,"6,000,000","487,509"
83,81,ZHU Ming (1938),"15,767,174","9,450,801",96,75,"2,376,720","1,032,000"
84,192,LIU Ye (1964),"15,718,873","3,491,896",36,18,"3,905,200","774,000"
85,104,AUerBACH Frank (1931),"15,536,172","7,340,723",31,30,"3,013,200","2,590,360"
86,82,kUsAMA Yayoi (1929),"15,140,340","9,427,788",481,208,"2,900,000","1,600,000"
87,194,WOOL Christopher (1955),"15,007,333","3,468,790",19,22,"4,400,000","1,600,000"
88,291,YU Fei'an (1888-1959),"14,837,961","2,399,286",82,47,"4,674,800","528,120"
89,199,stUBBs George (1724-1806),"14,774,667","3,415,477",4,6,"14,187,600","2,918,700"
90,374,Wen Zhengming (1470-1559),"14,731,009","1,826,848",61,23,"4,659,300","476,775"
91,41,dYCk van Anthonius (1599-1641),"14,538,518","17,217,659",24,16,"6,400,000","12,112,320"
92,325,CAtteLAn Maurizio (1960),"14,520,999","2,141,047",13,16,"7,000,000","675,885"
93,43,HIrst damien (1965),"14,505,483","16,502,849",223,163,"3,013,210","1,999,500"
94,,LIU Chunxi (1981),"14,402,850",,8,,"3,642,100",
95,61,kLee Paul (1879-1940),"14,394,851","12,117,293",62,61,"4,400,000","4,489,450"
96,144,BOettI Alighiero (1940-1994),"14,342,885","4,826,233",110,71,"2,411,360","991,200"
97,236,POLLOCk Jackson (1912-1956),"14,340,116","3,014,100",9,10,"7,750,000","2,500,000"
98,38,kAndInskY Wassily (1866-1944),"14,225,062","18,065,063",95,95,"5,000,000","9,400,000"
99,58,kIrCHner ernst Ludwig (1880-1938),"14,210,928","12,790,572",120,113,"4,147,520","6,862,560"
100,434,rUBens Peter Paul (1577-1640),"13,993,569","1,537,443",15,7,"12,115,200","700,000"
101,191,QIAn songyan (1899-1985),"13,756,632","3,504,674",194,86,"618,280","410,200"
102,223,stern Irma (1894-1966),"13,589,674","3,141,106",56,46,"3,323,880","625,625"
103,425,dOnG Qichang (1555-1636),"13,460,374","1,566,485",59,15,"3,283,840","601,470"
104,133,ZHOU Chunya (1955),"13,407,262","5,383,687",88,49,"1,030,400","762,840"
105,345,BACOn Francis (1909-1992),"13,301,661","2,003,696",80,73,"12,500,000","1,222,480"
106,219,rAZA sayed Haider (1922),"13,008,260","3,194,036",84,45,"3,047,520","301,161"
107,37,dUBUFFet Jean (1901-1985),"13,003,135","18,316,419",143,121,"1,532,835","5,400,000"
108,78,MUnCH edvard (1863-1944),"12,703,517","9,553,709",89,93,"1,652,090","2,400,000"
109,13553,ZHOU Zhimian (1521-1610),"12,580,373","14,512",11,3,"12,174,300","7,036"
110,35,BrUeGHeL Pieter II (c.1564-1637/38),"12,529,052","19,138,995",10,13,"3,338,280","6,648,150"
111,69,GAUGUIn Paul (1848-1903),"12,445,461","10,952,921",45,49,"4,922,500","3,500,000"
112,67,kIPPenBerGer Martin (1953-1997),"12,395,679","11,183,205",66,50,"3,523,725","3,600,000"
113,15,CHIrICO de Giorgio (1888-1978),"12,360,836","35,022,245",151,175,"2,561,280","12,570,460"
114,175,GOnCHArOVA natalia sergeevna (1881-1962),"12,290,860","3,948,269",56,45,"9,083,520","720,000"
115,280,seUrAt Georges Pierre (1859-1891),"12,215,420","2,524,421",12,3,"2,900,000","1,813,370"
116,94,sOrOLLA Y BAstIdA Joaquín (1863-1923),"12,193,202","8,322,950",22,17,"4,318,380","2,500,000"
117,103,sIGnAC Paul (1863-1935),"12,192,704","7,389,411",87,78,"2,549,760","3,300,000"
118,366,FeInInGer Lyonel (1871-1956),"12,124,126","1,878,582",121,113,"6,500,000","396,872"
119,131,UtrILLO Maurice (1883-1955),"11,978,585","5,492,945",133,91,"1,382,400","300,000"
120,4198,XU Yang (act.c.1751-c.1776),"11,971,799","88,784",1,1,"11,971,800","88,784"
121,237,WAnG Xuetao (1903-1982),"11,961,822","3,013,819",289,129,"751,500","264,060"
122,424,sHI Qi (1939),"11,955,718","1,568,577",42,14,"2,263,500","763,360"
123,86,sIsLeY Alfred (1839-1899),"11,755,320","9,001,271",15,15,"2,500,000","1,900,000"
124,128,BeCkMAnn Max (1884-1950),"11,567,050","5,686,964",115,104,"2,819,030","3,299,780"
125,101,BOterO Fernando (1932),"11,494,668","7,857,463",61,58,"1,450,000","945,000"
126,261,dOnG shouping (1904-1997),"11,271,009","2,742,447",223,109,"571,900","212,715"
127,30,dOIG Peter (1959),"11,230,122","23,003,370",45,37,"3,905,500","9,000,000"
128,1599,FesHIn nikolay (1881-1955),"11,220,087","326,263",13,8,"9,041,620","233,534"
129,298,sOUZA Francis newton (1924-2002),"11,130,549","2,348,233",205,48,"1,200,000","551,041"
130,322,LI kuchan (1899-1983),"11,072,049","2,167,124",220,117,"1,503,000","96,822"
131,292,ren Yi (1840-1896),"11,001,427","2,391,883",133,65,"1,022,039","337,410"
132,216,WU Hufan (1894-1968),"10,800,900","3,231,226",162,69,"762,320","512,749"
133,56,CHU teh-Chun (1920),"10,728,355","13,191,912",90,53,"708,949","5,160,000"
134,259,FAnG Lijun (1963),"10,684,563","2,751,624",42,25,"1,802,400","490,200"
135,214,HUA Yan (1682-1756),"10,614,705","3,251,977",38,20,"2,118,600","1,612,600"
136,80,HOdLer Ferdinand (1853-1918),"10,607,531","9,497,763",55,58,"3,046,050","3,401,300"
137,145,GIACOMettI Giovanni (1868-1933),"10,550,730","4,771,895",43,34,"2,262,780","1,749,240"
138,107,LOWrY Laurence stephen (1887-1976),"10,537,455","7,195,435",136,111,"962,040","1,253,400"
139,1094,PArrIsH Maxfield Frederick (1870-1966),"10,405,642","541,680",39,13,"4,600,000","300,000"
140,293,CAI Guoqiang (1957),"10,328,629","2,386,595",26,21,"2,412,800","893,970"
141,1961,XIA Chang (1388-1470),"10,269,375","249,180",3,2,"7,769,800","190,580"
142,528,WAnG Jian (1598-1677),"10,181,586","1,297,220",26,8,"6,010,600","953,550"
143,399,GUAn shanyue (1912-2000),"10,108,385","1,668,249",87,57,"5,297,151","280,197"
144,100,CHen Hongshou (1598-1652),"10,045,257","7,959,432",26,14,"5,131,000","3,899,560"
145,64,dUFY raoul (1877-1953),"10,005,338","11,784,967",208,263,"2,154,405","672,075"
146,8,deGAs edgar (1834-1917),"9,858,610","43,318,612",61,65,"1,100,000","16,870,460"
147,15868,nI Zan (1306-1374),"9,613,426","10,988",10,3,"5,869,500","7,032"
148,139,BUGAttI rembrandt (1884-1916),"9,527,101","5,041,345",28,34,"1,800,000","1,600,000"
149,252,HUAnG Yongyu (1924),"9,443,689","2,849,127",135,107,"916,829","374,100"
150,126,WesseLMAnn tom (1931-2004),"9,373,676","5,766,164",169,130,"900,000","991,441"
151,13281,O'keeFFe Georgia (1887-1986),"9,342,500","15,000",7,1,"3,600,000","15,000"
152,62,nOLde emil (1867-1956),"9,210,927","12,105,622",100,117,"1,500,000","2,300,000"
153,361,IndIAnA robert (1928),"9,155,359","1,916,798",159,125,"3,400,000","760,000"
154,2062,FrAnCken Frans II (1581-1642),"9,075,647","234,942",15,6,"8,216,090","72,644"
155,336,GUerCInO (1591-1666),"9,056,193","2,047,111",20,14,"6,966,240","569,962"
156,39,JAWLenskY von Alexej (1864-1941),"9,013,403","17,626,978",42,39,"1,752,960","4,500,000"
157,1169,BOLdInI Giovanni (1842-1931),"8,860,139","497,764",15,13,"5,800,000","224,664"
158,318,MArden Brice (1938),"8,829,348","2,178,740",23,26,"8,500,000","1,750,000"
159,375,CAILLeBOtte Gustave (1848-1894),"8,785,910","1,826,397",2,7,"4,500,000","525,760"
160,77,HArrIs Lawren stewart H. (1885-1970),"8,601,096","9,610,874",29,30,"2,229,120","2,864,700"
161,321,IACOVLeFF Alexander evgenevich (1887-1938),"8,566,458","2,172,742",68,33,"3,180,540","724,059"
162,,GUAn ning (II-III),"8,461,600",,1,,"8,461,600",
163,158,YUe Minjun (1962),"8,456,363","4,359,628",34,26,"1,610,000","683,700"
164,176,HUsAIn Maqbool Fida (1915),"8,404,687","3,940,640",63,42,"880,000","533,016"
165,409,LI Xiongcai (1910-2001),"8,372,616","1,633,798",168,79,"662,200","127,629"
166,10780,LAnG shih-ning (1688-1766),"8,259,055","21,691",15,5,"4,104,800","8,057"
167,92,ernst Max (1891-1976),"8,217,388","8,453,305",206,214,"1,434,240","1,232,250"
168,283,WU Zuoren (1908-1997),"8,213,978","2,498,826",144,80,"733,500","426,030"
169,157,GUrskY Andreas (1955),"8,191,365","4,359,672",30,31,"1,840,920","613,402"
170,1366,FreUd Lucian (1922),"8,152,090","405,194",33,9,"3,905,500","266,557"
171,427,sHerMAn Cindy (1954),"8,106,272","1,556,166",35,52,"2,400,000","280,000"
172,88,WYetH Andrew (1917-2009),"8,065,924","8,945,500",25,17,"5,600,000","6,100,000"
173,277,steLLA Frank (1936),"8,058,492","2,544,622",128,82,"1,300,000","507,024"
174,296,MArtIn Agnes Bernice (1912-2004),"8,051,700","2,365,100",12,8,"1,900,000","1,100,000"
175,4001,sAId Mahmoud (1897-1964),"8,038,037","95,000",20,2,"2,200,000","65,000"
176,178,LIU Haisu (1896-1994),"8,036,116","3,847,276",78,56,"1,408,320","1,187,460"
177,209,UeCker Günther (1930),"7,873,452","3,279,894",139,89,"1,093,540","549,302"
178,1378,tAnseY Mark (1949),"7,760,000","400,000",4,1,"4,100,000","400,000"
179,188,MAILLOL Aristide (1861-1944),"7,733,476","3,598,413",85,70,"2,600,000","1,200,000"
180,704,AI Xuan (1947),"7,717,582","930,536",25,9,"2,778,700","550,125"
181,51,HOCkneY david (1937),"7,709,359","14,161,939",245,187,"1,820,795","7,000,000"
182,102,kAPOOr Anish (1954),"7,703,756","7,633,579",41,25,"1,200,000","1,600,000"
183,122,tHIeBAUd Morton Wayne (1920),"7,688,892","5,967,917",38,38,"1,700,000","1,550,000"
184,230,tAnG Yun (1910-1993),"7,674,932","3,058,745",351,236,"423,080","169,050"
185,85,MAttA roberto (1911-2002),"7,667,512","9,084,783",222,174,"720,000","2,150,000"
186,263,LAn Ying (1585-c.1664),"7,620,537","2,647,513",44,26,"3,832,649","755,505"
187,432,AdAMs Ansel easton (1902-1984),"7,600,008","1,543,447",298,114,"600,000","300,000"
188,523,BOUGUereAU William Adolphe (1825-1905),"7,593,250","1,306,131",8,4,"2,400,000","700,000"
189,17646,PenCZ Georg (c.1500-1550),"7,577,471","8,982",14,14,"7,572,000","2,277"
190,108,ArMAn Fernandez (1928-2005),"7,520,102","7,182,934",510,512,"170,000","335,640"
191,25960,WAnG Mian (1287-1359),"7,476,600","4,102",1,1,"7,476,600","4,102"
192,401,ZOrn Anders Leonard (1860-1920),"7,476,302","1,657,880",189,131,"3,325,400","440,400"
193,197,stInGeL rudolf (1956),"7,440,157","3,422,545",16,14,"2,300,000","673,608"
194,257,GUAn Liang (1900-1986),"7,352,277","2,771,480",228,145,"541,080","234,560"
195,177,FOUJItA tsuguharu (1886-1968),"7,319,450","3,913,155",232,238,"576,000","350,130"
196,260,CAnALettO Antonio Canal (1697-1768),"7,289,765","2,745,817",24,39,"3,400,000","2,500,000"
197,47799,CHen Jiru (1558-1639),"7,259,075",732,9,1,"6,763,499",732
198,106,dIeBenkOrn richard (1922-1993),"7,240,862","7,252,147",36,31,"3,800,000","5,800,000"
199,522,Penn Irving (1917-2009),"7,197,231","1,308,405",147,52,"370,000","172,488"
200,1402,nOGUCHI Isamu (1904-1988),"7,110,000","390,000",4,2,"3,700,000","250,000"
201,,ZHOU Wenju (X),"7,102,348",,2,,"6,628,499",
202,202,MArQUet Albert (1875-1947),"7,031,748","3,361,362",966,53,"1,350,000","530,000"
203,258,LAM Wifredo (1902-1982),"7,011,183","2,769,933",96,76,"1,850,000","550,000"
204,488,ZOU Yigui (1686-1772),"6,978,446","1,414,858",12,9,"6,538,049","1,333,150"
205,213,CAsteLLAnI enrico (1930),"6,922,819","3,260,426",42,35,"950,227","448,569"
206,143,POLIAkOFF serge (1900-1969),"6,916,481","4,855,370",167,128,"609,600","569,535"
207,331,keLLY ellsworth (1923),"6,842,505","2,060,790",81,62,"3,500,000","820,000"
208,247,VALLOttOn Félix (1865-1925),"6,839,329","2,917,789",60,73,"2,158,590","742,960"
209,274,LUO Zhongli (1948),"6,836,822","2,559,274",45,24,"874,639","271,395"
210,294,sOnG Wenzhi (1919-1999),"6,827,778","2,379,646",210,104,"645,480","190,710"
211,228,BOUdIn eugène (1824-1898),"6,822,260","3,072,881",77,66,"1,157,286","301,820"
212,848,AVedOn richard (1923-2004),"6,775,484","735,946",98,31,"945,420","100,000"
213,70,VUILLArd Édouard (1868-1940),"6,734,342","10,508,671",56,57,"2,300,000","6,422,850"
214,752,YIn Zhaoyang (1970),"6,705,678","857,620",34,13,"1,477,840","283,800"
215,576,HUAnG Junbi (1898-1991),"6,665,359","1,176,800",201,97,"1,065,710","73,350"
216,180,WAnG Yuanqi (1642-1715),"6,637,203","3,807,063",39,21,"1,202,120","806,850"
217,161,APPeL karel (1921-2006),"6,590,863","4,269,450",312,210,"663,124","620,000"
218,376,MACke August (1887-1914),"6,589,070","1,810,209",19,17,"2,522,290","650,513"
219,2520,tAnG Yin (1470-1523),"6,565,001","178,814",20,11,"2,125,700","67,390"
220,245,WAnG Guangyi (1957),"6,477,627","2,932,170",49,46,"901,600","373,440"
221,771,ZHOU sicong (1939-1996),"6,461,150","828,189",132,46,"709,230","158,436"
222,,ZHAO Ji (1082-1135),"6,437,733",,3,,"6,430,816",
223,,ZHOU Chen (act.1472-1535),"6,437,378",,12,,"4,984,400",
224,460,WU Li (1632-1718),"6,406,389","1,472,347",17,5,"2,932,000","1,025,499"
225,353,PIerneeF Jacob Hendrik (1886-1957),"6,379,460","1,943,530",101,69,"981,336","381,920"
226,290,sCULLY sean (1946),"6,351,658","2,403,818",53,22,"979,615","800,000"
227,317,ZHAO Zhiqian (1829-1884),"6,334,215","2,185,162",27,21,"3,154,050","490,580"
228,620,ZHAO shao'Ang (1905-1998),"6,324,470","1,064,607",147,86,"1,953,899","83,850"
229,442,tCHeLItCHeW Pavel (1898-1957),"6,309,621","1,510,801",77,27,"820,000","370,000"
230,127,BUFFet Bernard (1928-1999),"6,262,147","5,733,882",418,319,"220,000","237,843"
231,1160,GOnZALeZ-tOrres Felix (1957-1996),"6,244,100","501,500",11,6,"4,000,000","450,000"
232,446,BAI Xueshi (1915),"6,188,583","1,500,721",86,51,"784,160","161,370"
233,,JIn shunkui (1957),"6,150,000",,1,,"6,150,000",
234,2057,GOLtZIUs Hendrik (1558-1617),"6,141,054","235,253",48,36,"6,000,000","163,152"
235,210,HArInG keith (1958-1990),"6,126,318","3,273,686",190,121,"900,000","450,000"
236,330,AMIet Cuno (1868-1961),"6,084,974","2,074,801",123,134,"1,476,750","430,376"
237,249,COrOt Camille Jean-Baptiste (1796-1875),"5,959,697","2,877,395",82,51,"2,041,620","720,000"
238,173,kOrOVIn konstantin A. (1861-1939),"5,903,517","3,957,778",63,64,"1,185,296","980,000"
239,595,GrOtJAHn Mark (1968),"5,899,540","1,118,596",22,8,"1,250,000","320,000"
240,738,sHIsHkIn Ivan Ivanovitch (1832-1898),"5,833,846","889,635",17,7,"2,494,240","600,000"
241,547,MAssOn André (1896-1987),"5,833,692","1,218,206",132,116,"2,733,060","330,572"
242,,MeIster des BrAndOn POrtrÄts (XV),"5,816,770",,1,,"5,816,770",
243,243,HePWOrtH Barbara (1903-1975),"5,815,984","2,958,402",36,28,"1,050,000","1,078,242"
244,371,POLke sigmar (1941-2010),"5,783,742","1,841,044",127,71,"1,030,835","800,000"
245,142,PICABIA Francis (1879-1953),"5,765,687","4,861,861",54,45,"796,800","917,476"
246,119,AIVAZOVskY Ivan Constantinovich (1817-1900),"5,755,912","6,082,865",35,33,"843,262","1,350,000"
247,241,Lee Man Fong (1913-1988),"5,750,294","2,974,577",40,36,"2,833,600","866,235"
248,611,HOMer Winslow (1836-1910),"5,728,200","1,083,420",10,7,"2,500,000","540,000"
249,551,sCHOOnHOVen Jan (1914-1994),"5,594,194","1,211,809",42,24,"1,031,052","633,870"
250,105,MOrAndI Giorgio (1890-1964),"5,576,435","7,293,525",50,34,"1,700,000","1,699,125"
251,527,YUn shouping (1633-1690),"5,575,307","1,297,940",47,26,"996,880","858,195"
252,385,GUstOn Philip (1913-1980),"5,562,046","1,746,102",11,11,"2,200,000","895,000"
253,87,VLAMInCk de Maurice (1876-1958),"5,528,348","8,996,517",145,124,"506,616","3,300,000"
254,13175,ZHAO Mengfu (1254-1322),"5,462,163","15,182",18,3,"1,820,895","14,670"
255,163,tAMAYO rufino (1899-1991),"5,434,558","4,203,832",176,108,"700,000","580,000"
256,1640,sHen Quan (1682-c.1762),"5,404,328","316,302",27,15,"4,208,400","83,562"
257,838,sCHÜtte thomas (1954),"5,353,592","742,773",8,13,"3,600,000","628,102"
258,269,GIACOMettI diego (1902-1985),"5,302,601","2,605,775",48,40,"923,510","195,027"
259,348,HOFMAnn Hans (1880-1966),"5,232,727","1,983,684",21,18,"2,400,000","1,000,000"
260,160,MAtHIeU Georges (1921),"5,213,773","4,297,798",97,84,"336,270","356,304"
261,484,LIU Wei (1965),"5,210,559","1,420,367",39,11,"751,000","587,694"
262,2837,rAFFAeLLI Jean-François (1850-1924),"5,083,078","150,337",41,16,"2,600,000","64,860"
263,256,LIAO Chi-Chun (1902-1976),"5,043,032","2,787,712",11,7,"1,546,799","901,610"
264,,YOU Qiu (c.1525-1580),"5,035,050",,1,,"5,035,050",
265,156,VAsAreLY Victor (1906-1997),"5,007,738","4,393,704",561,580,"734,234","224,985"
266,172,sOtO Jesús rafael (1923-2005),"4,983,940","3,980,061",72,57,"630,000","555,173"
267,151,kIeFer Anselm (1945),"4,976,062","4,520,906",23,18,"992,496","895,000"
268,373,MUnnInGs Alfred James (1878-1959),"4,956,696","1,831,598",33,31,"681,390","406,800"
269,784,OFILI Chris (1968),"4,909,988","811,325",26,10,"2,486,715","775,440"
270,268,tAPIes Antoni (1923),"4,890,349","2,611,235",370,295,"1,331,185","374,706"
271,379,nOLAn sidney robert (1917-1992),"4,874,098","1,777,349",85,91,"4,103,100","384,284"
272,314,He Haixia (1908-1998),"4,856,180","2,219,424",109,67,"285,000","388,755"
273,281,MUÑOZ Juan (1953-2001),"4,840,136","2,517,114",7,7,"4,300,000","1,000,000"
274,422,BOUrGeOIs Louise (1911-2010),"4,818,356","1,585,761",36,33,"3,100,000","544,005"
275,492,LOUIs Morris (1912-1962),"4,800,000","1,413,500",5,6,"2,600,000","600,000"
276,218,rIOPeLLe Jean-Paul (1923-2002),"4,796,001","3,209,814",46,51,"931,000","884,000"
277,550,LenG Jun (1963),"4,761,369","1,212,214",14,13,"4,205,600","410,760"
278,617,deLAUnAY-terk sonia (1885-1979),"4,756,609","1,075,696",174,186,"796,800","240,000"
279,445,LeBAsQUe Henri Baptiste (1865-1937),"4,735,935","1,501,953",61,52,"700,000","288,660"
280,355,MetZInGer Jean (1883-1956),"4,726,980","1,938,923",20,14,"1,400,000","600,000"
281,,BeLLInI Giovanni (1430-1516),"4,694,640",,1,,"4,694,640",
282,182,HArtUnG Hans (1904-1989),"4,665,355","3,788,170",197,116,"1,003,800","343,098"
283,220,BUrrI Alberto (1915-1995),"4,661,549","3,171,166",33,24,"1,300,438","1,034,110"
284,383,BAseLItZ Georg (1938),"4,660,407","1,763,518",91,75,"1,450,000","294,696"
285,513,CHen shaomei (1909-1954),"4,642,154","1,342,160",76,49,"452,399","146,700"
286,186,BALLA Giacomo (1871-1958),"4,616,092","3,694,476",41,48,"765,328","1,924,050"
287,166,Lee Ufan (1936),"4,586,541","4,168,739",73,65,"763,600","696,600"
