A,B,C,D,E,F,G,H
28,66 WU Guanzhong (1919),"23,968,508","17,021,301",76,87,"4,034,250","1,737,450"
29,106 DOIG Peter (1959),"23,003,370","11,010,299",37,61,"9,000,000","2,767,680"
30,9 FONTANA Lucio (1899-1968),"22,915,652","95,589,589",134,227,"5,628,870","18,127,680"
31,3418 WU Bin (c.1568-1621),"22,151,700","172,060",1,3,"22,151,700","144,228"
32,112 ZHU Da (1626-1705),"21,671,078","10,361,805",14,11,"10,987,500","3,870,000"
33,42 RODIN Auguste (1840-1917),"20,007,710","28,213,199",95,104,"5,600,000","16,900,000"
34,281 SAN Yu (1901-1966),"19,688,378","4,125,666",25,11,"4,773,000","1,217,900"
35,127 BRUEGHEL Pieter II (c.1564-1637/38),"19,138,995","9,109,769",13,10,"6,648,150","4,345,660"
36,26 KOONING de Willem (1904-1997),"19,078,238","42,259,693",50,74,"5,400,000","10,750,000"
37,58 DUBUFFET Jean (1901-1985),"18,316,419","20,943,269",121,96,"5,400,000","3,200,000"
38,28 KANDINSKY Wassily (1866-1944),"18,016,709","39,241,226",89,89,"9,400,000","15,000,000"
39,34 JAWLENSKY von Alexej (1864-1941),"17,626,978","34,297,513",39,37,"4,500,000","16,558,920"
40,602 DERAIN André (1880-1954),"17,344,736","1,648,268",144,140,"12,500,000","259,366"
41,201 DYCK van Anthonius (1599-1641),"17,217,360","6,264,099",15,10,"12,112,320","5,333,310"
42,97 LI Keran (1907-1989),"17,083,225","12,066,105",106,101,"2,127,150","734,000"
43,107 TURNER Joseph Mallord William (1775-1851),"16,349,432","10,880,112",19,16,"11,500,000","9,473,760"
44,4 HIRST Damien (1965),"15,966,443","230,887,159",156,445,"1,999,500","16,511,240"
45,7 RICHTER Gerhard (1932),"15,899,368","122,219,942",127,173,"2,670,105","13,989,840"
46,24 LICHTENSTEIN Roy (1923-1997),"15,226,822","49,252,811",249,380,"5,300,000","7,979,400"
47,39 MITCHELL Joan (1926-1992),"14,997,145","30,172,743",44,20,"4,800,000","5,360,780"
48,186 WU Changshuo (1844-1927),"14,772,361","6,761,801",259,134,"774,600","398,970"
49,ZENG GONG  (1019-1083),"14,229,900",,1,,"14,229,900",
50,167 HOCKNEY David (1937),"14,156,954","7,341,880",184,247,"7,000,000","1,495,125"
51,263 LU Yanshao (1909-1993),"14,104,896","4,595,411",184,111,"3,225,200","279,110"
52,282 JOHNS Jasper (1930),"14,096,330","4,114,048",111,109,"7,700,000",",600,000"
53,25 MOORE Henry (1898-1986),"13,656,451","46,014,807",223,220,"3,282,790","7,479,920"
54,24923 ZAMPIERI Domenico (1581-1641),"13,474,240","5,361",1,2,"13,474,240","2,961"
55,226 MODIGLIANI Amedeo (1884-1920),"13,276,041","5,554,212",34,38,"8,278,340","1,600,000"
56,183 CHU Teh-Chun (1920),"13,211,410","6,856,778",54,59,"5,160,000","394,680"
57,80 TOULOUSE-LAUTREC de Henri (1864-1901),"12,777,137","14,624,011",203,219,"7,850,150","4,000,000"
58,65 KIRCHNER Ernst Ludwig (1880-1938),"12,756,467","17,055,578",109,124,"6,862,560","8,476,590"
59,155 HUANG Binhong (1865-1955),"12,593,070","7,679,966",139,101,"1,613,700","1,680,150"
60,33 MAGRITTE René (1898-1967),"12,207,591","35,228,664",71,77,"2,700,000","4,717,680"
61,103 CHEN Yifei (1946-2005),"12,085,001","11,169,115",27,31,"5,295,870","2,973,450"
62,74 KLEE Paul (1879-1940),"12,077,606","15,182,336",60,77,"4,489,450","2,600,000"
63,90 DUFY Raoul (1877-1953),"11,782,366","12,606,456",260,189,"672,075","2,694,653"
64,68 NOLDE Emil (1867-1956),"11,535,403","16,633,618",110,127,"2,300,000","2,759,820"
65,133 DALI Salvador (1904-1989),"11,287,313","8,416,063",964,810,"3,500,000","680,000"
66,1781 DUCHAMP Marcel (1887-1968),"11,269,388","424,924",36,32,"10,133,330","146,307"
67,1021 KIPPENBERGER Martin (1953-1997),"11,183,205","879,425",50,31,"3,600,000","207,000"
68,3795 GÉRICAULT Théodore (1791-1824),"11,011,471","146,790",12,7,"10,261,600","93,494"
69,52 GAUGUIN Paul (1848-1903),"10,952,921","22,496,362",49,59,"3,500,000","7,500,000"
70,70 VUILLARD Édouard (1868-1940),"10,508,671","15,845,506",57,87,"6,422,850","7,100,000"
71,237 HUANG Zhou (1925-1997),"10,347,847","5,229,620",229,122,"1,259,900","543,020"
72,382 XIE Zhiliu (1910-1997),"10,266,359","2,892,112",188,89,"1,188,270","429,300"
73,35 ZENG Fanzhi (1964),"10,237,558","33,569,533",24,58,"2,128,500","8,589,400"
74,57 JUDD Donald (1928-1994),"9,948,452","21,173,714",42,43,"4,300,000","3,750,000"
75,18 PRINCE Richard (1949),"9,882,862","59,299,289",46,72,"2,478,000","7,515,495"
76,81 FRANCIS Sam (1923-1994),"9,882,848","14,070,628",216,269,"3,200,000","4,600,000"
77,399 HARRIS Lawren Stewart H. (1885-1970),"9,610,874","2,682,359",30,34,"2,864,700","1,421,820"
78,13 MUNCH Edvard (1863-1944),"9,548,749","81,141,587",92,110,"2,400,000","34,000,000"
79,898 JIN Nong (1687-1763),"9,505,301","1,044,653",16,8,"5,207,850","440,014"
80,213 HODLER Ferdinand (1853-1918),"9,497,763","5,890,015",58,66,"3,401,300","1,003,080"
81,172 ZHU Ming (1938),"9,450,801","7,100,611",75,56,"1,032,000","599,906"
82,84 KUSAMA Yayoi (1929),"9,427,788","13,853,826",208,287,"1,600,000","5,100,000"
83,315 PAN Tianshou (1897-1971),"9,309,288","3,634,866",41,30,"2,719,500","1,541,400"
84,2092 TER BRUGGHEN Hendrick (1588-1629),"9,230,000","342,815",2,1,"9,000,000","342,815"
85,173 MATTA Roberto (1911-2002),"9,082,381","7,071,283",170,247,"2,150,000","1,040,688"
86,62 SISLEY Alfred (1839-1899),"9,001,271","19,381,400",15,20,"1,900,000","4,139,730"
87,622 WYETH Andrew (1917-2009),"8,945,500","1,580,050",17,11,"6,100,000","650,000"
88,72 HASSAM Childe (1859-1935),"8,861,760","15,341,000",25,31,"3,200,000","5,000,000"
89,73 VLAMINCK de Maurice (1876-1958),"8,637,350","15,231,126",116,131,"3,300,000","3,776,448"
90,111 ROERICH Nicolaj Konstantinov (1874-1947),"8,492,666","10,629,659",35,42,"1,584,695","1,418,350"
91,344 LEWIS John Frederick (1805-1876),"8,467,600","3,240,055",6,8,"3,000,000","1,694,900"
92,95 ERNST Max (1891-1976),"8,321,510","12,281,101",208,225,"1,232,250","2,063,985"
93,145 SOROLLA Y BASTIDA Joaquin (1863-1923),"8,297,471","8,009,762",14,11,"2,500,000","4,000,000"
94,225 SHI Tao (1642-1707),"8,206,661","5,595,186",23,14,"3,520,800","1,987,100"
95,920 ENSOR James (1860-1949),"8,087,832","1,015,774",64,70,"5,643,880","433,532"
96,HUIZONG EMPEROR  (1082-1135),"8,083,170",,1,,"8,083,170",
97,89 BRAQUE Georges (1882-1963),"8,065,937","12,711,760",253,201,"3,591,560","3,400,000"
98,19 ROTHKO Mark (1903-1970),"8,032,426","58,253,022",9,11,"2,950,000","45,000,000"
99,1838 CHEN Hongshou (1598-1652),"7,959,432","406,386",14,3,"3,899,560","243,580"
100,23 SCHIELE Egon (1890-1918),"7,945,867","49,587,249",39,75,"713,650","5,110,820"
101,152 BOTERO Fernando (1932),"7,812,451","7,734,204",57,57,"945,000","825,000"
102,85 KAPOOR Anish (1954),"7,628,680","13,598,718",24,42,"1,600,000","3,428,820"
103,30 SIGNAC Paul (1863-1935),"7,354,067","37,968,393",76,78,"3,300,000","5,900,000"
104,96 AUERBACH Frank (1931),"7,340,723","12,142,836",30,29,"2,590,360","3,428,820"
105,94 MORANDI Giorgio (1890-1964),"7,293,525","12,344,544",34,42,"1,699,125","1,400,000"
106,110 DIEBENKORN Richard (1922-1993),"7,249,747","10,664,100",30,37,"5,800,000","4,600,000"
107,196 LOWRY Laurence Stephen (1887-1976),"7,195,435","6,455,294",111,176,"1,253,400","1,269,385"
108,99 ARMAN Fernandez (1928-2005),"7,165,796","11,896,644",504,560,"335,640","450,670"
109,55 BONNARD Pierre (1867-1947),"6,922,881","21,589,791",76,109,"1,570,030","5,905,200"
110,140 GOYA Y LUCIENTES Francisco (1746-1828),"6,891,402","8,125,960",148,99,"3,729,450","3,950,600"
111,122 MAJORELLE Jacques (1886-1962),"6,755,396","9,366,041",31,32,"917,455","1,355,920"
112,48 TWOMBLY Cy (1928),"6,671,037","24,783,015",49,48,"1,123,360","6,895,350"
113,10 KLEIN Yves (1928-1962),"6,601,904","91,868,098",58,59,"1,057,350","21,000,000"
114,1952 RIBERA de Jusepe (1588/91-1652),"6,269,998","375,022",17,11,"5,513,100","150,000"
115,32 GRIS Juan (1887-1927),"6,116,932","35,905,040",10,14,"4,361,180","18,500,000"
116,156 SOULAGES Pierre (1919),"6,114,553","7,654,175",72,111,"1,091,181","1,675,959"
117,45 AIVAZOVSKY Ivan Constantinovich (1817-1900),"6,082,865","26,541,205",33,57,"1,350,000","3,193,344"
118,69 RUSCHA Edward Joseph (1937),"6,065,791","16,012,447",82,97,"991,740","3,500,000"
119,334 CHENG Shifa (1921-2007),"5,975,662","3,353,350",233,140,"469,440","170,288"
120,177 THIEBAUD Morton Wayne (1920),"5,967,917","6,966,247",38,41,"1,550,000","1,900,000"
121,257 WANG Hui (1632-1717),"5,951,218","4,771,245",30,31,"1,434,720","1,313,100"
122,46 RAUSCHENBERG Robert (1925-2008),"5,948,027","26,219,146",172,195,",800,000","13,000,000"
123,4336 INGRES Jean Auguste Dominique (1780-1867),"5,845,989","119,866",12,5,"2,308,860","61,337"
124,138 STAËL de Nicolas (1914-1955),"5,773,549","8,210,127",24,22,"1,540,440","2,993,100"
125,27 WESSELMANN Tom (1931-2004),"5,766,164","41,684,881",130,201,"991,441","9,500,000"
126,135 BUFFET Bernard (1928-1999),"5,726,240","8,359,252",314,397,"237,843","223,100"
127,53 MARC Franz (1880-1916),"5,505,168","22,363,697",16,20,"5,421,900","21,684,300"
128,158 MARINI Marino (1901-1980),"5,503,394","7,631,900",132,157,"1,250,000","1,180,140"
129,29 ZHANG Xiaogang (1958),"5,470,287","39,232,399",34,91,"907,515","5,425,541"
130,171 UTRILLO Maurice (1883-1955),"5,364,069","7,206,646",90,122,"300,000","415,000"
131,92 ZHOU Chunya (1955),"5,363,163","12,567,094",48,83,"762,840","815,920"
132,REN Renfa (1255-1327),"5,289,000",,1,,"5,289,000",
133,76 HALS Frans I (1580-1666),"5,242,466","15,145,442",2,4,"3,976,370","12,434,310"
134,242 AVERY Milton Clark (1885-1965),"5,126,790","5,071,408",46,53,"1,900,000","840,000"
135,500 KUSTODIEV Boris Mikhailovich (1878-1927),"5,080,729","2,050,981",4,6,"4,067,750","1,774,080"
136,208 BUGATTI Rembrandt (1884-1916),"5,023,837","6,128,363",33,15,"1,600,000","2,300,000"
137,1049 LALANNE François-Xavier (1927-2008),"4,961,687","850,105",60,18,"630,180","141,141"
138,368 FAN Zeng (1938),"4,958,116","2,973,760",75,63,"454,770","411,040"
139,63 PICABIA Francis (1879-1953),"4,865,741","17,646,092",46,86,"917,476","2,358,840"
140,202 BOETTI Alighiero (1940-1994),"4,826,233","6,208,801",71,108,"991,200","720,000"
141,136 GIACOMETTI Giovanni (1868-1933),"4,771,895","8,233,815",34,50,"1,749,240","1,814,120"
142,685 SHI Lu (1919-1982),"4,756,621","1,412,648",34,11,"968,220","785,950"
143,330 SMITH David (1906-1965),"4,748,500","3,399,000",10,15,"2,250,000","2,100,000"
144,204 LIEBERMANN Max (1847-1935),"4,680,072","6,172,673",119,164,"570,342","1,281,345"
145,195 POLIAKOFF Serge (1900-1969),"4,576,346","6,527,464",122,151,"569,535","431,684"
146,270 SAINT-PHALLE de Niki (1930-2002),"4,558,162","4,468,110",124,136,"661,144","950,850"
147,704 NAUMAN Bruce (1941),"4,528,748","1,366,359",28,25,"3,500,000","900,000"
148,114 KIEFER Anselm (1945),"4,520,906","10,170,565",18,26,"895,000","1,600,000"
149,284 MARIESCHI Michele Giovanni (1696/1710-1743),"4,490,331","4,082,228",9,7,"3,084,080","3,000,000"
150,124 GRIGORJEFF Boris Dimitrevitch (1886-1939),"4,467,071","9,249,928",13,27,"1,150,000","3,250,000"
151,COORTE Adriaen (act.c.1685-1720),"4,428,755",,3,,"2,024,865",
152,205 ALBERS Josef (1888-1976),"4,403,638","6,164,771",64,112,"360,000","550,000"
153,44 YUE Minjun (1962),"4,359,628","27,045,102",26,52,"683,700","6,153,600"
154,306 LI Shan (1942),"4,312,967","3,751,972",19,31,"3,076,500","758,680"
155,582 GUARDI Francesco (1712-1793),"4,311,241","1,715,875",11,11,"2,594,400","763,518"
156,119 MATHIEU Georges (1921),"4,296,443","9,778,872",82,121,"356,304","1,576,700"
157,176 VASARELY Victor (1906-1997),"4,292,442","7,023,555",576,483,"224,985","276,727"
158,240 FLAVIN Dan (1933-1996),"4,250,242","5,102,471",17,18,"945,000","1,350,000"
159,143 GURSKY Andreas (1955),"4,243,446","8,102,848",30,22,"613,402","2,561,520"
160,164 APPEL Karel (1921-2006),"4,230,821","7,447,247",203,358,"620,000","432,628"
161,49 MANZONI Piero (1933-1963),"4,192,068","24,008,831",11,26,"2,250,000","9,000,000"
162,56 TAMAYO Rufi no (1899-1991),"4,190,248","21,459,179",107,147,"580,000","6,400,000"
163,1669 ZHENG Banqiao (1693-1765),"4,185,847","460,809",24,7,"1,979,100","342,720"
164,191 LEE Ufan (1936),"4,168,739","6,577,284",65,40,"696,600","990,000"
165,212 GAINSBOROUGH Thomas (1727-1788),"4,163,938","5,978,514",8,10,"2,437,130","5,100,000"
166,264 THOMSON Tom (1877-1917),"4,017,131","4,555,084",6,8,"2,244,015","1,718,190"
167,227 ARP Hans (1887-1966),"4,010,377","5,513,535",96,94,"1,063,342","1,400,000"
168,459 JIANG Zhaohe (1904-1986),"4,005,538","2,299,828",22,18,"2,493,900","496,740"
169,126 BECKMANN Max (1884-1950),"3,960,878","9,184,847",95,106,"3,299,780","2,358,840"
170,108 KOROVIN Konstantin A. (1861-1939),"3,957,778","10,689,227",64,65,"980,000","2,601,984"
171,144 ERNST Rudolph (1854-1932),"3,955,605","8,036,784",16,23,"562,800","1,100,000"
172,47 GONCHAROVA Nataliia Sergeevna (1881-1962),"3,948,269","25,024,681",45,71,"720,000","9,645,160"
173,125 HUSAIN Maqbul Fida (1915),"3,940,640","9,235,121",42,62,"533,016","1,400,000"
174,357 PU Ru (1896-1963),"3,937,894","3,090,736",280,190,"137,710","328,670"
175,359 SOTO Jesús Rafael (1923-2005),"3,915,080","3,052,634",57,58,"555,173","400,000"
176,840 LIU Haisu (1896-1994),"3,841,339","1,119,551",54,27,"1,187,460","400,399"
177,162 MARTIN Henri Jean Guillaume (1860-1943),"3,822,862","7,567,628",27,46,"675,885","875,270"
178,271 FOUJITA Tsuguharu (1886-1968),"3,822,440","4,468,099",230,198,"350,130","438,040"
179,36 CÉZANNE Paul (1839-1906),"3,806,111","33,245,782",25,50,"2,308,860","9,300,000"
180,268 HARTUNG Hans (1904-1989),"3,756,357","4,523,942",114,182,"343,098","275,922"
181,1009 BALDESSARI John (1931),"3,753,789","896,529",29,19,"1,600,000","240,000"
182,436 SEREBRJAKOWA Sinaida Jewgenewna (1884-1967),"3,729,472","2,446,508",20,13,"1,501,290","1,852,928"
183,LUCA DI TOMME  (1330-c.1389),"3,729,450",,3,,"1,297,200",
184,379 WANG Yuanqi (1642-1715),"3,704,443","2,911,212",20,9,"806,850","1,168,020"
185,349 BALLA Giacomo (1871-1958),"3,694,476","3,182,491",48,36,"1,924,050","900,508"
186,358 ROCKWELL Norman Perceval (1894-1978),"3,606,679","3,080,696",40,36,"625,000","900,000"
187,473 MAILLOL Aristide (1861-1944),"3,598,413","2,195,983",70,72,"1,200,000","400,000"
188,4377 ROERICH Svetoslav Nikolaev. (1904-1993),"3,597,615","118,272",14,1,"2,600,000","118,272"
189,353 KISLING Moïse (1891-1953),"3,563,062","3,134,923",70,59,"254,500","334,917"
190,811 QIAN Songyan (1899-1985),"3,502,036","1,156,206",85,46,"410,200","105,768"
191,117 LIU Ye (1964),"3,489,561","9,956,564",17,38,"774,000","1,415,700"
192,319 WOOL Christopher (1955),"3,468,790","3,554,674",22,19,"1,600,000","758,252"
193,228 STINGEL Rudolf (1956),"3,422,545","5,495,016",14,17,"673,608","834,960"
194,621 JIN Shangyi (1934),"3,418,110","1,582,756",4,8,"2,647,935","571,600"
195,1160 STUBBS George (1724-1806),"3,415,477","735,364",6,11,"2,918,700","553,084"
196,161 NARA Yoshitomo (1959),"3,390,193","7,601,598",80,96,"464,400","1,000,000"
197,367 GROSZ George (1893-1959),"3,389,272","2,979,382",113,103,"1,100,000","512,538"
198,311 LEWITT Sol (1928-2007),"3,376,119","3,691,199",132,168,"400,000","640,000"
199,121 MARQUET Albert (1875-1947),"3,361,227","9,611,920",52,108,"530,000","2,104,583"
200,231 WANG Yidong (1955),"3,356,671","5,457,615",12,13,"894,870","1,415,700"
201,1753 BENTON Thomas Hart (1889-1975),"3,350,586","431,700",79,115,"2,100,000","150,000"
202,556 GORBATOV Konstantin Ivanovich (1876-1945),"3,331,477","1,820,414",34,18,"290,736","377,890"
203,957 CROSS Henri Edmond (1856-1910),"3,330,173","961,047",31,23,"1,100,000","748,638"
204,1504 QIAN Weicheng (1720-1772),"3,327,867","527,137",12,8,"2,967,000","173,640"
205,384 WALDE Alfons (1891-1958),"3,322,429","2,885,858",32,38,"584,961","391,925"
206,118 HARING Keith (1958-1990),"3,272,997","9,934,028",120,219,"450,000","1,600,000"
207,134 ANKER Albert (1831-1910),"3,271,083","8,374,465",26,51,"2,602,599","2,263,624"
208,200 RAZA Sayed Haider (1922),"3,269,031","6,275,876",46,61,"301,161","2,194,940"
209,146 KLIMT Gustav (1862-1918),"3,265,825","7,933,476",52,71,"1,712,760","906,476"
210,236 CASTELLANI Enrico (1930),"3,260,426","5,263,416",35,53,"448,569","496,660"
211,251 LAURENS Henri (1885-1954),"3,239,052","4,922,931",36,41,"856,380","1,600,000"
212,QIAN Long & Weicheng (XVIII),"3,227,400",,1,,"3,227,400",
213,1344 MUELLER Otto (1874-1930),"3,221,368","601,701",35,32,"955,825","256,113"
214,615 HUA Yan (1682-1756),"3,203,820","1,590,869",16,15,"1,612,600","719,315"
215,766 UECKER Günther (1930),"3,182,012","1,242,970",87,96,"549,302","296,838"
216,105 BURRI Alberto (1915-1995),"3,171,166","11,105,000",24,51,"1,034,110","2,232,720"
217,169 MUNTER Gabriele (1877-1962),"3,166,648","7,238,548",28,33,"600,000","904,222"
218,1151 LE DOUANIER ROUSSEAU  (1844-1910),"3,152,698","744,869",7,6,"2,500,000","321,829"
219,115 RIOPELLE Jean-Paul (1923-2002),"3,134,206","10,007,164",48,71,"884,000","1,650,000"
220,129 GÉROME Jean-Léon (1824-1904),"3,121,245","8,511,972",30,41,"742,304","3,589,200"
221,1791 DOGANÇAY Burhan Cahit (1929),"3,117,299","422,115",27,14,"1,498,297","90,000"
222,37 MURAKAMI Takashi (1962),"3,105,545","32,033,655",209,251,"487,509","13,500,000"
223,590 BARTOLOMEO DELLA PORTA Fra Baccio (1472-1517),"3,084,080","1,700,000",1,1,"3,084,080","1,700,000"
224,230 BOUDIN Eugène (1824-1898),"3,072,881","5,461,923",66,68,"301,820","863,464"
225,333 RUBIN Reuven (1893-1974),"3,067,214","3,373,575",44,64,"434,500","520,000"
226,83 RUSSELL Charles Marion (1864-1926),"3,047,750","13,943,210",16,29,"1,800,000","4,600,000"
227,710 TANG Yun (1910-1993),"3,040,422","1,353,991",232,122,"169,050","274,368"
228,131 SOUTINE Chaïm (1894-1943),"3,023,787","8,451,666",6,10,"800,000","3,776,448"
229,3548 YING Yeping (1910-1990),"3,020,414","162,268",65,25,"564,410","24,837"
230,2016 POLLOCK Jackson (1912-1956),"3,014,100","362,592",10,4,"2,500,000","300,000"
231,132 BIERSTADT Albert (1830-1902),"3,006,000","8,421,750",13,25,"1,500,000","6,500,000"
232,61 CRANACH Lucas I (1472-1553),"3,002,532","19,722,843",13,17,"1,500,000","6,800,000"
233,998 WANG Xuetao (1903-1982),"2,989,997","906,317",125,75,"264,060","133,679"
234,221 MEHTA Tyeb (1925),"2,986,716","5,620,140",10,7,"1,070,000","1,649,340"
235,455 PEPLOE Samuel John (1871-1935),"2,976,406","2,315,271",14,12,"557,270","714,270"
236,275 BURLIUK David (1882-1967),"2,965,565","4,299,332",134,140,"250,000","450,000"
237,220 HEPWORTH Barbara (1903-1975),"2,958,402","5,623,226",28,39,"1,078,242","1,484,204"
238,917 CASSATT Mary (1844-1926),"2,939,635","1,017,628",33,37,"2,100,000","280,000"
239,149 CHRISTO  (1935),"2,933,676","7,866,948",196,225,"160,000","360,000"
240,98 WANG Guangyi (1957),"2,930,270","11,945,027",45,100,"373,440","1,407,280"
241,296 VALLOTTON Félix (1865-1925),"2,915,157","3,875,946",72,50,"742,960","766,720"
242,360 KOKOSCHKA Oskar (1886-1980),"2,907,643","3,049,622",87,91,"1,858,610","1,122,810"
243,391 CARR Emily M. (1871-1945),"2,886,865","2,822,017",11,16,"1,635,400","732,420"
244,260 VALDÉS Manolo (1942),"2,866,686","4,683,493",30,40,"320,000","591,822"
245,434 OLDENBURG Claes Thure (1929),"2,852,766","2,449,154",64,62,"1,900,000","1,500,000"
246,669 WU Hufan (1894-1968),"2,852,265","1,437,051",67,43,"512,749","283,140"
247,593 HUANG Yongyu (1924),"2,848,761","1,689,593",106,59,"374,100","216,353"
248,1895 MANET Édouard (1832-1883),"2,826,848","390,136",60,77,"1,700,000","147,040"
249,847 RIVERA Diego (1886-1957),"2,817,295","1,107,066",27,35,"840,000","160,000"
250,272 LIAO Chi-Chun (1902-1976),"2,787,712","4,445,963",7,4,"901,610","3,974,200"
251,170 CANALETTO Antonio Canal (1697-1768),"2,745,817","7,231,425",39,30,"2,500,000","5,156,100"
252,826 DONG Shouping (1904-1997),"2,742,447","1,136,929",109,51,"212,715","110,175"
253,255 COROT Camille Jean-Baptiste (1796-1875),"2,741,553","4,870,550",48,61,"720,000","997,000"
254,689 GUAN Liang (1900-1986),"2,738,495","1,402,109",142,62,"234,560","250,249"
255,683 LEE Man Fong (1913-1988),"2,693,648","1,414,463",34,31,"866,235","175,265"
256,988 BOUCHER François (1703-1770),"2,686,347","919,905",21,24,"1,100,000","300,000"
257,394 LAM Wifredo (1902-1982),"2,671,049","2,785,438",73,79,"550,000","600,000"
258,720 LAN Ying (1585-c.1664),"2,646,927","1,331,303",25,14,"755,505","423,077"
259,223 FANG Lijun (1963),"2,641,674","5,603,810",24,36,"490,200","1,368,950"
260,1683 JORDAENS Jacob (1593-1678),"2,628,251","456,913",7,4,"2,092,950","197,530"
261,747 REPIN Il'ia Efi movich (1844-1930),"2,621,308","1,268,616",10,25,"1,961,640","560,000"
262,343 NICHOLSON Ben (1894-1982),"2,620,798","3,250,904",48,55,"600,000","669,256"
263,243 GIACOMETTI Diego (1902-1985),"2,605,775","5,065,338",40,75,"195,027","290,000"
264,591 BRUEGHEL Jan II (1601-1678),"2,600,562","1,692,832",14,13,"972,900","247,984"
265,267 TAPIES Antoni (1923),"2,599,950","4,526,782",281,290,"374,706","798,160"
266,211 FENG Zhengjie (1968),"2,595,183","6,056,660",34,57,"283,800","345,840"
267,168 HARTLEY Marsden (1877-1943),"2,595,050","7,329,700",7,11,"1,800,000","5,600,000"
268,86 YAN Pei-Ming (1960),"2,576,292","13,164,537",14,34,"520,000","1,755,952"
269,297 ROUAULT Georges (1871-1958),"2,566,515","3,870,914",137,137,"1,150,000","720,000"
270,219 LUO Zhongli (1948),"2,559,274","5,686,472",24,31,"271,395","1,445,141"
271,104 WANG Huaiqing (1944),"2,553,705","11,126,618",8,15,"1,166,980","3,572,500"
272,123 STELLA Frank (1936),"2,544,622","9,272,474",82,130,"507,024","2,500,000"
273,2683 KNIGHT Laura (1877-1970),"2,542,074","244,722",40,34,"1,263,834","80,348"
274,328 MUSIC Zoran Antonio (1909-2005),"2,526,796","3,409,939",132,183,"270,468","260,000"
275,178 SEURAT Georges Pierre (1859-1891),"2,524,421","6,903,849",3,5,"1,813,370","5,566,880"
276,392 MUÑOZ Juan (1953-2001),"2,517,114","2,812,098",7,12,"1,000,000","591,120"
277,1099 WU Zuoren (1908-1997),"2,474,638","785,688",77,40,"426,030","132,210"
278,197 FANTIN-LATOUR Henri-Théodore (1836-1904),"2,455,487","6,438,741",13,38,"1,450,000","1,771,560"
279,573 WYETH Newell Convers (1882-1945),"2,430,000","1,753,000",6,10,"600,000","380,000"
280,336 SCHIFANO Mario (1934-1998),"2,424,029","3,294,213",168,186,"244,674","242,186"
281,478 DURER Albrecht (1471-1528),"2,421,744","2,180,325",270,303,"423,016","181,980"
282,371 AFFANDI  (1907-1990),"2,409,173","2,955,820",34,29,"283,800","360,360"
283,188 SCULLY Sean (1946),"2,400,018","6,674,903",21,35,"800,000","1,136,295"
